,Bank,Company,Bank_Country,Company_Country,Amount,Bank_Zone,Company_Zone
49,BNP Paribas,Kuwait Petroleum Corp,France,Kuwait,142857143.0,Europe,Asia
50,BNP Paribas,Mitsubishi Corp,France,Japan,22675740.0,Europe,Asia
51,BNP Paribas,POSCO Holdings Inc,France,South Korea,182600240.5519161,Europe,Asia
52,BNP Paribas,PPL Corp,France,United States,81000000.0,Europe,United States
53,BNP Paribas,Pertamina Persero PT,France,Indonesia,1164880952.0,Europe,Asia
54,BNP Paribas,Petróleo Brasileiro SA – Petrobras,France,Brazil,2820234646.721015,Europe,South America
55,BNP Paribas,Petróleos Mexicanos (PEMEX),France,Mexico,3571359179.721732,Europe,North America
56,BNP Paribas,Repsol SA,France,Spain,467779504.5188018,Europe,Europe
57,BNP Paribas,Shell PLC,France,United Kingdom,8119811437.382341,Europe,Europe
58,BNP Paribas,TotalEnergies SE,France,France,8862372921.736874,Europe,Europe
59,BPCE/Natixis,Delek Group Ltd,France,Israel,199849492.04,Europe,Asia
60,BPCE/Natixis,Gazprom PJSC,France,Russia,200000000.0,Europe,Europe
61,BPCE/Natixis,Glencore PLC,France,Switzerland,22666666.61,Europe,Europe
62,BPCE/Natixis,Harbour Energy PLC,France,United Kingdom,38461538.0,Europe,Europe
63,BPCE/Natixis,Petróleos Mexicanos (PEMEX),France,Mexico,718084000.0,Europe,North America
64,BPCE/Natixis,Repsol SA,France,Spain,329647809.766093,Europe,Europe
65,BPCE/Natixis,Shell PLC,France,United Kingdom,821608000.0,Europe,Europe
66,BPCE/Natixis,TotalEnergies SE,France,France,859673429.0577798,Europe,Europe
67,Bank of America,Adani Group,United States,India,184945295.8842909,United States,Asia
68,Bank of America,BHP Group Ltd,United States,Australia,60357142.88,United States,Oceania
69,Bank of America,Chevron Corp,United States,United States,4659453457.0,United States,United States
70,Bank of America,China Huaneng Group Co Ltd,United States,China,165000000.0,United States,China
71,Bank of America,China National Petroleum Corporation (CNPC),United States,China,133333333.0,United States,China
72,Bank of America,ConocoPhillips,United States,United States,4774896124.0,United States,United States
73,Bank of America,Delek Group Ltd,United States,Israel,59741850.0,United States,Asia
74,Bank of America,Equinor ASA,United States,Norway,2450420275.721993,United States,Europe
75,Bank of America,Evraz PLC,United States,United Kingdom,334268.2063579558,United States,Europe
76,Bank of America,Exxon Mobil Corp,United States,United States,15330564109.0,United States,United States
77,Bank of America,Glencore PLC,United States,Switzerland,673735352.8661208,United States,Europe
78,Bank of America,ITOCHU Corp,United States,Japan,44166668.0,United States,Asia
79,Bank of America,Inpex Corp,United States,Japan,110000000.0,United States,Asia
80,Bank of America,Mitsubishi Corp,United States,Japan,20000000.0,United States,Asia
81,Bank of America,Occidental Petroleum Corp,United States,United States,12015796069.47664,United States,United States
82,Bank of America,POSCO Holdings Inc,United States,South Korea,182600240.5519161,United States,Asia
83,Bank of America,PPL Corp,United States,United States,1474126534.491241,United States,United States
84,Bank of America,Peabody Energy Corp,United States,United States,108000000.0,United States,United States
85,Bank of America,Petróleo Brasileiro SA – Petrobras,United States,Brazil,4828527722.090447,United States,South America
86,Bank of America,Petróleos Mexicanos (PEMEX),United States,Mexico,5924145989.2314,United States,North America
87,Bank of America,QatarEnergy,United States,Qatar,944444445.0,United States,Asia
88,Bank of America,Repsol SA,United States,Spain,413300504.5188018,United States,Europe
89,Bank of America,Shell PLC,United States,United Kingdom,1742590001.0,United States,Europe
90,Bank of America,State Grid Corp of China,United States,China,219741135.763945,United States,China
91,Bank of America,Teck Resources Ltd,United States,Canada,53822916.83890001,United States,North America
92,Bank of America,TotalEnergies SE,United States,France,2085119899.98131,United States,Europe
93,Bank of China,BHP Group Ltd,China,Australia,60357142.88,China,Oceania
94,Bank of China,Beijing Energy Holding Co Ltd,China,China,242834533.9393962,China,China
95,Bank of China,China COSCO Shipping Corp Ltd,China,China,2878203.407241891,China,China
96,Bank of China,China Coal Xinji Energy Co Ltd,China,China,72789500.0,China,China
97,Bank of China,China Datang Corp,China,China,984330561.144938,China,China
98,Bank of China,China Energy Investment Corp Ltd,China,China,2961799862.714994,China,China
99,Bank of China,China Huadian Corp Ltd,China,China,4542689897.998722,China,China
100,Bank of China,China Huaneng Group Co Ltd,China,China,4184287229.565833,China,China
101,Bank of China,China National Petroleum Corporation (CNPC),China,China,10087671912.0,China,China
102,Bank of China,China ZhenHua Oil Co Ltd,China,China,114730875.0,China,China
103,Bank of China,Gazprom PJSC,China,Russia,258649375.0,China,Europe
104,Bank of China,Guangdong Hanjian Investment Co Ltd,China,China,144016932.4647243,China,China
105,Bank of China,Guangdong Hengjian Investment Holding Co Ltd,China,China,643719754.4559786,China,China
106,Bank of China,Hebei Construction & Investment Group Co Ltd,China,China,209281384.4579719,China,China
107,Bank of China,Huayang New Material Technology Group Co Ltd,China,China,819980100.0,China,China
108,Bank of China,Inner Mongolia Yitai Investment Co Ltd,China,China,386218500.0,China,China
109,Bank of China,Inpex Corp,China,Japan,349769230.0,China,Asia
110,Bank of China,Jinneng Holding Group Co Ltd,China,China,2614619299.581139,China,China
111,Bank of China,Jizhong Energy Group Co Ltd,China,China,3084440932.78,China,China
112,Bank of China,Kailuan Group Ltd Liability Corp,China,China,166941900.0,China,China
113,Bank of China,Lu'an Chemical Group Co Ltd,China,China,588814993.65,China,China
114,Bank of China,Pertamina Persero PT,China,Indonesia,325925926.0,China,Asia
115,Bank of China,Petróleo Brasileiro SA – Petrobras,China,Brazil,838692376.695231,China,South America
116,Bank of China,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,2905042812.968891,China,China
117,Bank of China,Shaanxi Investment Group Co Ltd,China,China,242171850.0,China,China
118,Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,1221082595.976914,China,China
119,Bank of China,Shaanxi Yulin Energy Group Co Ltd,China,China,73900396.79902755,China,China
120,Bank of China,Shandong Energy Co Ltd,China,China,2781566595.550951,China,China
121,Bank of China,Shanxi Coking Coal Group Co Ltd,China,China,1409784932.525458,China,China
122,Bank of China,Shell PLC,China,United Kingdom,388000000.0,China,Europe
123,Bank of China,Shenergy Group Co Ltd,China,China,186162853.5786353,China,China
124,Bank of China,Shenmu City State-Owned Assets Operation Co,China,China,177088.944565824,China,China
125,Bank of China,State Grid Corp of China,China,China,5796964864.791008,China,China
126,Bank of China,Tianjin Energy Investment Co Ltd,China,China,38666372.25,China,China
127,Bank of China,Xin Jiang Guang Hui Industry Investment Group Co Ltd,China,China,11665187.22145962,China,China
128,Bank of China,Zhejiang Provincial Energy Group Co Ltd,China,China,545233230.0,China,China
129,Bank of Communications,Beijing Energy Holding Co Ltd,China,China,214348602.2244015,China,China
130,Bank of Communications,China Energy Investment Corp Ltd,China,China,923220212.2668704,China,China
131,Bank of Communications,China Huadian Corp Ltd,China,China,1651786926.383177,China,China
132,Bank of Communications,China Huaneng Group Co Ltd,China,China,579329825.5521103,China,China
133,Bank of Communications,China National Petroleum Corporation (CNPC),China,China,1121871000.0,China,China
134,Bank of Communications,Guangdong Hengjian Investment Holding Co Ltd,China,China,4119356.83899843,China,China
135,Bank of Communications,Hebei Construction & Investment Group Co Ltd,China,China,134627625.0,China,China
136,Bank of Communications,Huayang New Material Technology Group Co Ltd,China,China,1067798875.0,China,China
137,Bank of Communications,Inner Mongolia Yitai Investment Co Ltd,China,China,151888000.0,China,China
138,Bank of Communications,Inpex Corp,China,Japan,70000000.0,China,Asia
139,Bank of Communications,Jinneng Holding Group Co Ltd,China,China,2025139491.767491,China,China
140,Bank of Communications,Jizhong Energy Group Co Ltd,China,China,2640935679.5,China,China
141,Bank of Communications,Kailuan Group Ltd Liability Corp,China,China,201553131.85,China,China
142,Bank of Communications,Lu'an Chemical Group Co Ltd,China,China,290287362.3,China,China
143,Bank of Communications,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,1316734698.49495,China,China
144,Bank of Communications,Shaanxi Investment Group Co Ltd,China,China,339059400.0,China,China
145,Bank of Communications,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,2767042275.474897,China,China
146,Bank of Communications,Shandong Energy Co Ltd,China,China,1031805522.799869,China,China
147,Bank of Communications,Shenergy Group Co Ltd,China,China,1032923980.680304,China,China
148,Bank of Communications,State Grid Corp of China,China,China,7031570250.0,China,China
149,Bank of Communications,Zhejiang Provincial Energy Group Co Ltd,China,China,174767270.0,China,China
150,Bank of Montreal,Arch Resources Inc,Canada,United States,128178572.0,North America,United States
151,Bank of Montreal,Chevron Corp,Canada,United States,300000000.0,North America,United States
152,Bank of Montreal,ConocoPhillips,Canada,United States,228571429.0,North America,United States
153,Bank of Montreal,Glencore PLC,Canada,Switzerland,564006689.8483073,North America,Europe
154,Bank of Montreal,Harbour Energy PLC,Canada,United Kingdom,1125000000.0,North America,Europe
155,Bank of Montreal,PPL Corp,Canada,United States,67499999.73,North America,United States
156,Bank of Montreal,Peabody Energy Corp,Canada,United States,275500000.0,North America,United States
157,Bank of Montreal,Teck Resources Ltd,Canada,Canada,524019916.8389001,North America,North America
158,Barclays,Adani Group,United Kingdom,India,640765354.6669874,Europe,Asia
159,Barclays,BHP Group Ltd,United Kingdom,Australia,60357142.88,Europe,Oceania
160,Barclays,Chevron Corp,United Kingdom,United States,3576120124.0,Europe,United States
161,Barclays,ConocoPhillips,United Kingdom,United States,1565502105.0,Europe,United States
162,Barclays,Equinor ASA,United Kingdom,Norway,2450090275.721993,Europe,Europe
163,Barclays,Evraz PLC,United Kingdom,United Kingdom,198969.1696552875,Europe,Europe
164,Barclays,Exxon Mobil Corp,United Kingdom,United States,12997230776.0,Europe,United States
165,Barclays,Glencore PLC,United Kingdom,Switzerland,617933284.5599704,Europe,Europe
166,Barclays,Harbour Energy PLC,United Kingdom,United Kingdom,38461538.0,Europe,Europe
167,Barclays,NTPC Ltd,United Kingdom,India,333014276.76,Europe,Asia
168,Barclays,Occidental Petroleum Corp,United Kingdom,United States,4034682261.346275,Europe,United States
169,Barclays,PPL Corp,United Kingdom,United States,1843792732.262933,Europe,United States
170,Barclays,Petróleos Mexicanos (PEMEX),United Kingdom,Mexico,1441435571.840682,Europe,North America
171,Barclays,Repsol SA,United Kingdom,Spain,370786330.7839388,Europe,Europe
172,Barclays,Shell PLC,United Kingdom,United Kingdom,6736049182.5,Europe,Europe
173,Barclays,Teck Resources Ltd,United Kingdom,Canada,53822916.83890001,Europe,North America
174,Barclays,TotalEnergies SE,United Kingdom,France,3266666388.531565,Europe,Europe
175,CIBC,BHP Group Ltd,Canada,Australia,60357142.88,North America,Oceania
176,CIBC,Equinor ASA,Canada,Norway,298899358.7219936,North America,Europe
177,CIBC,Glencore PLC,Canada,Switzerland,39741920.0,North America,Europe
178,CIBC,PPL Corp,Canada,United States,243000000.0,North America,United States
179,CIBC,Teck Resources Ltd,Canada,Canada,4239092916.838901,North America,North America
180,CaixaBank,Inpex Corp,Spain,Japan,43000000.0,Europe,Asia
181,CaixaBank,Repsol SA,Spain,Spain,369641870.7922244,Europe,Europe
182,China CITIC Bank,Beijing Energy Holding Co Ltd,China,China,990842211.6320438,China,China
183,China CITIC Bank,China Datang Corp,China,China,957787417.690982,China,China
184,China CITIC Bank,China Energy Investment Corp Ltd,China,China,1742086902.608001,China,China
185,China CITIC Bank,China Huadian Corp Ltd,China,China,8638466388.732302,China,China
186,China CITIC Bank,China Huaneng Group Co Ltd,China,China,2770361183.988577,China,China
187,China CITIC Bank,China National Petroleum Corporation (CNPC),China,China,2160796278.0,China,China
188,China CITIC Bank,Guangdong Hengjian Investment Holding Co Ltd,China,China,175358460.8724661,China,China
189,China CITIC Bank,Hebei Construction & Investment Group Co Ltd,China,China,225961665.4813423,China,China
190,China CITIC Bank,Huayang New Material Technology Group Co Ltd,China,China,55787625.0,China,China
191,China CITIC Bank,Jinneng Holding Group Co Ltd,China,China,5883659021.640965,China,China
192,China CITIC Bank,Jizhong Energy Group Co Ltd,China,China,1020178131.0,China,China
193,China CITIC Bank,Kailuan Group Ltd Liability Corp,China,China,137487180.0,China,China
194,China CITIC Bank,Lu'an Chemical Group Co Ltd,China,China,550676715.72,China,China
195,China CITIC Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,538583630.0664495,China,China
196,China CITIC Bank,Shaanxi Investment Group Co Ltd,China,China,480327450.0,China,China
197,China CITIC Bank,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,863846794.0473204,China,China
198,China CITIC Bank,Shaanxi Yulin Energy Group Co Ltd,China,China,112672954.8038898,China,China
199,China CITIC Bank,Shandong Energy Co Ltd,China,China,789915858.3536717,China,China
200,China CITIC Bank,Shanxi Coking Coal Group Co Ltd,China,China,36238149.06925625,China,China
201,China CITIC Bank,State Grid Corp of China,China,China,1556681625.0,China,China
202,China CITIC Bank,Zhejiang Provincial Energy Group Co Ltd,China,China,175777110.0,China,China
203,China Construction Bank,Anhui Province Wanbei Coal-Electricity Group Co Ltd,China,China,16837705.0,China,China
204,China Construction Bank,BHP Group Ltd,China,Australia,60357142.88,China,Oceania
205,China Construction Bank,Beijing Energy Holding Co Ltd,China,China,186247500.0,China,China
206,China Construction Bank,China Datang Corp,China,China,1130293870.293512,China,China
207,China Construction Bank,China Energy Investment Corp Ltd,China,China,4000340675.144654,China,China
208,China Construction Bank,China Huadian Corp Ltd,China,China,5012621799.578665,China,China
209,China Construction Bank,China Huaneng Group Co Ltd,China,China,2297434005.046359,China,China
210,China Construction Bank,China National Petroleum Corporation (CNPC),China,China,5232419133.0,China,China
211,China Construction Bank,China ZhenHua Oil Co Ltd,China,China,66888450.0,China,China
212,China Construction Bank,Elion Resources Group Ltd,China,China,111548000.0,China,China
213,China Construction Bank,Guangdong Hengjian Investment Holding Co Ltd,China,China,716149494.9525303,China,China
214,China Construction Bank,Hebei Construction & Investment Group Co Ltd,China,China,157802166.6319315,China,China
215,China Construction Bank,Huayang New Material Technology Group Co Ltd,China,China,1877653850.0,China,China
216,China Construction Bank,Inpex Corp,China,Japan,230769230.0,China,Asia
217,China Construction Bank,Jinneng Holding Group Co Ltd,China,China,5127415119.335449,China,China
218,China Construction Bank,Jizhong Energy Group Co Ltd,China,China,2475091553.62,China,China
219,China Construction Bank,Kailuan Group Ltd Liability Corp,China,China,179116800.0,China,China
220,China Construction Bank,Lu'an Chemical Group Co Ltd,China,China,237180978.45,China,China
221,China Construction Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,1634957039.66299,China,China
222,China Construction Bank,Shaanxi Investment Group Co Ltd,China,China,69246495.0,China,China
223,China Construction Bank,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,1563017998.495001,China,China
224,China Construction Bank,Shaanxi Yulin Energy Group Co Ltd,China,China,112672954.8038898,China,China
225,China Construction Bank,Shandong Energy Co Ltd,China,China,727339522.1207619,China,China
226,China Construction Bank,Shenergy Group Co Ltd,China,China,300592374.4298698,China,China
227,China Construction Bank,State Grid Corp of China,China,China,4972237158.558748,China,China
228,China Construction Bank,Zhejiang Provincial Energy Group Co Ltd,China,China,1297567175.0,China,China
229,China Everbright Bank,Anhui Province Wanbei Coal-Electricity Group Co Ltd,China,China,35347250.0,China,China
230,China Everbright Bank,Beijing Energy Holding Co Ltd,China,China,1439895373.539676,China,China
231,China Everbright Bank,China Datang Corp,China,China,1438893994.016519,China,China
232,China Everbright Bank,China Energy Investment Corp Ltd,China,China,416942664.398119,China,China
233,China Everbright Bank,China Huadian Corp Ltd,China,China,3779865242.07832,China,China
234,China Everbright Bank,China Huaneng Group Co Ltd,China,China,493962984.9152269,China,China
235,China Everbright Bank,China National Petroleum Corporation (CNPC),China,China,1419870000.0,China,China
236,China Everbright Bank,Hebei Construction & Investment Group Co Ltd,China,China,39070250.0,China,China
237,China Everbright Bank,Huayang New Material Technology Group Co Ltd,China,China,3040587500.0,China,China
238,China Everbright Bank,Inner Mongolia Yitai Investment Co Ltd,China,China,291786000.0,China,China
239,China Everbright Bank,Jinneng Holding Group Co Ltd,China,China,7991117527.761551,China,China
240,China Everbright Bank,Jizhong Energy Group Co Ltd,China,China,1296301296.0,China,China
241,China Everbright Bank,Lu'an Chemical Group Co Ltd,China,China,726783540.6,China,China
242,China Everbright Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,46568672.07170913,China,China
243,China Everbright Bank,Shaanxi Investment Group Co Ltd,China,China,34848225.0,China,China
244,China Everbright Bank,Shandong Energy Co Ltd,China,China,262357718.7047069,China,China
245,China Everbright Bank,State Grid Corp of China,China,China,4211464500.0,China,China
246,China Everbright Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,China,China,16961745.67514458,China,China
247,China Everbright Bank,Zhejiang Provincial Energy Group Co Ltd,China,China,45454545.0,China,China
248,China Merchants Bank,Beijing Energy Holding Co Ltd,China,China,2382553454.521473,China,China
249,China Merchants Bank,China Datang Corp,China,China,2864811320.271606,China,China
250,China Merchants Bank,China Energy Investment Corp Ltd,China,China,1762001697.601762,China,China
251,China Merchants Bank,China Huadian Corp Ltd,China,China,5524667004.797451,China,China
252,China Merchants Bank,China Huaneng Group Co Ltd,China,China,1910964621.226545,China,China
253,China Merchants Bank,China National Petroleum Corporation (CNPC),China,China,71405278.0,China,China
254,China Merchants Bank,China ZhenHua Oil Co Ltd,China,China,66888450.0,China,China
255,China Merchants Bank,Guangdong Hengjian Investment Holding Co Ltd,China,China,399981882.7710784,China,China
256,China Merchants Bank,Hebei Construction & Investment Group Co Ltd,China,China,34652500.0,China,China
257,China Merchants Bank,Huayang New Material Technology Group Co Ltd,China,China,72093500.0,China,China
258,China Merchants Bank,Hubei Yihua Chemical Industry Co Ltd,China,China,10218036.92,China,China
259,China Merchants Bank,Inner Mongolia Yitai Investment Co Ltd,China,China,43656900.0,China,China
260,China Merchants Bank,Jinneng Holding Group Co Ltd,China,China,3558116677.69351,China,China
261,China Merchants Bank,Jizhong Energy Group Co Ltd,China,China,126396465.0,China,China
262,China Merchants Bank,Kailuan Group Ltd Liability Corp,China,China,29091279.7,China,China
263,China Merchants Bank,Lu'an Chemical Group Co Ltd,China,China,868983719.4,China,China
264,China Merchants Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,687075056.2137834,China,China
265,China Merchants Bank,Shaanxi Investment Group Co Ltd,China,China,230941200.0,China,China
266,China Merchants Bank,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,3745733470.044609,China,China
267,China Merchants Bank,Shandong Energy Co Ltd,China,China,769252213.2525488,China,China
268,China Merchants Bank,Shenergy Group Co Ltd,China,China,574246044.019267,China,China
269,China Merchants Bank,State Grid Corp of China,China,China,886284000.0,China,China
270,China Merchants Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,China,China,340956107.9369203,China,China
271,China Merchants Bank,Zhejiang Provincial Energy Group Co Ltd,China,China,340577145.0,China,China
272,China Minsheng Bank,Beijing Energy Holding Co Ltd,China,China,477050069.7031533,China,China
273,China Minsheng Bank,China Coal Xinji Energy Co Ltd,China,China,72789500.0,China,China
274,China Minsheng Bank,China Datang Corp,China,China,227825045.1738193,China,China
275,China Minsheng Bank,China Huadian Corp Ltd,China,China,404159788.9135042,China,China
276,China Minsheng Bank,China Huaneng Group Co Ltd,China,China,383570344.6557182,China,China
277,China Minsheng Bank,China National Petroleum Corporation (CNPC),China,China,13693685000.0,China,China
278,China Minsheng Bank,Guangdong Hengjian Investment Holding Co Ltd,China,China,448421485.622509,China,China
279,China Minsheng Bank,Hebei Construction & Investment Group Co Ltd,China,China,19603875.0,China,China
280,China Minsheng Bank,Huayang New Material Technology Group Co Ltd,China,China,884315125.0,China,China
281,China Minsheng Bank,Jinneng Holding Group Co Ltd,China,China,1378719132.671064,China,China
282,China Minsheng Bank,Jizhong Energy Group Co Ltd,China,China,126731550.0,China,China
283,China Minsheng Bank,Kailuan Group Ltd Liability Corp,China,China,8537760.0,China,China
284,China Minsheng Bank,Lu'an Chemical Group Co Ltd,China,China,248984025.6,China,China
285,China Minsheng Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,China,China,426501899.9148909,China,China
286,China Minsheng Bank,Shaanxi Investment Group Co Ltd,China,China,43113300.0,China,China
287,China Minsheng Bank,Shandong Energy Co Ltd,China,China,352711335.2136236,China,China
288,China Minsheng Bank,Shanxi Coking Coal Group Co Ltd,China,China,374238888.1835929,China,China
289,China Minsheng Bank,State Grid Corp of China,China,China,2016220750.0,China,China
290,China Minsheng Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,China,China,23424183.58942033,China,China
291,China Minsheng Bank,Zhejiang Provincial Energy Group Co Ltd,China,China,45454545.0,China,China
292,Citi,Adani Group,United States,India,229644804.1597555,United States,Asia
293,Citi,Alliance Resource Partners LP,United States,United States,348920833.0,United States,United States
294,Citi,Arch Resources Inc,United States,United States,224928572.0,United States,United States
295,Citi,BHP Group Ltd,United States,Australia,60357142.88,United States,Oceania
296,Citi,Bulgarian Energy Holding EAD,United States,Bulgaria,239247430.0,United States,Europe
297,Citi,Chevron Corp,United States,United States,5449329457.0,United States,United States
298,Citi,China Datang Corp,United States,China,89710221.46000001,United States,China
299,Citi,China Huadian Corp Ltd,United States,China,36983433.43777198,United States,China
300,Citi,China Huaneng Group Co Ltd,United States,China,148888656.219359,United States,China
301,Citi,China National Petroleum Corporation (CNPC),United States,China,133333333.0,United States,China
302,Citi,ConocoPhillips,United States,United States,2388636361.0,United States,United States
303,Citi,Equinor ASA,United States,Norway,1798899358.721994,United States,Europe
304,Citi,Evraz PLC,United States,United Kingdom,677613.6043421046,United States,Europe
305,Citi,Exxaro Resources Ltd,United States,South Africa,307276057.6375915,United States,Africa
306,Citi,Exxon Mobil Corp,United States,United States,15330564109.0,United States,United States
307,Citi,Glencore PLC,United States,Switzerland,665547682.7802929,United States,Europe
308,Citi,Hess Corporation,United States,United States,714285714.0,United States,United States
309,Citi,ITOCHU Corp,United States,Japan,704384393.4,United States,Asia
310,Citi,Indian Oil Corp Ltd,United States,India,178200000.0,United States,Asia
311,Citi,Indika Energy Tbk PT,United States,Indonesia,414968898.267,United States,Asia
312,Citi,Indonesia Asahan Aluminium Persero PT,United States,Indonesia,510335048.8318794,United States,Asia
313,Citi,Inpex Corp,United States,Japan,545000000.0,United States,Asia
314,Citi,Jinneng Holding Group Co Ltd,United States,China,37693744.47533107,United States,China
315,Citi,Kuwait Petroleum Corp,United States,Kuwait,142857143.0,United States,Asia
316,Citi,Mitsubishi Corp,United States,Japan,333078652.7024406,United States,Asia
317,Citi,NTPC Ltd,United States,India,496794823.5,United States,Asia
318,Citi,Occidental Petroleum Corp,United States,United States,11364724641.47664,United States,United States
319,Citi,POSCO Holdings Inc,United States,South Korea,242899370.3687962,United States,Asia
320,Citi,PPL Corp,United States,United States,1618058695.837004,United States,United States
321,Citi,Peabody Energy Corp,United States,United States,800000000.0,United States,United States
322,Citi,Pertamina Persero PT,United States,Indonesia,1221547619.0,United States,Asia
323,Citi,Petróleo Brasileiro SA – Petrobras,United States,Brazil,5648171937.234013,United States,South America
324,Citi,Petróleos Mexicanos (PEMEX),United States,Mexico,7139733671.468018,United States,North America
325,Citi,QatarEnergy,United States,Qatar,1744444445.0,United States,Asia
326,Citi,Repsol SA,United States,Spain,535756306.7386871,United States,Europe
327,Citi,Shandong Energy Co Ltd,United States,China,63144722.32786885,United States,China
328,Citi,Shell PLC,United States,United Kingdom,2771333333.0,United States,Europe
329,Citi,Shenergy Group Co Ltd,United States,China,35271222.85406535,United States,China
330,Citi,State Grid Corp of China,United States,China,360511278.1752198,United States,China
