,Entity,Country,Zone
671,Hetaoyu Coal Mine,China,China
672,Hongliulin Coal Mine,China,China
673,Hongqinghe Coal Mine,China,China
674,Hongqingliang Coal Mine,China,China
675,Hongshaquan No.1 Coal Mine,China,China
676,Hongshuliang Coal Mine,China,China
677,Horizon Oil Sands Project,Canada,North America
678,Huangling No.2 Coal Mine,China,China
679,Huangyuchuan Coal Mine,China,China
680,Hulusu Coal Mine,China,China
681,Hunter Valley North Coal Mine,Australia,Oceania
682,Hunter Valley South Coal Mine,Australia,Oceania
683,Huojitu Well Of Daliuta Coal Mine,China,China
684,Hutton Coal Mine,Australia,Oceania
685,Inaglinskaya-2 Mine,Russia,Europe
686,Indexim Coalindo Coal Mine,Indonesia,Asia
687,Inner Mongolia Erlintu Coal Mine,China,China
688,"Integrated Belpahar, Lakhanpur, Lilari Coal Mine",India,Asia
689,Irati Shale,Brazil,South America
690,Jiangjun Gebi No.2 Coal Mine,China,China
691,Jinjie Coal Mine,China,China
692,Jinjitan Coal Mine,China,China
693,Johan Sverdrup,Norway,Europe
694,KPC Operation Coal Mine,Indonesia,Asia
695,Kaniha Coal Mine,India,Asia
696,Karachaganak,Kazakhstan,Asia
697,Kashagan,Kazakhstan,Asia
698,Kearl,Canada,North America
699,Kerandari BC,India,Asia
700,Khafji,Kuwait-Saudi Arabia,Asia
701,Khurais project,Saudi Arabia,Asia
702,Khursaniyah,Saudi Arabia,Asia
703,Kish Gas Project,Iran,Asia
704,Kolubara Mine Complex,Serbia,Europe
705,Kouzi East Coal Mine,China,China
706,Kronprins Christian Offshore,Denmark,Europe
707,Ku-Maloob-Zaap Project,Mexico,North America
708,Kusmunda Coal Mine,India,Asia
709,Kuznetsk Depression (Kuzbass) CBM,Russia,Europe
710,La Luna Shale,Colombia,South America
711,La Luna Shale,Venezuela,South America
712,Lakhanpur Coal Mine,India,Asia
713,Leningradskoye (Kara Sea),Russia,Europe
714,Lensky Basin CBM,Russia,Europe
715,Leviathan,Israel,Asia
716,Liard Shale,Canada,North America
717,Libra,Brazil,South America
718,Lijiahao Coal Mine,China,China
719,Listvianskaya Coal Mine,Russia,Europe
720,Liuzhuang Coal Mine,China,China
721,Llandovery Shale,Brazil,South America
722,Longmaxi Shale (Sichuan/Changyu),China,China
723,Longmaxi Shale,China,China
724,Longwan Coal Mine,China,China
725,Longwanggou Coal Mine,China,China
726,Lower Zakum,United Arab Emirates,Asia
727,Loy Yang Coal Mine,Australia,Oceania
728,Lublin Basin Silurian Shale,Poland,Europe
729,Lula (X-Tupi),Brazil,South America
730,MC #1 Coal Mine,United States,United States
731,MHU Coal Mine,Indonesia,Asia
732,MZLNG Joint Development (T1-T2),Mozambique,Africa
733,Madaotou Coal Mine,China,China
734,Majialiang Coal Mine,China,China
735,Majnoon,Iraq,Asia
736,Mandakini B,India,Asia
737,Manifa (redevelop),Saudi Arabia,Asia
738,Mansouri Bangestan,Iran,Asia
739,Marcellus Shale,United States,United States
740,Maritsa Coal Mines,Bulgaria,Europe
741,Marjan,Saudi Arabia,Asia
742,Marun,Iran,Asia
743,Meihuajing Coal Mine,China,China
744,Mengcun Coal Mine,China,China
745,Menilite Shale,Ukraine,Europe
746,Menkeqing Coal Mine,China,China
747,Meramec Shale,United States,United States
748,Mero (Libra NW),Brazil,South America
749,Moher Amlohri Coal Mine,India,Asia
750,Montney Play,Canada,North America
751,Mount Pleasant Coal Mine,Australia,Oceania
752,Muduchaideng Coal Mine,China,China
753,Murray River Coal Mine,Canada,North America
754,NLNG Base Project,Nigeria,Africa
755,Nahr bin Umar,Iraq,Asia
756,Nalin River No.2 Coal Mine,China,China
757,New Largo Coal Mine,South Africa,Africa
758,Ningtiaota Coal Mine,China,China
759,Ningxia Hongliu Coal Mine,China,China
760,North Antelope Rochelle Coal Mine,United States,United States
761,North Field C LNG,Qatar,Asia
762,North Field E,Qatar,Asia
763,North Field,Qatar,Asia
764,North Kara Sea Offshore,Russia,Europe
765,North Slope Onshore,United States,United States
766,Oil shale China,China,China
767,Olive Downs Coal Mine,Australia,Oceania
768,Orinoco Joint Ventures,Venezuela,South America
769,PRB Tight Oil,United States,United States
770,PTBA Coal Mines,Indonesia,Asia
771,Paardekop Coal Mine,South Africa,Africa
772,Pakar North Coal Mine,Indonesia,Asia
773,Pangpangta Coal Mine,China,China
774,Parnaiba Onshore,Brazil,South America
775,Pars Southwest,Iran,Asia
776,Pasir Coal Mine,Indonesia,Asia
777,Pazanan,Iran,Asia
778,Peak Downs Coal Mine,Australia,Oceania
779,Pereyaslovskiy Coal Mine,Russia,Europe
780,Permian Conventional_Texas,United States,United States
781,Permian Delaware Tight,United States,United States
782,Permian Midland Tight,United States,United States
783,Pervomaisky Coal Mine,Russia,Europe
784,Phulbari Coal Mine,Bangladesh,Asia
785,Pingshuo East Coal Mine,China,China
786,Pribbenow Coal Mine,Colombia,South America
787,Project Kuwait,Kuwait,Asia
788,Project Motheo,Botswana,Africa
789,QatarGas 1 LNG T1-T3,Qatar,Asia
790,QatarGas LNG T12-T13 (NFE-South),Qatar,Asia
791,QatarGas LNG T8-T11 (NFE-East),Qatar,Asia
792,Qatargas 2 LNG T4-T5,Qatar,Asia
793,Qatif project,Saudi Arabia,Asia
794,Qingchunta Coal Mine,China,China
795,Qinghua No.7 Coal Mine,China,China
796,Qingshuiying Coal Mine,China,China
797,Qiyuan Coal Mine,China,China
798,Qurna West-2,Iraq,Asia
799,Qurna West,Iraq,Asia
800,Rajmahal Coal Mine,India,Asia
801,Rasgas 2 LNG T3-T5,Qatar,Asia
802,Rasgas 3 LNG T6-T7,Qatar,Asia
803,Raspadskaya Coal Mine,Russia,Europe
804,Ratawi,Iraq,Asia
805,Red Hill Coal Project,Australia,Oceania
806,Revuboe Coal Mine,Mozambique,Africa
807,Romashkino,Russia,Europe
808,Rumaila North & South,Iraq,Asia
809,Rusanovskoye (Kara Sea),Russia,Europe
810,Saebyol Coal Mining Complex,North Korea,Asia
811,Safaniya YTF Concession,Saudi Arabia,Asia
812,Safaniya,Saudi Arabia,Asia
813,Saharpur Jamarpani,India,Asia
814,Samotlorneftegaz (TNK-BP),Russia,Europe
815,San Juan Coal Mine,Colombia,South America
816,Sandaogou Coal Mine,China,China
817,Sanjiao No.1 Coal Mine,China,China
818,Santos Offshore,Brazil,South America
819,Saraji East Coal Mine,Australia,Oceania
820,Sembar Shale,Pakistan,Asia
821,Sengwe Colliery,Zimbabwe,Africa
822,SeverEnergia Project,Russia,Europe
823,Shaanxi Caojiatan Coal Mine,China,China
824,Shahaiji No.1 Coal Mine,China,China
825,Shajihai No.2 Coal Mine,China,China
826,Shangwan Coal Mine,China,China
827,Shangyuquan Coal Mine,China,China
828,Shanxi Dongda Coal Mine,China,China
829,Shanxi Lu'an Gucheng Coal Mine,China,China
830,Shaqu No.1 Coal Mine,China,China
831,Shaybah,Saudi Arabia,Asia
832,Shengli East No.2 Coal Mine,China,China
833,Shengli No.1 Open-Pit Coal Mine,China,China
834,Shengli,China,China
835,Shenhua Baorixile Surface Coal Mine,China,China
836,Shenhua Bulianta Coal Mine,China,China
837,Shenhua Heidaigou Surface Coal Mine,China,China
838,Shicaocun Coal Mine,China,China
839,Shigetai Coal Mine,China,China
840,Shilawusu Coal Mine,China,China
841,Shitoumei No.1 Coal Mine,China,China
842,Shtokman,Russia,Europe
843,Shubarkol Coal Mine,Kazakhstan,Asia
844,Shurapskaya Coal Mine,Russia,Europe
845,Siarmal Coal Mine,India,Asia
846,Sihe Coal Mine,China,China
847,Sijiazhuang Coal Mine,China,China
848,Sirte Shale,Libya,Africa
849,South Pars (Phases 2-3) dry gas,Iran,Asia
850,South Pars (Phases 20-21),Iran,Asia
851,South Pars (Phases 22-24),Iran,Asia
852,South Pars (Phases 4-5) dry gas,Iran,Asia
853,South Pars (Phases 9-10) dry gas,Iran,Asia
854,Southeast Uplift Onshore Heilongjiang Province,China,China
855,"Spirit River (Notikewin, Falher, Wilrich)",Canada,North America
856,Stepnoy Coal Mine,Russia,Europe
857,Suancigou Coal Mine,China,China
858,Sudair Shale,Saudi Arabia,Asia
859,Sugodinsk-Ogodzhinsky Coal Mine,Russia,Europe
860,Syncrude Mildred Lake/Aurora,Canada,North America
861,Talahao Coal Mine,China,China
862,Talaipalli Coal Mine,India,Asia
863,Taldinsky Coal Mine,Russia,Europe
864,Talike District No. 2 Coal Mine,China,China
865,Tambey Zone (Yamal Megaproject),Russia,Europe
866,Tanf Shale,Syria,Asia
867,Tannezuft Shale,Algeria,Africa
868,Tanzanian Coastal Offshore,Tanzania,Africa
869,Taohe Coal Mine,China,China
870,Taran Gaole Coal Mine,China,China
871,Tarim (CNPC),China,China
872,Tashan Coal Mine,China,China
873,Tavan Tolgoi Coal Mine,Mongolia,Asia
874,Taymyr Basin CBM,Russia,Europe
875,Tengiz,Kazakhstan,Asia
876,Thar Coal Mine,Pakistan,Asia
877,Timan - Pechora Basin Offshore,Russia,Europe
878,Timan - Pechora Basin Onshore,Russia,Europe
879,Tongxin Coal Mine,China,China
880,Troll,Norway,Europe
881,Tunguska Basin CBM,Russia,Europe
882,Tutupan Coal Mine,Indonesia,Asia
883,Ulug-Khem Project,Russia,Europe
884,Umm Shaif/Nasr,United Arab Emirates,Asia
885,Upper Zakum,United Arab Emirates,Asia
886,Urengoyskoye,Russia,Europe
887,Usinsk-1 Coal Mine,Russia,Europe
888,Utica Shale,United States,United States
889,Vaca Muerta Shale,Argentina,South America
890,Valeria Coal Mine,Australia,Oceania
891,Velkerri Shale,Australia,Oceania
892,Volga - Urals Onshore,Russia,Europe
893,Wangjialing Coal Mine,China,China
894,Wangjiata Coal Mine,China,China
895,Wangwa Coal Mine,China,China
896,Wards Well Coal Mine,Australia,Oceania
897,Weijiamao Open Pit Mine,China,China
898,Wenjiazhuang Coal Mine,China,China
899,West Florida Offshore,United States,United States
900,West Macedonia Lignite Centre (WMLC),Greece,Europe
901,West Siberia Offshore,Russia,Europe
902,West Siberia Onshore,Russia,Europe
903,West Well of Faer Second Coal Mine,China,China
904,Western Gulf Province_Texas,United States,United States
905,Wilton and Fairhill Coal Projects,Australia,Oceania
906,Woodford Shale,United States,United States
907,Wucaiwan No.1 Coal Mine,China,China
908,Wucaiwan No.1 Surface Mine,China,China
909,Wudong Coal Mine,China,China
910,Xiaobaodang No.1 Coal Mine,China,China
911,Xiaobaodang No.2 Coal Mine,China,China
912,Xiaojiawa Coal Mine,China,China
913,Xiaojihan Coal Mine,China,China
914,Xiaozhuang Coal Mine,China,China
915,Xinjiang (CNPC),China,China
916,Xinjiang Hongshan Coal Mine,China,China
917,Xinwen Ili No.1 Coal Mine,China,China
918,Xinzhuang Coal Mine,China,China
919,Xiwan Surface Coal Mine,China,China
920,Yadian Coal Mine,China,China
921,Yallourn,Australia,Oceania
922,Yangchangwan No.1 Well Coal Mine,China,China
923,Yangjiacun Coal Mine,China,China
924,Yangquan No.1 Coal Mine,China,China
925,Yashlar Vostochnyy (East),Turkmenistan,Asia
926,Yili No.4 Coal Mine,China,China
927,Yimin Surface Coal Mine,China,China
928,Yingpanhao Coal Mine,China,China
929,Yolotan (Iolotan) South,Turkmenistan,Asia
930,Youngs Creek Coal Mine,United States,United States
931,Yucatan Platform Offshore,Mexico,North America
932,Yuganskneftegaz,Russia,Europe
933,Yushuwan Coal Mine,China,China
934,Yuwang No.1 Coal Mine,China,China
935,Zambezi Coal Mine,Mozambique,Africa
936,Zaoquan Coal Mine,China,China
937,Zhangji Coal Mine,China,China
938,Zhangjiamao Coal Mine,China,China
939,Zhaoshipan Coal Mine,China,China
940,Zhong Yu Coal Mine,China,China
941,Zhundong Surface Mine,China,China
942,Zubair,Iraq,Asia
943,Zuluf (CR in field),Saudi Arabia,Asia
944,Zuluf (expansion),Saudi Arabia,Asia
945,Zuluf,Saudi Arabia,Asia
