,Bank,Company,Grand Total,Amount
380,Credit Suisse,TotalEnergies SE,Grand Total,1400156359.216577
381,Credit Suisse,State Grid Corp of China,Grand Total,219741135.763945
382,Credit Suisse,Huayang New Material Technology Group Co Ltd,Grand Total,217896969.945
383,Deutsche Bank,TotalEnergies SE,Grand Total,2091275110.286798
384,Deutsche Bank,Hebei Construction & Investment Group Co Ltd,Grand Total,239639209.9612024
385,Deutsche Bank,Electricity Generating PCL,Grand Total,104003337.6094426
386,Deutsche Bank,Jinneng Holding Group Co Ltd,Grand Total,271541958.3815905
387,Deutsche Bank,Glencore PLC,Grand Total,715363786.9173045
388,Deutsche Bank,Petróleos Mexicanos (PEMEX),Grand Total,2325263625.27
389,Deutsche Bank,ConocoPhillips,Grand Total,375000000.0
390,Deutsche Bank,QatarEnergy,Grand Total,1744444445.0
391,Deutsche Bank,Delek Group Ltd,Grand Total,78066207.828125
392,Deutsche Bank,Chevron Corp,Grand Total,32343750.0
393,Deutsche Bank,Teck Resources Ltd,Grand Total,53822916.83890001
394,Deutsche Bank,Occidental Petroleum Corp,Grand Total,428571428.0
395,Deutsche Bank,Pertamina Persero PT,Grand Total,525000000.0
396,Deutsche Bank,BHP Group Ltd,Grand Total,60357142.88
397,Deutsche Bank,State Grid Corp of China,Grand Total,344374134.8820747
398,Deutsche Bank,Equinor ASA,Grand Total,631902358.7219937
399,Deutsche Bank,Evraz PLC,Grand Total,358144.5068120955
400,Deutsche Bank,Exxaro Resources Ltd,Grand Total,59119623.84232538
401,Deutsche Bank,Exxon Mobil Corp,Grand Total,2997231111.0
402,Deutsche Bank,Gazprom PJSC,Grand Total,1000905910.999391
403,Deutsche Bank,NTPC Ltd,Grand Total,263658188.97
404,Deutsche Bank,Peabody Energy Corp,Grand Total,188000000.0
405,Deutsche Bank,Petróleo Brasileiro SA – Petrobras,Grand Total,132857142.99
406,Deutsche Bank,Repsol SA,Grand Total,222481203.7922243
407,Deutsche Bank,Huayang New Material Technology Group Co Ltd,Grand Total,217896969.945
408,Deutsche Bank,Indika Energy Tbk PT,Grand Total,222304766.92875
409,Deutsche Bank,Shandong Energy Co Ltd,Grand Total,626074989.0054029
410,Deutsche Bank,Shanxi Coking Coal Group Co Ltd,Grand Total,121847273.73
411,Deutsche Bank,Shell PLC,Grand Total,4036358749.0
412,Deutsche Bank,Bayan Resources Tbk PT,Grand Total,200000000.0
413,Deutsche Bank,Adani Group,Grand Total,230040744.996236
414,Deutsche Bank,China National Petroleum Corporation (CNPC),Grand Total,174336000.0
415,Deutsche Bank,Lu'an Chemical Group Co Ltd,Grand Total,54213985.5504
416,DZ Bank,Indian Oil Corp Ltd,Grand Total,74969845.57638086
417,DZ Bank,TotalEnergies SE,Grand Total,75000000.0
418,Goldman Sachs,Hess Corporation,Grand Total,3528035714.0
419,Goldman Sachs,Peabody Energy Corp,Grand Total,1110041667.0
420,Goldman Sachs,Glencore PLC,Grand Total,114349353.14
421,Goldman Sachs,Delek Group Ltd,Grand Total,59741850.0
422,Goldman Sachs,China National Petroleum Corporation (CNPC),Grand Total,1123751711.0
423,Goldman Sachs,China Energy Investment Corp Ltd,Grand Total,267157909.9802716
424,Goldman Sachs,State Grid Corp of China,Grand Total,494459187.054012
425,Goldman Sachs,ConocoPhillips,Grand Total,280112497.0
426,Goldman Sachs,Arch Resources Inc,Grand Total,96750000.0
427,Goldman Sachs,POSCO Holdings Inc,Grand Total,44518915.79542806
428,Goldman Sachs,Repsol SA,Grand Total,638902261.4869344
429,Goldman Sachs,Shandong Energy Co Ltd,Grand Total,199730423.4811788
430,Goldman Sachs,Teck Resources Ltd,Grand Total,213999916.8389
431,Goldman Sachs,Mitsubishi Corp,Grand Total,85972237.37474473
432,Goldman Sachs,Shell PLC,Grand Total,3801418333.0
433,Goldman Sachs,Chevron Corp,Grand Total,968181803.0
434,Goldman Sachs,Equinor ASA,Grand Total,1450420275.721994
435,Goldman Sachs,Petróleo Brasileiro SA – Petrobras,Grand Total,1277355566.837437
436,Goldman Sachs,Petróleos Mexicanos (PEMEX),Grand Total,2776552300.7514
437,Goldman Sachs,PPL Corp,Grand Total,278065322.1186396
438,Goldman Sachs,QatarEnergy,Grand Total,1744444445.0
439,Goldman Sachs,BHP Group Ltd,Grand Total,60357142.88
440,Goldman Sachs,TotalEnergies SE,Grand Total,2204754467.799752
441,HSBC,ConocoPhillips,Grand Total,1788636364.0
442,HSBC,Pertamina Persero PT,Grand Total,1644166667.0
443,HSBC,Delek Group Ltd,Grand Total,934741850.0
444,HSBC,Glencore PLC,Grand Total,582319409.129357
445,HSBC,Petróleos Mexicanos (PEMEX),Grand Total,7772220376.508041
446,HSBC,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
447,HSBC,POSCO Holdings Inc,Grand Total,182600240.5519161
448,HSBC,NTPC Ltd,Grand Total,93000000.0
449,HSBC,Petróleo Brasileiro SA – Petrobras,Grand Total,2090340326.727781
450,HSBC,Repsol SA,Grand Total,426640983.5009561
451,HSBC,China Huadian Corp Ltd,Grand Total,36983433.43777198
452,HSBC,Exxon Mobil Corp,Grand Total,7497230776.0
453,HSBC,Occidental Petroleum Corp,Grand Total,4037340866.471045
454,HSBC,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,5886858.122508993
455,HSBC,Harbour Energy PLC,Grand Total,38461538.0
456,HSBC,QatarEnergy,Grand Total,1744444445.0
457,HSBC,ITOCHU Corp,Grand Total,44166668.0
458,HSBC,Shell PLC,Grand Total,5745957689.382341
459,HSBC,State Grid Corp of China,Grand Total,937838952.5202717
460,HSBC,China Huaneng Group Co Ltd,Grand Total,237417265.8711732
461,HSBC,Chevron Corp,Grand Total,1189610373.0
462,HSBC,TotalEnergies SE,Grand Total,1885635607.90002
463,HSBC,Kuwait Petroleum Corp,Grand Total,142857143.0
464,HSBC,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,918788.8743975832
465,HSBC,Indonesia Asahan Aluminium Persero PT,Grand Total,370858035.8865595
466,ICBC,State Grid Corp of China,Grand Total,20867896289.19395
467,ICBC,China National Petroleum Corporation (CNPC),Grand Total,19600407911.0
468,ICBC,China Huaneng Group Co Ltd,Grand Total,5729790394.775904
469,ICBC,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,4341726210.535794
470,ICBC,Beijing Energy Holding Co Ltd,Grand Total,2109602451.464702
471,ICBC,China Huadian Corp Ltd,Grand Total,7248869734.448806
472,ICBC,China Energy Investment Corp Ltd,Grand Total,2810318554.692064
473,ICBC,Hebei Construction & Investment Group Co Ltd,Grand Total,267180750.0
474,ICBC,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,207520600.0
475,ICBC,Shandong Energy Co Ltd,Grand Total,2771458994.761119
476,ICBC,Inpex Corp,Grand Total,276769230.0
477,ICBC,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,500625012.0710695
478,ICBC,Shaanxi Investment Group Co Ltd,Grand Total,21903150.0
479,ICBC,Shell PLC,Grand Total,821608000.0
480,ICBC,Huayang New Material Technology Group Co Ltd,Grand Total,277614375.0
481,ICBC,China Datang Corp,Grand Total,1425595480.785094
482,ICBC,Jinneng Holding Group Co Ltd,Grand Total,1168882345.504022
483,ICBC,Kailuan Group Ltd Liability Corp,Grand Total,258729185.25
484,ICBC,Shanxi Coking Coal Group Co Ltd,Grand Total,452827830.8983865
485,ICBC,Zhejiang Provincial Energy Group Co Ltd,Grand Total,1476902835.0
486,ICBC,Shenergy Group Co Ltd,Grand Total,356962086.1657483
487,ICBC,Lu'an Chemical Group Co Ltd,Grand Total,386823442.1999999
488,Industrial Bank,Jinneng Holding Group Co Ltd,Grand Total,10174482164.42526
489,Industrial Bank,State Grid Corp of China,Grand Total,2308894875.0
490,Industrial Bank,China Huadian Corp Ltd,Grand Total,1903080186.286846
491,Industrial Bank,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,8689577656.773602
492,Industrial Bank,Huayang New Material Technology Group Co Ltd,Grand Total,2114830750.0
493,Industrial Bank,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,1966184498.306695
494,Industrial Bank,China Huaneng Group Co Ltd,Grand Total,1075301302.887156
495,Industrial Bank,Beijing Energy Holding Co Ltd,Grand Total,1013360945.331448
496,Industrial Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,2092856805.821134
497,Industrial Bank,Shandong Energy Co Ltd,Grand Total,2539740322.051234
498,Industrial Bank,China Energy Investment Corp Ltd,Grand Total,1865221056.336977
499,Industrial Bank,Lu'an Chemical Group Co Ltd,Grand Total,408043110.15
500,Industrial Bank,Shaanxi Investment Group Co Ltd,Grand Total,502022145.0
501,Industrial Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,300096462.1242527
502,Industrial Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,45454545.0
503,Industrial Bank,China Datang Corp,Grand Total,2247411741.937876
504,Industrial Bank,Jizhong Energy Group Co Ltd,Grand Total,3905712945.5
505,Industrial Bank,Kailuan Group Ltd Liability Corp,Grand Total,42692100.0
506,Industrial Bank,China National Petroleum Corporation (CNPC),Grand Total,947868300.0
507,Industrial Bank,China ZhenHua Oil Co Ltd,Grand Total,67562550.0
508,Industrial Bank,Shenergy Group Co Ltd,Grand Total,162305237.3030824
509,Industrial Bank,Shanxi Coking Coal Group Co Ltd,Grand Total,450502143.3322518
510,ING,Glencore PLC,Grand Total,1541539565.002332
511,ING,Inpex Corp,Grand Total,43000000.0
512,ING,Evraz PLC,Grand Total,533237.3760132433
513,ING,TotalEnergies SE,Grand Total,118360000.0
514,ING,Gazprom PJSC,Grand Total,91181052.55
515,ING,Harbour Energy PLC,Grand Total,38461538.0
516,ING,Kuwait Petroleum Corp,Grand Total,480833334.0
517,ING,State Grid Corp of China,Grand Total,68314343.28154065
518,ING,Delek Group Ltd,Grand Total,277915699.868125
519,ING,Mitsubishi Corp,Grand Total,22675740.0
520,Intesa Sanpaolo,TotalEnergies SE,Grand Total,873879325.0
521,Intesa Sanpaolo,Adani Group,Grand Total,35524842.61989594
522,Intesa Sanpaolo,Repsol SA,Grand Total,54479000.0
523,Intesa Sanpaolo,Gazprom PJSC,Grand Total,974710443.6
524,Intesa Sanpaolo,Bulgarian Energy Holding EAD,Grand Total,68773892.0
525,Intesa Sanpaolo,Glencore PLC,Grand Total,39741920.0
526,JPMorgan Chase,ConocoPhillips,Grand Total,4514646127.0
527,JPMorgan Chase,Hess Corporation,Grand Total,3528035714.0
528,JPMorgan Chase,TotalEnergies SE,Grand Total,2740681237.912616
529,JPMorgan Chase,Glencore PLC,Grand Total,676658307.2041324
530,JPMorgan Chase,Inpex Corp,Grand Total,46000000.0
531,JPMorgan Chase,Occidental Petroleum Corp,Grand Total,8128075841.309839
532,JPMorgan Chase,Shell PLC,Grand Total,5240341428.9
533,JPMorgan Chase,Mitsubishi Corp,Grand Total,143154166.5335862
534,JPMorgan Chase,Kuwait Petroleum Corp,Grand Total,142857143.0
535,JPMorgan Chase,Shandong Energy Co Ltd,Grand Total,378329916.7560707
536,JPMorgan Chase,Peabody Energy Corp,Grand Total,1058041667.0
537,JPMorgan Chase,Petróleo Brasileiro SA – Petrobras,Grand Total,4493171709.783329
538,JPMorgan Chase,Petróleos Mexicanos (PEMEX),Grand Total,6044869770.260682
539,JPMorgan Chase,PPL Corp,Grand Total,1976802679.874294
540,JPMorgan Chase,State Grid Corp of China,Grand Total,360511278.1752198
541,JPMorgan Chase,QatarEnergy,Grand Total,1744444445.0
542,JPMorgan Chase,Teck Resources Ltd,Grand Total,4089249916.8389
543,JPMorgan Chase,Repsol SA,Grand Total,471057380.9324411
544,JPMorgan Chase,Exxon Mobil Corp,Grand Total,15330564109.0
545,JPMorgan Chase,Adani Group,Grand Total,175509465.9492292
546,JPMorgan Chase,Chevron Corp,Grand Total,4659453457.0
547,JPMorgan Chase,China Huadian Corp Ltd,Grand Total,72450170.49
548,JPMorgan Chase,China Huaneng Group Co Ltd,Grand Total,148888656.219359
549,JPMorgan Chase,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
550,JPMorgan Chase,BHP Group Ltd,Grand Total,60357142.88
551,JPMorgan Chase,Equinor ASA,Grand Total,2450420275.721993
552,JPMorgan Chase,Alliance Resource Partners LP,Grand Total,348920833.0
553,JPMorgan Chase,Delek Group Ltd,Grand Total,1124811865.05
554,JPMorgan Chase,Evraz PLC,Grand Total,891381.8828253389
555,JPMorgan Chase,Gazprom PJSC,Grand Total,4588553791.545782
556,JPMorgan Chase,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,3098346.392008993
557,JPMorgan Chase,Bulgarian Energy Holding EAD,Grand Total,149364093.2
558,JPMorgan Chase,Harbour Energy PLC,Grand Total,38461538.0
559,JPMorgan Chase,ITOCHU Corp,Grand Total,23479479.78
560,JPMorgan Chase,Indika Energy Tbk PT,Grand Total,130912807.191375
561,KB Financial,POSCO Holdings Inc,Grand Total,407497183.8758748
562,Lloyds,Delek Group Ltd,Grand Total,78066207.828125
563,Lloyds,Shell PLC,Grand Total,720377500.0
564,Lloyds,Harbour Energy PLC,Grand Total,1304070538.0
565,Mizuho,ConocoPhillips,Grand Total,1788636364.0
566,Mizuho,Hess Corporation,Grand Total,2904285714.0
567,Mizuho,Pertamina Persero PT,Grand Total,1527896825.0
568,Mizuho,POSCO Holdings Inc,Grand Total,50910847.73752309
569,Mizuho,Glencore PLC,Grand Total,591947222.6861026
570,Mizuho,State Grid Corp of China,Grand Total,1419193337.528813
571,Mizuho,PPL Corp,Grand Total,1374563764.491241
572,Mizuho,Chevron Corp,Grand Total,1815677083.0
573,Mizuho,Petróleos Mexicanos (PEMEX),Grand Total,3994588943.77546
574,Mizuho,China Huadian Corp Ltd,Grand Total,82437978.43777198
575,Mizuho,Inpex Corp,Grand Total,1156946500.0
576,Mizuho,Shell PLC,Grand Total,688000000.0
577,Mizuho,ITOCHU Corp,Grand Total,23479479.78
578,Mizuho,China Huaneng Group Co Ltd,Grand Total,148888656.219359
579,Mizuho,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
580,Mizuho,Adani Group,Grand Total,210093693.7031887
581,Mizuho,Petróleo Brasileiro SA – Petrobras,Grand Total,2461729603.18335
582,Mizuho,Mitsubishi Corp,Grand Total,228937103.1285436
583,Mizuho,Repsol SA,Grand Total,254775451.7208413
584,Mizuho,Sojitz Corp,Grand Total,38721647.42060851
585,Mizuho,Gazprom PJSC,Grand Total,565447168.4964318
586,Mizuho,TotalEnergies SE,Grand Total,1266273972.299336
587,Mizuho,Teck Resources Ltd,Grand Total,160177000.0
588,Mizuho,BHP Group Ltd,Grand Total,60357142.88
589,Mizuho,Exxon Mobil Corp,Grand Total,1111111111.0
590,Mizuho,NTPC Ltd,Grand Total,271161426.72
591,Mizuho,Equinor ASA,Grand Total,881902358.7219937
592,Mizuho,Occidental Petroleum Corp,Grand Total,1784548888.802356
593,Morgan Stanley,Hess Corporation,Grand Total,3278035714.0
594,Morgan Stanley,Delek Group Ltd,Grand Total,137808057.828125
595,Morgan Stanley,Thungela Resources Ltd,Grand Total,51923907.0
596,Morgan Stanley,Glencore PLC,Grand Total,560658284.250751
597,Morgan Stanley,Petróleo Brasileiro SA – Petrobras,Grand Total,2178084158.017233
598,Morgan Stanley,Bayan Resources Tbk PT,Grand Total,200000000.0
599,Morgan Stanley,PPL Corp,Grand Total,472000270.27
600,Morgan Stanley,Shandong Energy Co Ltd,Grand Total,377107595.0
601,Morgan Stanley,Equinor ASA,Grand Total,548899358.7219937
602,Morgan Stanley,China Huadian Corp Ltd,Grand Total,297410129.0725936
603,Morgan Stanley,Occidental Petroleum Corp,Grand Total,428571428.0
604,Morgan Stanley,Exxon Mobil Corp,Grand Total,9444444443.0
605,Morgan Stanley,TotalEnergies SE,Grand Total,2196026933.252307
606,Morgan Stanley,Arch Resources Inc,Grand Total,128178572.0
607,Morgan Stanley,Petróleos Mexicanos (PEMEX),Grand Total,1644253129.340682
608,Morgan Stanley,Repsol SA,Grand Total,1304210538.255577
609,Morgan Stanley,Shell PLC,Grand Total,7299931251.0
610,Morgan Stanley,Sojitz Corp,Grand Total,55068964.35097651
611,Morgan Stanley,State Grid Corp of China,Grand Total,560809509.6198738
612,Morgan Stanley,Chevron Corp,Grand Total,618181803.0
613,Morgan Stanley,Teck Resources Ltd,Grand Total,53822916.83890001
614,Morgan Stanley,China Datang Corp,Grand Total,190489566.522387
615,Morgan Stanley,ConocoPhillips,Grand Total,228571429.0
616,Morgan Stanley,China Energy Investment Corp Ltd,Grand Total,267157909.9802716
617,Morgan Stanley,Mitsubishi Corp,Grand Total,255498956.1162321
618,Morgan Stanley,Inpex Corp,Grand Total,46071500.0
619,MUFG,ConocoPhillips,Grand Total,1642207793.0
620,MUFG,Inpex Corp,Grand Total,1630675000.0
621,MUFG,Hess Corporation,Grand Total,2904285714.0
622,MUFG,Pertamina Persero PT,Grand Total,913492062.0
623,MUFG,Petróleo Brasileiro SA – Petrobras,Grand Total,1035631966.314887
624,MUFG,TotalEnergies SE,Grand Total,1270338115.590372
625,MUFG,Glencore PLC,Grand Total,596967625.7381366
626,MUFG,Sojitz Corp,Grand Total,5707647.537809568
627,MUFG,Gazprom PJSC,Grand Total,200000000.0
628,MUFG,PPL Corp,Grand Total,409316354.886947
629,MUFG,Adani Group,Grand Total,304874706.3192255
630,MUFG,Chevron Corp,Grand Total,3382343084.0
631,MUFG,Equinor ASA,Grand Total,298899358.7219936
632,MUFG,BHP Group Ltd,Grand Total,60357142.88
633,MUFG,ITOCHU Corp,Grand Total,44166668.0
634,MUFG,Petróleos Mexicanos (PEMEX),Grand Total,2241869769.470682
635,MUFG,China Energy Investment Corp Ltd,Grand Total,3255830.117296706
636,MUFG,QatarEnergy,Grand Total,944444445.0
637,MUFG,Repsol SA,Grand Total,279480316.5009561
638,MUFG,Mitsubishi Corp,Grand Total,96923843.55327807
639,MUFG,State Grid Corp of China,Grand Total,150155679.1043932
640,MUFG,NTPC Ltd,Grand Total,500654016.42
641,MUFG,Occidental Petroleum Corp,Grand Total,4709007199.161045
642,MUFG,Indonesia Asahan Aluminium Persero PT,Grand Total,275710577.1930302
643,NAB,Glencore PLC,Grand Total,490060520.8671066
644,NAB,BHP Group Ltd,Grand Total,60357142.88
645,NAB,ITOCHU Corp,Grand Total,44166668.0
646,NAB,State Grid Corp of China,Grand Total,122620993.0475166
647,NatWest,Glencore PLC,Grand Total,553258517.9168749
648,NatWest,TotalEnergies SE,Grand Total,170296302.6213821
649,NatWest,Harbour Energy PLC,Grand Total,140609000.0
650,NatWest,PPL Corp,Grand Total,94500270.0
651,NatWest,Repsol SA,Grand Total,388595639.7386871
652,NatWest,Delek Group Ltd,Grand Total,78066207.828125
653,NatWest,Mitsubishi Corp,Grand Total,22675740.0
654,Nordea Bank,Equinor ASA,Grand Total,298899358.7219936
655,Ping An Insurance Group,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,1751108740.934068
656,Ping An Insurance Group,China Huadian Corp Ltd,Grand Total,1406548312.936623
657,Ping An Insurance Group,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,339288867.290032
658,Ping An Insurance Group,Shandong Energy Co Ltd,Grand Total,1657607557.744259
659,Ping An Insurance Group,Jinneng Holding Group Co Ltd,Grand Total,1580561591.234588
660,Ping An Insurance Group,Kailuan Group Ltd Liability Corp,Grand Total,78015073.5
661,Ping An Insurance Group,Lu'an Chemical Group Co Ltd,Grand Total,116853757.8
662,Ping An Insurance Group,China Energy Investment Corp Ltd,Grand Total,1086436445.995035
663,Ping An Insurance Group,Beijing Energy Holding Co Ltd,Grand Total,168861470.0228307
664,Ping An Insurance Group,Shenmu City State-Owned Assets Operation Co,Grand Total,349771.1839185149
665,Ping An Insurance Group,State Grid Corp of China,Grand Total,1883766500.0
666,Ping An Insurance Group,Huayang New Material Technology Group Co Ltd,Grand Total,433113375.0
667,Ping An Insurance Group,China Datang Corp,Grand Total,3668762592.12894
668,Ping An Insurance Group,Hebei Construction & Investment Group Co Ltd,Grand Total,194746000.0
669,Ping An Insurance Group,China Huaneng Group Co Ltd,Grand Total,215036044.458845
670,Ping An Insurance Group,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,165475584.0
671,Ping An Insurance Group,China National Petroleum Corporation (CNPC),Grand Total,722600000.0
672,PNC,Arch Resources Inc,Grand Total,128178572.0
673,PNC,Chevron Corp,Grand Total,300000000.0
674,PNC,Alliance Resource Partners LP,Grand Total,91900000.0
675,PNC,PPL Corp,Grand Total,171625000.0
676,Postal Savings Bank of China,Jinneng Holding Group Co Ltd,Grand Total,1218339404.157022
677,Postal Savings Bank of China,Shandong Energy Co Ltd,Grand Total,764716131.3477345
678,Postal Savings Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,786806224.8445079
679,Postal Savings Bank of China,China Huadian Corp Ltd,Grand Total,930927542.1205784
680,Postal Savings Bank of China,China Huaneng Group Co Ltd,Grand Total,442253779.1938128
681,Postal Savings Bank of China,Hebei Construction & Investment Group Co Ltd,Grand Total,37830000.0
682,Postal Savings Bank of China,China Datang Corp,Grand Total,580316250.1184691
683,Postal Savings Bank of China,Lu'an Chemical Group Co Ltd,Grand Total,12080969.55
684,Postal Savings Bank of China,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,55167700.0
685,Postal Savings Bank of China,Huayang New Material Technology Group Co Ltd,Grand Total,192664500.0
686,Postal Savings Bank of China,Beijing Energy Holding Co Ltd,Grand Total,92309845.9170766
687,Postal Savings Bank of China,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,135295487.2571004
688,Postal Savings Bank of China,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,191376420.0
689,Postal Savings Bank of China,Shaanxi Investment Group Co Ltd,Grand Total,44376300.0
690,Postal Savings Bank of China,China National Petroleum Corporation (CNPC),Grand Total,1549450278.0
691,Postal Savings Bank of China,Shougang Group Co Ltd,Grand Total,418657.1974662162
692,Postal Savings Bank of China,China Energy Investment Corp Ltd,Grand Total,508805119.2108417
693,Postal Savings Bank of China,Zhejiang Provincial Energy Group Co Ltd,Grand Total,255638970.0
694,Postal Savings Bank of China,Jizhong Energy Group Co Ltd,Grand Total,129299200.0
695,Rabobank,Glencore PLC,Grand Total,108252336.61
696,Rabobank,Mitsubishi Corp,Grand Total,22675740.0
697,RBC,ConocoPhillips,Grand Total,461930679.0
698,RBC,Glencore PLC,Grand Total,550033279.5634215
699,RBC,PPL Corp,Grand Total,209678854.346947
700,RBC,Teck Resources Ltd,Grand Total,524019916.8389001
701,RBC,Harbour Energy PLC,Grand Total,38461538.0
702,RBC,Shell PLC,Grand Total,3000500000.0
703,RBC,TotalEnergies SE,Grand Total,1923362426.086837
704,RBC,Occidental Petroleum Corp,Grand Total,3180903619.197483
705,Santander,State Grid Corp of China,Grand Total,405935823.4958461
706,Santander,Glencore PLC,Grand Total,596099497.6644292
707,Santander,Petróleo Brasileiro SA – Petrobras,Grand Total,3722210927.333113
708,Santander,TotalEnergies SE,Grand Total,1020647477.525889
709,Santander,Repsol SA,Grand Total,493242133.0038241
710,Santander,Equinor ASA,Grand Total,298899358.7219936
711,Santander,Petróleos Mexicanos (PEMEX),Grand Total,3506839645.27
712,Santander,Kuwait Petroleum Corp,Grand Total,480833334.0
713,Santander,Shell PLC,Grand Total,5745957689.382341
714,Santander,BHP Group Ltd,Grand Total,60357142.88
715,Scotiabank,Petróleo Brasileiro SA – Petrobras,Grand Total,2104694332.675346
716,Scotiabank,Petróleos Mexicanos (PEMEX),Grand Total,1516816732.788167
717,Scotiabank,Glencore PLC,Grand Total,550986692.7385453
718,Scotiabank,State Grid Corp of China,Grand Total,35275918.46179563
719,Scotiabank,Indian Oil Corp Ltd,Grand Total,183666775.5763808
720,Scotiabank,PPL Corp,Grand Total,309241354.6169471
721,Scotiabank,Chevron Corp,Grand Total,350000000.0
722,Scotiabank,Teck Resources Ltd,Grand Total,363842916.8389001
723,Scotiabank,BHP Group Ltd,Grand Total,60357142.88
724,Scotiabank,Occidental Petroleum Corp,Grand Total,1708734591.851298
725,Shanghai Pudong Development Bank,Beijing Energy Holding Co Ltd,Grand Total,4208419097.148807
726,Shanghai Pudong Development Bank,State Grid Corp of China,Grand Total,3009094750.0
727,Shanghai Pudong Development Bank,China Datang Corp,Grand Total,1376729873.59616
728,Shanghai Pudong Development Bank,Shandong Energy Co Ltd,Grand Total,1754596475.382813
729,Shanghai Pudong Development Bank,China Huaneng Group Co Ltd,Grand Total,1844556839.6112
730,Shanghai Pudong Development Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,1498999532.467592
731,Shanghai Pudong Development Bank,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,705871853.8092544
732,Shanghai Pudong Development Bank,Shenergy Group Co Ltd,Grand Total,687003573.6062636
733,Shanghai Pudong Development Bank,Jinneng Holding Group Co Ltd,Grand Total,2294080578.320568
734,Shanghai Pudong Development Bank,Shaanxi Yulin Energy Group Co Ltd,Grand Total,104079017.4554295
735,Shanghai Pudong Development Bank,Huayang New Material Technology Group Co Ltd,Grand Total,1392787875.0
736,Shanghai Pudong Development Bank,China Energy Investment Corp Ltd,Grand Total,2915040286.839303
737,Shanghai Pudong Development Bank,Lu'an Chemical Group Co Ltd,Grand Total,269949564.9
738,Shanghai Pudong Development Bank,Jizhong Energy Group Co Ltd,Grand Total,2827324894.0
739,Shanghai Pudong Development Bank,China Huadian Corp Ltd,Grand Total,270918253.4109646
740,Shanghai Pudong Development Bank,Shanxi Coking Coal Group Co Ltd,Grand Total,250118098.9433344
741,Shanghai Pudong Development Bank,Shougang Group Co Ltd,Grand Total,425756.0179151262
742,Shanghai Pudong Development Bank,China ZhenHua Oil Co Ltd,Grand Total,66024900.0
743,Shanghai Pudong Development Bank,Shaanxi Investment Group Co Ltd,Grand Total,502331625.0
744,Shanghai Pudong Development Bank,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,5051153665.195217
745,Shanghai Pudong Development Bank,China National Petroleum Corporation (CNPC),Grand Total,1415780000.0
746,Shanghai Pudong Development Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,953306145.0
747,SMBC Group,Inpex Corp,Grand Total,3143105730.0
748,SMBC Group,ConocoPhillips,Grand Total,1413636364.0
749,SMBC Group,Hess Corporation,Grand Total,714285714.0
750,SMBC Group,Pertamina Persero PT,Grand Total,1049603173.0
751,SMBC Group,TotalEnergies SE,Grand Total,1934123908.219669
752,SMBC Group,NTPC Ltd,Grand Total,787034247.0862217
753,SMBC Group,Glencore PLC,Grand Total,511244772.7385453
754,SMBC Group,State Grid Corp of China,Grand Total,136247346.4034523
755,SMBC Group,Gazprom PJSC,Grand Total,1092297168.496432
756,SMBC Group,Occidental Petroleum Corp,Grand Total,3417340866.161045
757,SMBC Group,BHP Group Ltd,Grand Total,60357142.88
758,SMBC Group,Petróleos Mexicanos (PEMEX),Grand Total,3789993934.735808
759,SMBC Group,PPL Corp,Grand Total,97200000.0
760,SMBC Group,Adani Group,Grand Total,57055943.04094857
761,SMBC Group,Indian Oil Corp Ltd,Grand Total,573696930.33
762,SMBC Group,Chevron Corp,Grand Total,618181803.0
763,SMBC Group,Petróleo Brasileiro SA – Petrobras,Grand Total,1439900710.035231
764,SMBC Group,Kuwait Petroleum Corp,Grand Total,847500001.0
765,SMBC Group,Shell PLC,Grand Total,688000000.0
766,SMBC Group,Mitsubishi Corp,Grand Total,230194234.6810486
767,SMBC Group,Indonesia Asahan Aluminium Persero PT,Grand Total,241652186.1311027
768,SMBC Group,ITOCHU Corp,Grand Total,67646147.78
769,Société Générale,TotalEnergies SE,Grand Total,4731931971.786486
