,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
77,True,Boli Coal Mine,Shanxi Huayang Group New Energy Company,70.0,2.0209497,1.41466479,Shanxi Huayang Group New Energy Company,China
78,False,Borly Coal Mines,Kazakhmys Corporation,100.0,1.02264492,1.02264492,Kazakhmys Corporation,Kazakhstan
79,False,Bovanenkovo Zone (Yamal Megaproject),Gazprom PJSC,100.0,11.15863625,11.158636249999999,Gazprom PJSC,Russia
80,True,Bowland Shale,New project,100.0,1.476082594,1.4760825940000002,,
81,False,Bu Hasa,No informations on company,100.0,4.915778525,4.915778525,,
82,False,Buertai Coal Mine,HKSCC Nominees Limited,17.0,4.515258,0.7675938600000001,HKSCC Nominees Limited,Hong Kong
83,False,Buertai Coal Mine,Others,14.0,4.515258,0.6321361200000001,,
84,False,Buertai Coal Mine,China Energy Investment Corp Ltd,69.0,4.515258,3.1155280200000006,China Energy Investment Corp Ltd,China
85,False,Buliangou Coal Mine,China Huadian Corp Ltd,35.0,1.820015076,0.6370052766,China Huadian Corp Ltd,China
86,False,Buliangou Coal Mine,Others,16.0,1.820015076,0.29120241216,,
87,False,Buliangou Coal Mine,Inner Mongolia Mengtai Group Co Ltd,49.0,1.820015076,0.89180738724,Inner Mongolia Mengtai Group Co Ltd,China
88,False,Buzios (x-Franco),Petróleo Brasileiro SA – Petrobras,50.0,3.638233141,1.8191165705,Petróleo Brasileiro SA – Petrobras,Brazil
89,False,Buzios (x-Franco),Petróleo Brasileiro S.A.,50.0,3.638233141,1.8191165705,Petróleo Brasileiro S.A.,Brazil
90,False,Byerwen Coal Mine,JFE Steel,15.0,1.8407268,0.27610902000000004,JFE Steel,Japan
91,False,Byerwen Coal Mine,QCoal,85.0,1.8407268,1.56461778,QCoal,Australia
92,True,Cambrian/Silurian Marine Shale,New project,100.0,2.367530441,2.367530441,,
93,True,Campos Offshore,New project,100.0,1.560951299,1.560951299,,
94,True,Candeias Shale,Petróleo Brasileiro SA – Petrobras,50.0,1.641797865,0.8208989325,Petróleo Brasileiro SA – Petrobras,Brazil
95,True,Candeias Shale,Petróleo Brasileiro S.A.,50.0,1.641797865,0.8208989325,Petróleo Brasileiro S.A.,Brazil
96,True,Carboniferous Shale,New project,100.0,1.287218515,1.287218515,,
97,True,Carmichael Coal Project,Adani Group,100.0,2.1068964,2.1068964,Adani Group,India
98,True,Central Uplift Onshore Xinjiang Uygur Autonomous Region,New project,100.0,1.04432647,1.04432647,,
99,False,Cerrejón Coal Mine,Glencore PLC,100.0,2.40895116,2.40895116,Glencore PLC,Switzerland
100,True,Chagannur No.1 Coal Mine,China Energy Investment Corp Ltd,49.0,1.73650512,0.8508875088,China Energy Investment Corp Ltd,China
101,True,Chagannur No.1 Coal Mine,China Huarong Asset Management Company,2.0,1.73650512,0.0347301024,China Huarong Asset Management Company,China
102,True,Chagannur No.1 Coal Mine,Others,1.0,1.73650512,0.0173650512,,
103,True,Chagannur No.1 Coal Mine,Jizhong Energy Group Co Ltd,48.0,1.73650512,0.8335224575999999,Jizhong Energy Group Co Ltd,China
104,False,Chahasu Coal Mine,Investment Group,50.0,4.208464524,2.104232262,,
105,False,Chahasu Coal Mine,China Energy Investment Corp Ltd,50.0,4.208464524,2.104232262,China Energy Investment Corp Ltd,China
106,True,Changcheng No.3 Coal Mine,China Huadian Corp Ltd,16.0,1.12311012,0.1796976192,China Huadian Corp Ltd,China
