Project Name;In Paper;In GEM;GEM > 1Gt;Country_gem;Country_paper;year;Project_status_gem;Project_status_paper;Coal_Type_gem;Coal_Type_paper;Reserves (Million tons)_gem;Reserves (Million tons)_paper;total_emissions_gem;total_emissions_paper;details;Source_paper
Saharpur-Jamarpani Coal Mine;True;True;False;India;India;2028;Proposed;Proposed;Subbituminous;n/d;524.0;524.0;0.952;1.048;[New - Subbituminous - 0.952];http://www.coalcontroller.gov.in/writereaddata/files/download/coaldirectory/CoalDirectory2018-19.pdf
Sakhigopal B Kankili Coal Mine;False;True;True;India;;2028;Proposed;;Subbituminous;;1257.0;;2.283;;[New - Subbituminous - 2.283];
San Juan Coal Mine;True;True;False;Colombia;Colombia;2026;Proposed;Proposed;Bituminous;Bituminous;283.0;672.0;0.691;1.64013696;[New - Bituminous - 0.691];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Sandaogou Coal Mine;True;True;True;China;China;;Operating;Operating;Bituminous;Bituminous;927.0;926.9;2.263;2.262266292;[Current - Bituminous - 2.263];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Sangshuping Coal Mine;False;True;True;China;;1977;Operating;;Bituminous;;438.0;;1.069;;[Current - Bituminous - 1.069];
Sanjiao No.1 Coal Mine;True;True;True;China;China;2025;Proposed;Proposed;Bituminous (Met);Bituminous;434.0;567.29;1.158;1.384573357;[New - Bituminous (Met) - 1.158];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Saraji Coal Mine;False;True;True;Australia;;1974;Operating;;Bituminous (Met);;382.0;;1.019;;[Current - Bituminous (Met) - 1.019];
Saraji East Coal Mine;True;True;True;Australia;Australia;2024;Proposed;Proposed;Bituminous (Met);Bituminous (Met);1134.0;502.0;3.026;1.33919544;[New - Bituminous (Met) - 3.026];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Sengwa Coal Mine;False;True;True;Zimbabwe;;;Proposed;;Bituminous;;525.0;;1.281;;[New - Bituminous - 1.281];
Sengwe Colliery;True;False;False;;Zimbabwe;;;Operating;;Coal;;500.0;;1.0;;https://usea.org/sites/default/files/122013_Coal%20prospects%20in%20Botswana,%20Mozambique,%20Zambia,%20Zimbabwe%20and%20Namibia_ccc228.pdf page 60
Sese Coal Mine;False;True;True;Botswana;;;Shelved;;Subbituminous;;650.0;;1.181;;[New - Subbituminous - 1.181];
Severny Coal Mine;False;True;True;Kazakhstan;;1955;Operating;;Bituminous;;1300.0;;3.173;;[Current - Bituminous - 3.173][Expansion - Bituminous - 0.0];
Shaanxi Caojiatan Coal Mine;True;True;True;China;China;2020;Operating;Proposed;Bituminous;Bituminous;1313.0;1367.2;3.205;3.336897696;[Current - Bituminous - 3.205];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shadunzi Coal Mine;False;True;True;China;;2013;Operating;;Bituminous;;525.0;;1.281;;[Current - Bituminous - 1.281];
Shajihai No.1 Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;490.0;490.0;1.196;1.1959332;[Current - Bituminous - 1.196];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shangwan Coal Mine;True;True;False;China;China;2000;Operating;Operating;Bituminous;Bituminous;83.0;732.0;0.203;1.78657776;[Current - Bituminous - 0.203];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shangyuquan Coal Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Bituminous;571.0;585.4;1.394;1.428774072;[Current - Bituminous - 1.394];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shanxi Dongda Coal Mine;True;True;True;China;China;2024;Proposed;Proposed;Bituminous (Met);Bituminous;422.0;422.0;1.126;1.02996696;[New - Bituminous (Met) - 1.126];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shanxi Lu'an Gucheng Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;717.0;742.15;1.75;1.811350662;[Current - Bituminous - 1.75];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shanxi Shouyang Hengyuan Coal Mine;False;True;True;China;;1991;Operating;;Anthracite;;655.96;;1.722;;[Current - Anthracite - 1.722];
Shanxi Xishangzhuang Coal Mine;False;True;True;China;;2025;Proposed;;Anthracite;;528.0;;1.386;;[New - Anthracite - 1.386];
Shaqu No.1 Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous (Met);Bituminous;889.0;568.0;2.372;1.38630624;[Current - Bituminous (Met) - 2.372];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shaqu No.2 Coal Mine;False;True;True;China;;2019;Operating;;Bituminous (Met);;404.0;;1.078;;[Current - Bituminous (Met) - 1.078];
Sheltala Surface Coal Mine;False;True;True;China;;;Shelved;;Bituminous;;496.0;;1.211;;[New - Bituminous - 1.211];
Shengli East No.2 Coal Mine;True;True;True;China;China;2010;Operating;Operating;Lignite;Lignite;3822.0;3822.0;4.594;4.5936618;[Current - Lignite - 4.594][Expansion - Lignite - 0.0][Expansion - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shengli No.1 Open-Pit Coal Mine;True;True;True;China;China;2013;Operating;Proposed;Lignite;Lignite;1259.0;1342.0;1.513;1.6129498;[Current - Lignite - 1.513];Global Energy Monitor. (2021). Global Coal Mine Tracker (Version No 1) [Data set].
Shenhua Baorixile Surface Coal Mine;True;True;False;China;China;2009;Operating;Operating;Lignite;Lignite;830.0;1303.0;0.998;1.5660757;[Current - Lignite - 0.998];Global Energy Monitor. (2021). Global Coal Mine Tracker (Version No 1) [Data set].
Shenhua Bulianta Coal Mine;True;True;True;China;China;2010;Operating;Operating;Bituminous;Subbituminous;1345.0;1224.0;3.283;2.22313896;[Current - Bituminous - 3.283];Global Energy Monitor. (2021). Global Coal Mine Tracker (Version No 1) [Data set].
Shenhua Heidaigou Surface Coal Mine;True;True;True;China;China;1999;Operating;Operating;Subbituminous;Subbituminous;1498.0;1498.0;2.721;2.72080242;[Current - Subbituminous - 2.721];Global Energy Monitor. (2021). Global Coal Mine Tracker (Version No 1) [Data set].
Shenhua Heishan Coal Mine;False;True;True;China;;2017;Operating;;Bituminous;;1116.0;;2.724;;[Current - Bituminous - 2.724];
Shenmu Longde Coal Mine;False;True;True;China;;2013;Operating;;Bituminous;;492.0;;1.201;;[Current - Bituminous - 1.201];
Shicaocun Coal Mine;True;True;True;China;China;2020;Operating;Operating;Bituminous;Bituminous;597.0;596.71;1.457;1.456378163;[Current - Bituminous - 1.457];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shigetai Coal Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Subbituminous;657.0;657.0;1.604;1.19330253;[Current - Bituminous - 1.604];Global Energy Monitor. (2021). Global Coal Mine Tracker (Version No 1) [Data set].
Shilawusu Coal Mine;True;True;True;China;China;2019;Operating;Proposed;Bituminous;Bituminous;1591.0;1591.4;3.883;3.884098152;[Current - Bituminous - 3.883];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shitoumei No.1 Coal Mine;True;True;True;China;China;2022;Operating;Proposed;Bituminous;Bituminous;990.0;990.23;4.833;2.416834556;[Expansion - Bituminous - 2.416][Current - Bituminous - 2.416];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shiyaodian Coal Mine;False;True;True;China;;2010;Operating;;Bituminous;;488.0;;1.191;;[Current - Bituminous - 1.191];
Shuangma No.1 Coal Mine;False;True;True;China;;2019;Operating;;Bituminous (Met);;565.0;;1.507;;[Current - Bituminous (Met) - 1.507];
Shubarkol Premium Coal Mine;True;True;False;Kazakhstan;Kazakhstan;2016;Operating;Operating;Subbituminous;Bituminous;396.0;406.0;0.719;0.99091608;[Current - Subbituminous - 0.719][Expansion - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Shurapskaya Coal Mine;True;True;True;Russia;Russian Federation;;Cancelled;Proposed;Bituminous;Bituminous;423.0;423.0;1.032;1.03240764;[New - Bituminous - 1.032];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Siarmal Coal Mine;True;True;True;India;India;2023;Operating;Proposed;Lignite;Lignite;1548.0;1548.0;1.861;1.8605412;[New - Lignite - 1.861];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Sijiazhuang Coal Mine;True;True;True;China;China;2013;Operating;Operating;Anthracite;Anthracite;588.0;594.3;1.543;1.559805723;[Current - Anthracite - 1.543];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
South Galilee Coal Project;False;True;True;Australia;;2027;Shelved;;Bituminous;;1179.0;;2.878;;[Current - Bituminous - 2.878];
Stepnoy Coal Mine;True;True;False;Russia;Russian Federation;1993;Operating;Operating;Subbituminous;Bituminous;;1458.0;0.0;3.55851144;[Current - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Suancigou Coal Mine;True;True;True;China;China;2010;Operating;Operating;Bituminous;Bituminous;685.0;851.4;1.672;2.077994952;[Current - Bituminous - 1.672];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Sugodinsk-Ogodzhinsky Coal Mine;True;True;True;Russia;Russian Federation;2020;Operating;Proposed;Bituminous;Bituminous;744.0;744.0;1.816;1.81586592;[Current - Bituminous - 1.816][Expansion - Bituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Tabang Project Coal Mines;False;True;True;Indonesia;;2011;Operating;;Subbituminous;;1692.0;;3.073;;[Current - Subbituminous - 3.073];
Talahao Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;421.0;531.61;1.028;1.297489895;[Current - Bituminous - 1.028];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Talaipalli Coal Mine;True;True;True;India;India;2019;Operating;Operating;Subbituminous;Subbituminous;844.0;844.0;1.533;1.53294876;[Current - Subbituminous - 1.533];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Taldinsky Coal Mine;True;True;True;Russia;Russian Federation;1986;Operating;Operating;Bituminous;Bituminous;1400.0;900.0;3.417;2.196612;[Current - Bituminous - 3.417];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Talike No. 2 Coal Mine;True;True;False;China;China;2024;Proposed;Proposed;Bituminous;Bituminous;314.0;465.0;0.766;1.1349162;[New - Bituminous - 0.766];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Talwood Coal Mine;False;True;True;Australia;;;Cancelled;;Bituminous (Met);;435.0;;1.161;;[Current - Bituminous (Met) - 1.161];
Tamnava-West Coal Mine;False;True;True;Serbia;;1994;Operating;;Lignite;;2100.0;;2.524;;[Current - Lignite - 2.524];
Tangjiahe Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;424.0;;1.035;;[New - Bituminous - 1.035];
Taohe Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;579.0;579.14;1.413;1.413495415;[New - Bituminous - 1.413];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Taran Gaole Coal Mine;True;True;True;China;China;2028;Proposed;Proposed;Bituminous;Bituminous;1200.0;1200.0;2.929;2.928816;[New - Bituminous - 2.929];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Tashan Coal Mine;True;True;True;China;China;2008;Operating;Operating;Bituminous (Met);Bituminous (Met);1572.0;3375.0;4.194;9.003555;[Current - Bituminous (Met) - 4.194];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Tavan Tolgoi Coal Mine;True;True;True;Mongolia;Mongolia;2011;Operating;Proposed;Bituminous (Met);Bituminous (Met);7000.0;6009.0;19.743;16.03032948;[Current - Bituminous (Met) - 18.676][Expansion - Bituminous (Met) - 1.067];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Tekono Orbit Persada Mine;False;True;True;Indonesia;;;Proposed;;Subbituminous;;800.0;;1.453;;[New - Subbituminous - 1.453];
Tevshiin Govi Coal Mine;False;True;True;Mongolia;;;Mothballed;;Lignite;;420.0;;1.01;;[Current - Lignite - 0.505][New - Lignite - 0.505];
Thar Block I Coal Mine;False;True;True;Pakistan;;2023;Operating;;Lignite;;3566.0;;4.286;;[New - Lignite - 4.286];
Thar Block II Coal Mine;True;True;True;Pakistan;Pakistan;2019;Operating;Operating;Lignite;Lignite;1584.0;1570.0;1.904;1.886983;[New - Lignite - 1.904][Expansion - Lignite - 0.0][Expansion - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Thar Block VI Coal Mine;False;True;True;Pakistan;;;Proposed;;Lignite;;;;1.683;;[New - Lignite - 0.0][Extension - Lignite - 1.683];
Tian'an No.13 Coal Mine;False;True;True;China;;2002;Operating;;Bituminous (Met);;452.0;;1.206;;[Current - Bituminous (Met) - 1.206];
Tiwa Abadi Coal Mine;False;True;True;Indonesia;;2021;Operating;;Subbituminous;;706.0;;1.282;;[Current - Subbituminous - 1.282];
Togara North Coal Project;False;True;True;Australia;;;Cancelled;;Subbituminous;;770.0;;1.399;;[Current - Subbituminous - 1.399];
Tongxin Coal Mine;True;True;True;China;China;2013;Operating;Operating;Bituminous (Met);Bituminous (Met);681.0;588.0;1.817;1.56861936;[Current - Bituminous (Met) - 1.817];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Tugrugnuur Coal Mine;False;True;True;Mongolia;;;Operating;;Lignite;;3120.0;;3.75;;[Current - Lignite - 3.75];
Tunbao Coal Mine;False;True;True;China;;2010;Operating;;Bituminous;;597.0;;1.457;;[Current - Bituminous - 1.457];
Tunlan Coal Mine;False;True;True;China;;2002;Operating;;Bituminous (Met);;431.0;;1.15;;[Current - Bituminous (Met) - 1.15];
Tutupan Coal Mine;True;True;False;Indonesia;Indonesia;1997;Operating;Operating;Subbituminous;Subbituminous;375.0;602.0;0.681;1.09340658;[Current - Subbituminous - 0.681];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Ulug-Khem Coal Mine;True;True;True;Russia;Russian Federation;2024;Cancelled;Proposed;Bituminous (Met);Bituminous (Met);807.0;807.0;2.153;2.15285004;[New - Bituminous (Met) - 2.153][Expansion - Bituminous (Met) - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Usibelli Coal Mine;False;True;True;United States;;1943;Operating;;Subbituminous;;700.0;;1.271;;[Current - Subbituminous - 1.271];
Usinsk-1 Coal Mine;True;True;True;Russia;Russian Federation;2020;Cancelled;Proposed;Bituminous (Met);Bituminous (Met);621.0;621.0;1.657;1.65665412;[New - Bituminous (Met) - 1.657];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Valeria Coal Mine;True;True;True;Australia;Australia;2026;Cancelled;Proposed;Bituminous (Met);Bituminous (Met);660.0;762.0;1.761;2.03280264;[New - Bituminous (Met) - 1.761];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Visonta Coal Mine;False;True;True;Hungary;;1964;Operating;;Lignite;;2150.0;;2.584;;[Current - Lignite - 2.584];
Vista Coal Mine;False;True;True;Canada;;2019;Operating;;Bituminous;;1322.0;;3.227;;[Current - Bituminous - 3.227][Expansion - Subbituminous - 0.0][Expansion - Subbituminous - 0.0];
Wandoan Coal Project;False;True;True;Australia;;2027;Shelved;;Subbituminous;;846.0;;1.537;;[Current - Subbituminous - 1.537];
Wangjialing Coal Mine;True;True;True;China;China;2014;Operating;Operating;Bituminous (Met);Bituminous (Met);778.0;1021.0;2.076;2.72374212;[Current - Bituminous (Met) - 2.076];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Wangjiata Coal Mine;True;True;True;China;China;2012;Operating;Operating;Bituminous;Bituminous;580.0;661.0;1.416;1.61328948;[Current - Bituminous - 1.416];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Wangwa Coal Mine;True;True;True;China;China;2021;Operating;Proposed;Bituminous;Bituminous;439.0;439.3;1.071;1.072190724;[Expansion - Bituminous - 1.071];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Wangzhuang Coal Mine;False;True;True;China;;1982;Operating;;Bituminous;;795.0;;1.94;;[Current - Bituminous - 1.94];
Wards Well Coal Mine;True;True;True;Australia;Australia;2027;Proposed;Proposed;Bituminous (Met);Bituminous (Met);1158.0;1000.0;3.09;2.66772;[New - Bituminous (Met) - 3.09];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Weijiamao Open Pit Mine;True;True;True;China;China;2014;Operating;Operating;Bituminous;Bituminous;691.0;691.0;1.687;1.68650988;[Current - Bituminous - 1.687];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Wenjiazhuang Coal Mine;True;True;False;China;China;2023;Operating;Proposed;Anthracite;Bituminous;158.0;514.27;0.415;1.255168504;[Expansion - Anthracite - 0.415];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
West Macedonia Lignite Centre;True;True;True;Greece;Greece;1957;Operating;Operating;Lignite;Lignite;1500.0;1800.0;1.803;2.16342;[Current - Lignite - 1.803];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
West No. 1 Coal Mine;False;True;True;China;;2024;Proposed;;Lignite;;833.0;;1.001;;[New - Lignite - 1.001];
West Well of Faer Second Coal Mine;True;True;True;China;China;2023;Operating;Proposed;Bituminous (Met);Bituminous (Met);377.0;377.0;2.012;1.00573044;[Expansion - Bituminous (Met) - 1.006][New - Bituminous (Met) - 1.006];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
