Project Name;In Paper;In GEM;GEM > 1Gt;Country_gem;Country_paper;year;Project_status_gem;Project_status_paper;Coal_Type_gem;Coal_Type_paper;Reserves (Million tons)_gem;Reserves (Million tons)_paper;total_emissions_gem;total_emissions_paper;details;Source_paper
Aduunchuluun Coal Mine;False;True;True;Mongolia;;1955;Operating;;Anthracite;;424.0;;1.113;;[Current - Anthracite - 1.113];
Afşin-Elbistan Coal Mines;True;True;True;Türkiye;Turkey;1979;Operating;Operating;Lignite;Lignite;2652.0;3400.0;4.328;4.08646;[Current - Lignite - 3.187][Expansion - Lignite - 1.141];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Alpha Coal Project;False;True;True;Australia;;;Cancelled;;Subbituminous;;821.0;;1.491;;[New - Subbituminous - 1.491];
Alpha North Coal Mine;True;False;False;;Australia;;;Proposed;;Subbituminous;;1400.0;;2.542806;;Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Alpha West Coal Project;False;True;True;Australia;;;Cancelled;;Subbituminous;;1800.0;;3.269;;[New - Subbituminous - 3.269];
Amaam Coal Mine;False;True;True;Russia;;;Shelved;;Bituminous (Met);;521.0;;1.39;;[New - Bituminous (Met) - 1.39];
Angren Coal Mine;True;True;False;Uzbekistan;Uzbekistan;1948;Operating;Proposed;Lignite;Lignite;700.0;2000.0;0.841;2.4038;[Current - Lignite - 0.841][Expansion - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Anjialing Open-Pit Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Bituminous;428.0;428.0;1.045;1.04461104;[Current - Bituminous - 1.045];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Antaibao Surface Mine;True;True;True;China;China;1987;Operating;Operating;Bituminous;Bituminous;491.0;491.0;1.198;1.19837388;[Current - Bituminous - 1.198];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Arshanovsky Coal Mine;True;True;True;Russia;Russian Federation;2015;Operating;Operating;Subbituminous;Bituminous;903.0;700.0;1.64;1.708476;[Current - Subbituminous - 1.64][Current - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
BIB Coal Mine;True;False;False;;Indonesia;;;Operating;;Subbituminous;;591.0;;1.07342739;;Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Ba Leng Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;741.0;438.96;1.809;1.071360893;[New - Bituminous - 1.809];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baijia Haizi Coal Mine;True;True;True;China;China;2025;Proposed;Proposed;Bituminous;Bituminous;2033.0;2032.9;4.962;4.961658372;[New - Bituminous - 4.962];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baishihu Surface Mine;True;True;True;China;China;2017;Operating;Operating;Bituminous;Bituminous;459.0;530.0;1.12;1.2935604;[Expansion - Bituminous - 1.12];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baitarni West Coal Mine;False;True;True;India;;;Proposed;;Subbituminous;;1097.0;;1.992;;[New - Subbituminous - 1.992];
Baiyanghe Coal Mine;True;True;True;China;China;2024;Proposed;Proposed;Bituminous;Bituminous;504.0;508.0;1.23;1.23986544;[New - Bituminous - 1.23];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baiyinhua No.3 Surface Mine;True;True;False;China;China;2007;Operating;Operating;Lignite;Lignite;767.0;1314.0;0.922;1.5792966;[Current - Lignite - 0.922];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Balaram Coal Mine;True;True;False;India;India;1991;Operating;Proposed;Subbituminous;Subbituminous;67.0;756.0;0.122;1.37311524;[Current - Subbituminous - 0.122][Expansion - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Balasu Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;2263.0;2622.7;5.523;6.401171436;[New - Bituminous - 5.523];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Banai & Bhalumuda Coal Mine;False;True;True;India;;;Cancelled;;Subbituminous;;1376.0;;2.499;;[New - Subbituminous - 2.499];
Banhardih Coal Mine;True;True;True;India;India;;Proposed;Proposed;Lignite;n/d;1372.0;553.0;1.649;1.106;[New - Lignite - 1.649];http://www.coalcontroller.gov.in/writereaddata/files/download/coaldirectory/CoalDirectory2018-19.pdf
Bankui;True;False;False;;India;;;Proposed;;n/d;;800.0;;1.6;;http://www.coalcontroller.gov.in/writereaddata/files/download/coaldirectory/CoalDirectory2016-17.pdf
Baode Coal Mine;True;True;True;China;China;2002;Operating;Operating;Bituminous;Bituminous;680.0;679.5;3.065;1.65844206;[Expansion - Bituminous - 1.406][Current - Bituminous - 1.66];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Baoqing Chaoyang Surface Coal Mine;False;True;True;China;;2020;Operating;;Lignite;;837.0;;1.006;;[New - Lignite - 1.006];
Bayangol Coal Mine;False;True;True;China;;2018;Operating;;Bituminous;;636.0;;1.552;;[Current - Bituminous - 1.552];
Beisky-Zapadniy Coal Mine;True;True;True;Russia;Russian Federation;2023;Operating;Proposed;Subbituminous;Subbituminous;1134.0;1340.0;2.06;2.4338286;[New - Subbituminous - 2.06];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Berenice-Cygnus Coal Mine;True;True;True;South Africa;South Africa;;Proposed;Proposed;Bituminous (Met);Bituminous (Met);402.0;402.0;1.073;1.07242344;[New - Bituminous (Met) - 1.073];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Berezovsky 1 Coal Mine;False;True;True;Russia;;1975;Operating;;Lignite;;3363.0;;4.042;;[Current - Lignite - 4.042];
Bhakti Energi Persada Coal Mine;False;True;True;Indonesia;;;Proposed;;Subbituminous;;3272.0;;5.943;;[New - Subbituminous - 5.943];
Binchang Yangjiaping Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;431.0;;1.052;;[New - Bituminous - 1.052];
Black Thunder Coal Mine;True;True;False;United States;United States;1977;Operating;Operating;Subbituminous;Subbituminous;378.0;747.7;0.687;1.358040033;[Current - Subbituminous - 0.687];https://investor.archrsc.com/static-files/089edfb1-21ad-4445-8815-82059686f9b9
Blackwater Coal Mine;True;True;False;Australia;Australia;1967;Operating;Operating;Bituminous (Met);Bituminous (Met);200.0;375.0;0.534;1.000395;[Current - Bituminous (Met) - 0.534];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Bogatyr Coal Mine (Kazakhstan);True;True;True;Kazakhstan;Kazakhstan;1970;Operating;Operating;Bituminous;Bituminous;1200.0;3000.0;2.929;7.32204;[Expansion - Bituminous - 0.0][Current - Bituminous - 2.929];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Boikarabelo Coal Mine;True;True;False;South Africa;South Africa;;Cancelled;Proposed;Bituminous;Bituminous;267.0;995.0;0.652;2.4284766;[New - Bituminous - 0.652];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Boli Coal Mine;True;True;True;China;China;2025;Proposed;Proposed;Anthracite;Anthracite;471.0;770.0;1.236;2.0209497;[New - Anthracite - 1.236];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Borly Coal Mines;True;False;False;;Kazakhstan;;;Operating;;Bituminous;;419.0;;1.02264492;;Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Borneo Indobara Coal Mine;False;True;True;Indonesia;;2005;Operating;;Subbituminous;;665.0;;1.208;;[Current - Subbituminous - 1.208];
Buertai Coal Mine;True;True;False;China;China;2008;Operating;Operating;Bituminous;Bituminous;185.0;1850.0;0.452;4.515258;[Current - Bituminous - 0.452];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Buliangou Coal Mine;True;True;True;China;China;2011;Operating;Operating;Bituminous;Bituminous;535.0;745.7;1.306;1.820015076;[Current - Bituminous - 1.306];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Byerwen Coal Mine;True;True;True;Australia;Australia;2017;Operating;Operating;Bituminous (Met);Bituminous (Met);690.0;690.0;1.841;1.8407268;[Current - Bituminous (Met) - 1.841];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Callan Coking Coal Mine;False;True;True;Australia;;;Proposed;;Bituminous (Met);;570.0;;1.521;;[New - Bituminous (Met) - 1.521];
Carbon Creek;False;True;True;Canada;;2022;Cancelled;;Bituminous (Met);;451.0;;1.203;;[New - Bituminous (Met) - 1.203];
Carmichael Coal Project;True;True;True;Australia;Australia;2021;Operating;Proposed;Subbituminous;Subbituminous;880.0;1160.0;20.016;2.1068964;[Current - Subbituminous - 1.598][Expansion - Subbituminous - 18.417][Expansion - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Cerrejón Coal Mine;True;True;False;Colombia;Colombia;1985;Operating;Operating;Bituminous;Bituminous;310.0;987.0;0.757;2.40895116;[Current - Bituminous - 0.757];https://www.bhp.com/-/media/documents/investors/annual-reports/2020/200915_bhpannualreport2020.pdf
Chagannur No.1 Coal Mine;True;True;True;China;China;;Proposed;Proposed;Lignite;Lignite;2548.0;1444.8;3.062;1.73650512;[New - Lignite - 3.062];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Chahasu Coal Mine;True;True;True;China;China;2016;Proposed;Operating;Bituminous;Bituminous;1834.0;1724.3;4.476;4.208464524;[New - Bituminous - 4.476];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Changcheng No. 3 Coal Mine;True;True;True;China;China;2024;Operating;Proposed;Bituminous (Met);Bituminous (Met);408.0;421.0;1.089;1.12311012;[New - Bituminous (Met) - 1.089];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Changtan Surface Coal Mine;False;True;True;China;;2021;Proposed;;Bituminous;;1461.0;;3.566;;[New - Bituminous - 3.566];
Chhendipara Coal Mine;False;True;True;India;;;Shelved;;Subbituminous;;880.0;;1.598;;[New - Subbituminous - 1.598];
China Stone Coal Mine;False;True;True;Australia;;;Cancelled;;Subbituminous;;3750.0;;6.811;;[Current - Subbituminous - 6.811];
Chirodzi Coal Mine;True;True;True;Mozambique;Mozambique;2012;Operating;Proposed;Bituminous (Met);Bituminous;700.0;1200.0;5.069;2.928816;[Expansion - Bituminous (Met) - 3.202][Current - Bituminous (Met) - 1.868];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Clifford Coal Mine;False;True;True;Australia;;;Cancelled;;Subbituminous;;630.0;;1.144;;[Current - Subbituminous - 1.144];
Clyde Park Project;False;True;True;Australia;;;Cancelled;;Subbituminous;;728.0;;1.322;;[Current - Subbituminous - 1.322];
Columboola Project;False;True;True;Australia;;2023;Cancelled;;Subbituminous;;1217.0;;2.21;;[Current - Subbituminous - 2.21];
Cumberland Coal Mine;True;True;False;United States;United States;1981;Operating;Operating;Bituminous;Bituminous;176.0;776.0;0.43;1.89396768;[Current - Bituminous - 0.43];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dabaodang Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;2659.0;;6.49;;[New - Bituminous - 6.49];
Dafosi Coal Mine;True;True;True;China;China;;Operating;Operating;Bituminous;Bituminous;557.0;557.23;1.359;1.360020116;[Current - Bituminous - 1.359];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dahaize Coal Mine;True;True;True;China;China;2023;Operating;Proposed;Bituminous;Bituminous;3275.0;3275.1;7.993;7.993471068;[Current - Bituminous - 7.993];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dajing Mining Area No. 2 Mine;False;True;True;China;;2024;Operating;;Bituminous;;2671.0;;6.519;;[New - Bituminous - 6.519];
Dalaihushuo Coal Mine;True;True;False;China;China;;Proposed;Proposed;Bituminous;Bituminous;;1178.2;0.0;2.875609176;[New - Bituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Daliuta Coal Mine;True;True;True;China;China;1996;Operating;Operating;Bituminous;Bituminous;495.0;494.6;1.208;1.207160328;[Current - Bituminous - 1.208];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Damoda Coal Mine;False;True;True;India;;1972;Operating;;Bituminous (Met);;712.0;;1.9;;[Current - Bituminous (Met) - 1.9];
Dananhu No. 1 Coal Mine;True;True;True;China;China;2017;Operating;Operating;Bituminous;Bituminous;2936.0;2936.0;7.166;7.16583648;[Current - Bituminous - 7.166];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dananhu No. 2 Surface Mine;True;True;True;China;China;2017;Operating;Proposed;Subbituminous;Subbituminous;1513.0;1513.0;2.748;2.74804677;[Current - Subbituminous - 2.748];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dananhu No. 7 Mine;True;True;True;China;China;2023;Operating;Proposed;Bituminous;Bituminous;1450.0;1488.0;3.539;3.63173184;[Current - Bituminous - 3.539];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dawson West Coal Mine;False;True;True;Australia;;;Cancelled;;Bituminous (Met);;852.0;;2.273;;[New - Bituminous (Met) - 2.273];
Deocha-Pachami-Dewanganj-Harinsingha;False;True;True;India;;;Proposed;;Subbituminous;;2102.0;;3.818;;[New - Subbituminous - 3.818];
Dingji Coal Mine;True;True;True;China;China;2007;Operating;Operating;Bituminous (Met);Bituminous (Met);617.0;625.0;1.646;1.667325;[Current - Bituminous (Met) - 1.646];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dipka Coal Mine;True;True;False;India;India;1992;Operating;Operating;Lignite;Lignite;165.0;975.0;0.198;1.1718525;[Current - Lignite - 0.198][Expansion - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Dongqu Coal Mine;False;True;True;China;;1991;Operating;;Bituminous (Met);;453.0;;1.209;;[Current - Bituminous (Met) - 1.209];
Dongzhouyao Coal Mine;True;True;True;China;China;2015;Operating;Operating;Bituminous;Bituminous;814.0;882.11;1.987;2.152948235;[Current - Bituminous - 1.987];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Donkin Coal Mine;False;True;True;Canada;;2017;Mothballed;;Bituminous (Met);;481.0;;1.283;;[Current - Bituminous (Met) - 1.283];
Duerping Coal Mine;False;True;True;China;;1956;Operating;;Bituminous (Met);;421.0;;1.123;;[Current - Bituminous (Met) - 1.123];
Eagle Downs Coal Project;False;True;True;Australia;;2025;Proposed;;Bituminous (Met);;;;3.042;;[Expansion - Bituminous (Met) - 0.0][New - Bituminous (Met) - 3.042];
East Well of Sihe Coal Mine;True;True;True;China;China;2002;Operating;Operating;Anthracite;Anthracite;424.0;383.0;1.113;1.00522563;[Current - Anthracite - 1.113];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
El Descanso Coal Mine;True;True;True;Colombia;Colombia;2009;Operating;Operating;Bituminous;Bituminous;1763.0;1700.0;4.303;4.149156;[Current - Bituminous - 4.303];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Elan Coal Mine;False;True;True;Canada;;;Shelved;;Bituminous (Met);;486.0;;1.297;;[New - Bituminous (Met) - 1.297];
Elegest Coal Mine;True;True;True;Russia;Russian Federation;2026;Shelved;Operating;Bituminous (Met);Bituminous (Met);855.0;855.2;2.281;2.281434144;[New - Bituminous (Met) - 2.281];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Elga Coal Mine;True;False;False;;Russian Federation;;;Proposed;;Bituminous (Met);;1697.558;;4.528609428;;https://www.sec.gov/Archives/edgar/data/1302362/000119312513156601/d485907d20f.htm
Elginskiy Coal Mine;False;True;True;Russia;;2011;Operating;;Bituminous (Met);;2200.0;;5.87;;[Current - Bituminous (Met) - 5.87][Expansion - Bituminous (Met) - 0.0];
Ensham Coal Mine;True;True;True;Australia;Australia;1993;Operating;Operating;Subbituminous;Subbituminous;724.0;724.0;1.315;1.31499396;[Current - Subbituminous - 1.315][Extension - Subbituminous - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Erkovetskiy Coal Mine;True;True;False;Russia;Russian Federation;1991;Operating;Operating;Lignite;Subbituminous;504.0;572.0;0.606;1.03891788;[Current - Lignite - 0.606][New - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Fengjiata Coal Mine;True;True;True;China;China;2010;Operating;Operating;Bituminous;Bituminous;486.0;486.0;1.186;1.18617048;[Current - Bituminous - 1.186];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Fording River Operations;True;True;False;Canada;Canada;1971;Operating;Operating;Bituminous (Met);coking coal;345.0;387.9;0.92;1.034808588;[Extension - Bituminous (Met) - 0.0][Current - Bituminous (Met) - 0.92];http://cmscontent.nrs.gov.bc.ca/geoscience/PublicationCatalogue/InformationCircular/BCGS_IC2020-01-01.pdf
GAM Coal Mine;True;True;True;Indonesia;Indonesia;2012;Operating;Proposed;Bituminous;Bituminous;539.0;539.0;1.316;1.31552652;[Current - Bituminous - 1.316];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Galilee Coal Mine;True;True;True;Australia;Australia;2027;Proposed;Proposed;Subbituminous;Subbituminous;1100.0;1000.0;1.998;1.81629;[New - Subbituminous - 1.998];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gansu Ningxi No. 1 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;1012.0;;2.47;;[New - Bituminous - 2.47];
Gansu Ningxi No. 2 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;857.0;;2.092;;[New - Bituminous - 2.092];
Gansu Ningxi No. 3 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;1637.0;;3.995;;[New - Bituminous - 3.995];
Gaohe Coal Mine;True;True;False;China;China;2012;Operating;Operating;Bituminous (Met);Bituminous (Met);243.0;575.0;0.648;1.533939;[Current - Bituminous (Met) - 0.648];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gaojiabao Coal Mine;True;True;True;China;China;;Operating;Operating;Bituminous;Bituminous;445.0;470.0;1.086;1.1471196;[Current - Bituminous - 1.086];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gaojialiang No.1 Coal Mine;True;True;False;China;China;2010;Operating;Operating;Bituminous;Bituminous;402.0;824.6;0.981;2.012584728;[Current - Bituminous - 0.981];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gaoping Goudi Coal Mine;False;True;True;China;;;Proposed;;Anthracite;;396.0;;1.039;;[New - Anthracite - 1.039];
Gaotouyao Coal Mine;True;True;True;China;China;2016;Operating;Operating;Bituminous;Bituminous;633.0;766.4;1.545;1.870537152;[Current - Bituminous - 1.545];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gare Palma I Opencast Coal Mine;False;True;True;India;;;Proposed;;Subbituminous;;1831.0;;3.326;;[New - Subbituminous - 3.326];
Gare Palma II Coal Mine;True;True;True;India;India;;Proposed;Proposed;Subbituminous;n/d;1059.0;655.15;1.923;1.3103;[New - Subbituminous - 1.923];http://www.coalcontroller.gov.in/writereaddata/files/download/coaldirectory/CoalDirectory2018-19.pdf
Garzweiler Coal Mine;True;True;False;Germany;Germany;1940;Operating;Operating;Lignite;Lignite;650.0;1100.0;0.781;1.32209;[Current - Lignite - 0.781];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gething Coal Mine;True;True;True;Canada;Canada;;Shelved;Proposed;Bituminous (Met);Bituminous (Met);780.0;780.0;2.081;2.0808216;[New - Bituminous (Met) - 2.081];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gevra Coal Mine;True;True;False;India;India;1981;Operating;Operating;Subbituminous;Subbituminous;318.0;1338.0;0.578;2.43019602;[Current - Subbituminous - 0.578];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Ghogharpalli & Its Dip Extension Block Summary;False;True;True;India;;;Proposed;;Subbituminous;;1288.0;;2.339;;[New - Subbituminous - 2.339];
Gondbahera Ujheni Coal Mine;False;True;True;India;;;Proposed;;Subbituminous;;673.0;;1.222;;[New - Subbituminous - 1.222];
Goonyella-Riverside Coal Mine;True;True;True;Australia;Australia;1989;Operating;Operating;Bituminous (Met);Bituminous (Met);448.0;818.0;1.195;2.18219496;[Current - Bituminous (Met) - 1.195];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Gopalji Kaniha Coal Mine;True;True;False;India;India;2010;Operating;Operating;Subbituminous;Subbituminous;71.0;659.0;0.129;1.19693511;[Current - Subbituminous - 0.129];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Greater Soutpansberg Coal Project;True;True;True;South Africa;South Africa;;Proposed;Proposed;Bituminous (Met);Bituminous (Met);1051.0;1051.0;2.804;2.80377372;[New - Bituminous (Met) - 2.804];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Grootegeluk Coal Mine;True;True;True;South Africa;South Africa;1980;Operating;Operating;Bituminous (Met);Bituminous (Met);2521.0;2576.0;6.726;6.87204672;[Current - Bituminous (Met) - 6.726];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Groundhog Coal Mine;False;True;True;Canada;;;Proposed;;Anthracite;;1016.0;;2.667;;[New - Anthracite - 2.667];
Guandi Coal Mine;False;True;True;China;;1960;Operating;;Bituminous (Met);;634.0;;1.692;;[Current - Bituminous (Met) - 1.692];
Guizhou Digua No. 2 Coal Mine;False;True;True;China;;;Proposed;;Anthracite;;1104.0;;2.898;;[New - Anthracite - 2.898];
Guojiatan Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Subbituminous;1534.0;1190.0;3.744;2.1613851;[New - Bituminous - 3.744];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Guojiawan Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;590.0;769.0;1.44;1.87688292;[Current - Bituminous - 1.44];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Guqiao Coal Mine;True;True;True;China;China;2007;Operating;Operating;Bituminous;Bituminous;704.0;831.4;1.718;2.029181352;[Current - Bituminous - 1.718];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Haerwusu Surface Mine;True;True;True;China;China;2008;Operating;Operating;Bituminous;Lignite;1730.0;1731.0;4.222;2.0804889;[Current - Bituminous - 4.222];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Halagou Coal Mine;True;True;True;China;China;2004;Operating;Operating;Bituminous;Bituminous;516.0;516.0;1.259;1.25939088;[Current - Bituminous - 1.259];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hambach Coal Mine;True;True;True;Germany;Germany;1978;Operating;Operating;Lignite;Lignite;1350.0;1419.0;1.623;1.7054961;[Current - Lignite - 1.623];https://www.ecologic.eu/sites/files/publication/2019/3537-kohlereader_englisch-final.pdf
Hami Yingma No. 2 Coal Mine;False;True;True;China;;2026;Proposed;;Bituminous;;472.0;;1.152;;[New - Bituminous - 1.152];
Hamilton Mine No. 1;True;True;False;United States;United States;2014;Operating;Operating;Bituminous;Bituminous;113.8;485.43;0.278;1.184779292;[Current - Bituminous - 0.278];https://www.arlp.com/mines-facilities/illinois-basin/default.aspx#hamiltoncounty
Hanglaiwan Coal Mine;True;True;True;China;China;2012;Operating;Operating;Bituminous;Bituminous;730.0;729.7;1.782;1.780964196;[Current - Bituminous - 1.782];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hebei Xingtai Coal Mine West Shaft;False;True;True;China;;2024;Operating;;Bituminous (Met);;2843.1;;7.585;;[Current - Bituminous (Met) - 7.585];
Henderson County Mine;False;True;True;United States;;1950;Operating;;Bituminous;;414.0;;1.01;;[Current - Bituminous - 1.01];
Hetaoyu Coal Mine;True;True;True;China;China;2022;Operating;Proposed;Bituminous;Bituminous;1198.0;1229.5;2.924;3.00081606;[Current - Bituminous - 2.924];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hongdunjie Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;955.0;;2.331;;[New - Bituminous - 2.331];
Hongliulin Coal Mine;True;True;True;China;China;2011;Operating;Operating;Bituminous;Bituminous;1403.0;1266.0;3.424;3.08990088;[Current - Bituminous - 3.424];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hongqinghe Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;2214.0;2338.3;5.404;5.707042044;[Current - Bituminous - 5.404];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hongqingliang Coal Mine;True;True;True;China;China;2021;Operating;Operating;Bituminous;Bituminous;440.0;810.28;1.074;1.97763419;[Current - Bituminous - 1.074];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hongshaquan No. 1 Surface Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;3559.0;3676.0;8.686;8.97193968;[Current - Bituminous - 8.686];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hongshiqiao Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;1851.0;;4.518;;[New - Bituminous - 4.518];
Hongshuliang Coal Mine;True;True;True;China;China;2022;Operating;Proposed;Bituminous;Bituminous;421.0;415.43;1.028;1.013931692;[Current - Bituminous - 1.028];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Huale Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;540.0;;2.636;;[Expansion - Bituminous - 1.318][Current - Bituminous - 1.318];
Huangling No. 2 Coal Mine;True;True;True;China;China;2009;Operating;Operating;Bituminous (Met);Bituminous;558.0;558.0;1.489;1.36189944;[Current - Bituminous (Met) - 1.489];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Huangyuchuan Coal Mine;True;True;True;China;China;2016;Operating;Operating;Bituminous;Bituminous;926.0;926.39;2.26;2.261021545;[Current - Bituminous - 2.26];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Huanxian Mafuchuan Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;614.0;;1.499;;[New - Bituminous - 1.499];
Hulusu Coal Mine;True;True;True;China;China;2016;Operating;Operating;Bituminous;Bituminous;1624.0;1623.8;3.964;3.963176184;[Current - Bituminous - 3.964];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hunter Valley North Coal Mine;True;True;True;Australia;Australia;1952;Operating;Operating;Bituminous (Met);Bituminous (Met);395.0;650.0;1.054;1.734018;[Current - Bituminous (Met) - 1.054];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Hunter Valley South Coal Mine;True;True;True;Australia;Australia;1971;Operating;Operating;Bituminous (Met);Bituminous (Met);395.0;440.0;1.054;1.1737968;[Current - Bituminous (Met) - 1.054];https://datagovau.s3.amazonaws.com/bioregionalassessments/BA_ALL/ALL/DATA/Resources/MinesGA_OZMIN_MineralDeposits_v02_20130830/34247a24-d3cf-4a98-bb9d-81671ddb99de.zip
Huojitu Well Of Daliuta Coal Mine;True;True;True;China;China;2000;Operating;Operating;Bituminous;Subbituminous;643.0;624.0;1.569;1.13336496;[Current - Bituminous - 1.569];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Huolinhe North Surface Mine No. 3;False;True;True;China;;1992;Operating;;Lignite;;938.0;;1.127;;[Current - Lignite - 1.127];
Huolinhe South Surface Mine;False;True;True;China;;1984;Operating;;Lignite;;1380.0;;1.659;;[Current - Lignite - 1.659];
