Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Government of Telengana,Republic of India,"0,5559",Republic of India,2,Personne 3,,,"Telengana est une province indienne, on peut penser qu'elle dépend donc en amont du gouvernement indien ?"
Guangdong Yuedian Group,,"0,55584",,,Personne 3,,,
Yima Coal Industry Group,,"0,5478",,,Personne 3,,,
Yancoal Australia Ltd,,"0,53754",,,Personne 3,,https://www.gem.wiki/Middlemount_Coal_Mine,détenu par le groupe chinois yankuang et hkg register control
Yankuang Energy,,"0,53754",,,Personne 3,,,groupe mère du précédent
Bono Lithihi Investments Group,,"0,5365",,,Personne 3,,,entreprise sud-africaine possédée par le groupe Vibrant Veterans https://www.opensanctions.org/entities/gem-own-e100000131407/
TerraCom Resources,,"0,5365",,,Personne 3,,,
Government of India,Republic of India,"0,5341",Republic of India,3,Personne 3,,,
China Coal,China National Coal Group,"0,52822",China National Coal Group,3,Personne 3,,,
Glencore PLC,Glencore,"0,51646",Glencore,3,Personne 3,,,typo
Jizhong Energy Group,Jizhong Energy Group,"1,55276",,,,,,
Liaoning Tiefa Energy,,"0,5113316",,,Personne 3,,,"possédé par Liaoning Energy
Industry Holding
Group Co Ltd mais pas dans la base BOCC"
Kailuan Group,Kailuan Group Liability,"2,0738",,,,,,
Adaro Energy Indonesia,Alamtri Resources Indonesia,"0,51075",Alamtri Resources Indonesia,,Personne 3,,https://en.wikipedia.org/wiki/AlamTri_Resources,Adaro = ancien nom
State Power Investment Corporation [SPIC],State Power Investment,"0,499710433",State Power Investment,3,Personne 3,,,
Zhejiang Xinhu Group Holding Company,,"0,47226",,,Personne 3,,,
Shanxi Coking Coal Group Co Ltd,Shanxi Coking Coal Energy Group,"0,469",Shanxi Coking Coal Energy Group,3,Personne 3,,,typo
Beijing Fengjia Investment Company,,"0,4595",,,Personne 3,,,
China Huadian,China Huadian,"0,43904",China Huadian,3,Personne 3,,,typo
Xin’ao Holding Investment Company,,"0,43896",,,Personne 3,,,
Iron Senergy Holding LLC,,"0,43",,,Personne 3,,https://umwa.org/news-media/news/the-new-operator-of-pennsylvanias-third-largest-coal-mine-reamins-a-mystery/,boite américaine formée par des anciens d'arcelor mittal
