Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Inner Mongolia Ordos Investment Holding Group,,"1,88556",,,Personne 1,1,"https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E8%81%94%E6%B5%B7%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%99%BD%E5%AE%B6%E6%B5%B7%E5%AD%90%E7%85%A4%E7%9F%BF
https://www.opensanctions.org/search/?q=Inner+Mongolia+Ordos+",difficile à dire car plusieurs entreprises semblent investir à Ordos avec des noms similaires
China Petrochemical Corporation,China Petrochemical,"0,5285",,,Personne 1,,,
Public Power Corporation of Greece S.A,,"1,803",,,Personne 1,1,"https://www.opensanctions.org/entities/gem-own-e100000000476/
https://www.gem.wiki/Public_Power_Corporation","state owned, Greece"
Ural Mining and Metallurgical Company OJSC,,"1,800759",,,Personne 1,1,https://www.gem.wiki/Demidovskaya_power_station,owned par plusieurs boites introuvables
China Reform Holdings Company,China Reform Holdings,"1,32804",,,Personne 1,1,,
Oracle Power PLC,,"1,683",,,Personne 1,1,https://www.gem.wiki/Thar_Block_VI_power_station,a l'air d'être une compagnie mère
Jinchuan Group,Gansu Provincial State-Owned Asset Investment Group,"1,665",Gansu Provincial State-Owned Asset Investment Group,3,Personne 1,1,https://www.gem.wiki/Jinchuan_Works_power_station,
Russkaya Energiya LLC,,"1,657",,,Personne 1,1,https://www.gem.wiki/Usinsk-1_Coal_Mine,Détenue par Anthracite JSC et in fine par des personnes
Xuzhou Mining Group,Province of Jiangsu China,"1,652",Province of Jiangsu China,3,Personne 1,,https://www.gem.wiki/Xuzhou_Coal_Mining_Group_Company,
China Southern Power Grid Company,China Southern Power Grid,"0,10988",,,Personne 1,1,,
China Kingho Energy Group,,"1,629",,,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100000122537/,owned en partie by Xinjiang Qinghua Entrepreneurship Consulting
other unknown/mixed entity types,,"1,616241",,,Personne 2,,,
Coal India,Coal India                                                                                                                                                                                             ,"8,4042472",Coal India                                                                                                                                                                                             ,,,,,
unknown,,"1,5865",,,Personne 2,,,
QCoal,,"1,56485",,,Personne 2,,,
Contango Holdings Plc,,"1,52304",,,Personne 2,,,
Integrated Energy Services Corporation,,"1,521",,,Personne 2,,,
Vitrinite,,"1,521",,,Personne 2,,,
China Energy Investment Corporation,China Energy Investment                                                                                                                                                                                                ,"1,50038",China Energy Investment                                                                                                                                                                                                ,2,Personne 2,,,
Bin County Coal Company,,"1,491",,,Personne 2,,,
Yongtai Technology Investment Company,,"1,474",,,Personne 2,,,
China Pingmei Shenma Energy and Chemical Group,,"1,438",,,Personne 2,,,
Ningxia Yinxing Coal Industry Company,,"1,418",,,Personne 2,,,
China Energy,China Energy Engineering,"1,4161",China Energy Engineering,2,Personne 2,,https://en.wikipedia.org/wiki/China_Energy_Engineering_Corporation,
Shandong First Geological and Mineral Exploration Institute,Province of Shandong China,"1,413",Province of Shandong China,3,Personne 2,,https://baike.baidu.com/item/%E5%B1%B1%E4%B8%9C%E7%9C%81%E5%9C%B0%E8%B4%A8%E7%9F%BF%E4%BA%A7%E5%8B%98%E6%9F%A5%E5%BC%80%E5%8F%91%E5%B1%80/1929654#3,
Pembroke Resources,,"1,406",,,Personne 2,,,
Other,,"1,401618182",,,Personne 2,,,
GCM Resources,,"1,396",,,Personne 2,,,
Ningxia Wangwa Coal Industry Company,,"1,371",,,Personne 2,,,
Talbot Group,,"1,35228",,,Personne 2,,,
natural persons,,"1,33",,,Personne 2,,,
PT Bayan Resources Tbk,,"1,282",,,Personne 2,,,
Rutek Alliance SA,,"1,23",,,Personne 2,,https://www.opensanctions.org/entities/gem-own-e100000132150/,
Exxaro Resources,Exxaro Resources,"6,726",Exxaro Resources,,,,,
MP Natural Resources Private Forward Limited,Adani Enterprises,"1,222",Adani Enterprises,3,Personne 2,,https://www.gem.wiki/Gondbahera_Ujheni_Coal_Mine,
Golden Energy Mines,,"1,208",,,Personne 2,,,
Shaanxi Shenmu Energy Group,Shenmu City State-Owned Assets Operation,"1,191",Shenmu City State-Owned Assets Operation,3,Personne 2,,https://baike.baidu.com/item/%E7%A5%9E%E6%9C%A8%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E7%94%B5%E5%8A%9B%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/55412389?fromModule=search-result_lemma,
Shaanxi Youser Group,Shaanxi Non-ferrous Metals Holding Group,"1,17266",Shaanxi Non-ferrous Metals Holding Group,3,Personne 2,,https://www.yousergroup.com/,
Fugu Houan Energy Company,,"1,158",,,Personne 2,,,
Rashtriya Ispat Nigam [RINL],,"1,124928",,,Personne 2,,,
Thungela Resources Australia,,"1,11775",,,Personne 2,,,
Mongolyn Alt Corporation [MAK],,"1,113",,,Personne 2,,,
Elion Group,,"1,1074",,,Personne 2,,,
Fajr Mazinoiy Company,,"1,09",,,Personne 2,,https://www.gem.wiki/Mazino_Coal_Mine,
TTK,,"1,083",,,Personne 2,,,
Zhejiang Energy Group,Zhejiang Provincial Energy Group,"1,07955",Zhejiang Provincial Energy Group,,Personne 2,,,
Glencore,Glencore,"5,64294",Glencore,,,,,
Wanbei Coal & Electrical Group,,"1,0599452",,,Personne 2,,,
Guanghui Energy Holding Company,,"1,0528",,,Personne 2,,,
State Power Investment Corporation [SPIC],State Power Investment,"1,04347",State Power Investment,3,Personne 2,,,
Ningxia Dongchang Industrial Group,,"1,034",,,Personne 2,,,
Russian Coal JSC,,"1,029",,,Personne 2,,,
Uzbekkomir JSC,,"1,028",,,Personne 2,,,
Yulin State-Owned Capital Operation and Management Company,Yulin City Investment Operation Group,"1,008",Yulin City Investment Operation Group,,Personne 2,,,
China Resources Holdings,China Resources National,"1,001",China Resources National,3,Personne 2,,https://en.wikipedia.org/wiki/China_Resources,
Guangdong Jinma Tourism Group,Shanxi State-owned Capital Investment Operation,"0,9758",Shanxi State-owned Capital Investment Operation,1,Personne 2,,https://www.gem.wiki/Wangqu_power_station/ Shanxi State-Owned Capital Investment and Operation Co Ltd [2.9%],
PT Pakarti Putra Sang Fajar,,"0,9675",,,Personne 2,,,
Guangdong Hanjian Holding Company,Guangdong Hanjian Holding,"1,33762",,,,,,
Guangdong Hengjian Investment Holding Company,Guangdong Hengjian Investment Holding,"0,10815",,,,,,
Uttar Pradesh Rajya Vidyut,,"0,952",,,Personne 2,,,
Luen Mei Group,,"0,94227",,,Personne 2,,,
PT Indexim Investama,,"0,9377025",,,Personne 2,,,
China Development Bank,,"0,9324877",,,Personne 2,,,
Shandong Lutai Holding Group,,"0,9225",,,Personne 2,,https://baike.baidu.com/item/%E5%B1%B1%E4%B8%9C%E9%B2%81%E6%B3%B0%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/20006385,
Heilongjiang Longmay Mining Holding Group,,"0,915",,,Personne 2,,,
CG Natural Resources,,"0,908",,,Personne 2,,,
Inner Mongolia Yitai Group,Inner Mongolia Yitai Investment,"0,86944",Inner Mongolia Yitai Investment,3,Personne 2,,,
Shanxi Huayang Group New Energy Company,Huayang New Material Technology Group,"0,8652",Huayang New Material Technology Group,3,Personne 2,,https://baike.baidu.com/item/%E5%8D%8E%E9%98%B3%E6%96%B0%E6%9D%90%E6%96%99%E7%A7%91%E6%8A%80%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/56463543#2-4,
LX International,,"0,85525",,,Personne 2,,,
Reliance Power,Reliance Industries,"0,854",Reliance Industries,3,Personne 2,,https://www.gem.wiki/Reliance_Power ; https://www.gem.wiki/Reliance_Industries,
ENBW Trust,EnBW Energie Baden-Wuerttemberg																		,"0,85272",EnBW Energie Baden-Wuerttemberg																		,2,Personne 2,,,
Magyar Villamos Müvek Zrt,,"0,85272",,,Personne 2,,,
RWE Power,RWE,"0,85272",RWE,,Personne 2,,,
En+ Group,EN+ Group International,"0,851382",EN+ Group International,,Personne 2,,,
HeBei Construction & Investment Group,Hebei Construction & Investment Group,"0,03756",,,,,,
Hebei Construction & Investment Group,Hebei Construction & Investment Group,"2,5563642",,,,,,
Beijing Energy,Beijing Energy International Holding                                                                                                                                                                                                ,"0,8344314",Beijing Energy International Holding                                                                                                                                                                                                ,,Personne 2,,,
Shenmu County State-Owned Assets Operation Company,Shenmu City State-Owned Assets Operation,"0,82176",Shenmu City State-Owned Assets Operation,3,Personne 2,,,
China Shenhua Energy Co Ltd,China Energy Investment                                                                                                                                                                                         ,"0,809",China Energy Investment                                                                                                                                                                                         ,,Personne 2,,http://www.csec.com/,
China Cinda Asset Management,,"0,80654",,,Personne 2,,,
Coalstar LLC,,"0,787",,,Personne 2,,,
Navajo Transitional Energy Company LLC,,"0,776",,,Personne 2,,,
Bazhou Dongchen Industry and Trade Company,,"0,766",,,Personne 2,,,
Guangdong Yuedian Holdings West Investment Company,,"0,76428",,,Personne 2,,,
Huaibei Mining Group,Huaibei Mining Group,"1,52637",,,,,,
Nippon Steel & Sumitomo Metal,,"0,75636",,,Personne 2,,,
Shaanxi Yanchang Petroleum and Mining Company,Shaanxi Yanchang Petroleum Group,"0,7497",Shaanxi Yanchang Petroleum Group,3,Personne 2,,,
SPIC Aluminum & Power Investment Company,SPIC Ronghe New Energy Development,"0,74404",SPIC Ronghe New Energy Development,3,Personne 2,,https://baike.baidu.com/item/%E5%9B%BD%E5%AE%B6%E7%94%B5%E5%8A%9B%E6%8A%95%E8%B5%84%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/22426027?fromtitle=%E5%9B%BD%E5%AE%B6%E7%94%B5%E5%8A%9B%E6%8A%95%E8%B5%84%E9%9B%86%E5%9B%A2%E5%85%AC%E5%8F%B8&fromid=17067947,
Huayang New Material Technology Group,Huayang New Material Technology Group,"6,8190954",,,,,,
Ningxia State-Owned Asset Operation Group,,"0,73843",,,Personne 2,,,
Shanghai Huayi Group,,"0,73777",,,Personne 2,,,
Shaanxi Financial Holding Group,,"0,73715",,,Personne 2,,,
Rothe Investments,,"0,72904",,,Personne 2,,,
Indika Energy,Indika Energy,"0,87724",,,,,,
PT Semesta Resources Investindo,,"0,7265",,,Personne 2,,,
PT Sinar Indonesia Perkasa,,"0,7265",,,Personne 2,,,
Jiangsu Yueda Group,,"0,72367",,,Personne 2,,,
Ningxia State-Owned Assets Company,,"0,71393",,,Personne 2,,,
China Chengtong Holdings Group,,"0,7078",,,Personne 2,,,
Gansu Energy Chemical Investment Group,Gansu Energy & Chemical Investment Group,"0,705",Gansu Energy & Chemical Investment Group,3,Personne 2,,,
Dehua International Mines Group Inc,,"0,693666667",,,Personne 2,,,
Shougang International Investment Ltd,Shougang Group,"0,693666667",Shougang Group,3,Personne 2,,,
Canada Zhong he Investment Ltd,,"0,693666667",,,Personne 2,,https://www.gem.wiki/Gething_Coal_Mine,
Yildirim Holding AS,Yildirim Holding,"0,691",Yildirim Holding,,Personne 2,,,
Core Natural Resources Inc,,"0,687",,,Personne 2,,,
Xinjiang Joinworld Company,,"0,68306",,,Personne 2,,,
Aspire Mining,,"0,68",,,Personne 2,,,
Shubarkol Komir JSC,,"0,663",,,Personne 2,,,
Titan Infra Energy,,"0,658",,,Personne 2,,,
Kazakhmys Corporation LLC,,"0,657",,,Personne 2,,,
Resource Generation Australia,,"0,652",,,Personne 2,,,
Huolinhe Coal Industry Group,,"0,6434",,,Personne 2,,,
Liaoning Chuncheng Industry & Trade Group,,"0,6433",,,Personne 2,,,
RioZim Ltd,,"0,6405",,,Personne 2,,,
Tinto Holdings Zimbabwe Ltd,,"0,6405",,,Personne 2,,,
Yuling Mining Group,,"0,64048",,1,Personne 2,,https://www.opensanctions.org/entities/gem-own-e100000124706/,"pas sûr, ça s'approche. D'après Hélène Yuan: sauf qu'il est mal écrit par Yuling au lieu de ""Yuling"". Il existe Yuling mining mais sans caractère, je nepourai pas l'identifier"
Inner Mongolia Mengtai Group,Inner Mongolia Mengtai Group,"0,63994",Inner Mongolia Mengtai Group,3,Personne 3,,,"typo dans GEM (crochet ""["" )"
Inner Mongolia Shilin Investment Group,,"0,6208",,,Personne 3,,,
Guizhou Coalfield Geology Bureau,,"0,61808",,,Personne 3,,,
Industrial and Commercial Bank of China,,"0,61695",,,Personne 3,,,
Inner Mongolia Yitai Investment,Inner Mongolia Yitai Investment,"5,9016",,,,,,
Inner Mongolia Yitai Investment Company,Inner Mongolia Yitai Investment,"2,014",,,,,,
Manshi Group,,"0,6092",,,Personne 3,,,
Shenmu State-Owned Assets Operation Company,Shenmu City State-Owned Assets Operation,"0,59625",Shenmu City State-Owned Assets Operation,3,Personne 3,,,meme nom
Guizhou Guineng Investment Company,,"0,588",,,Personne 3,,,
Itochu,ITOCHU,"0,25375",,,,,,
others,,"0,587",,,Personne 3,,,
China Coalmines [Overseas] Group,,"0,58558",,,Personne 3,,,
Cuesta Coal,,"0,578",,,Personne 3,,,
Oriental Fortune (Beijing) Investment Management Company,,"0,5733",,,Personne 3,,,
Beijing Guotai Xinhua Industrial Company,Shanxi State-owned Capital Investment Operation,"0,57133",Shanxi State-owned Capital Investment Operation,2,Personne 3,,https://www.gem.wiki/%E6%96%B0%E7%96%86%E5%9B%BD%E6%B3%B0%E6%96%B0%E5%8D%8E%E4%BA%94%E5%BD%A9%E6%B9%BE%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E4%BA%94%E5%BD%A9%E6%B9%BE%E7%9F%BF%E5%8C%BA%E4%B8%80%E5%8F%B7%E7%9F%BF%E4%BA%95,en remontant le fil sur le lien
Yichang Caiyuan Investment and Management Company,,"0,56949",,,Personne 3,,,
Elion Resources Group,,"0,5586",,,Personne 3,,,
