T14,Gross domestic product and gross domestic product per capita,,,,,
155,Western Europe,2019,GDP in current prices (millions of US dollars),"9,323,674",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2020,GDP in current prices (millions of US dollars),"9,185,006",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,1995,GDP per capita (US dollars),"30,523",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2005,GDP per capita (US dollars),"36,718",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2010,GDP per capita (US dollars),"44,316",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2015,GDP per capita (US dollars),"42,107",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2018,GDP per capita (US dollars),"48,242",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2019,GDP per capita (US dollars),"47,150",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2020,GDP per capita (US dollars),"46,298",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,1995,GDP in constant 2010 prices (millions of US dollars),"5,971,562",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2005,GDP in constant 2010 prices (millions of US dollars),"7,193,035",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2010,GDP in constant 2010 prices (millions of US dollars),"7,642,665",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2015,GDP in constant 2010 prices (millions of US dollars),"8,178,400",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2018,GDP in constant 2010 prices (millions of US dollars),"8,673,678",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2019,GDP in constant 2010 prices (millions of US dollars),"8,802,802",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2020,GDP in constant 2010 prices (millions of US dollars),"8,324,757",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,1995,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2005,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2010,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2015,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2018,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2019,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
155,Western Europe,2020,GDP real rates of growth (percent),-5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,1995,GDP in current prices (millions of US dollars),"473,354",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2005,GDP in current prices (millions of US dollars),"900,526",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2010,GDP in current prices (millions of US dollars),"1,482,602",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2015,GDP in current prices (millions of US dollars),"1,470,813",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2018,GDP in current prices (millions of US dollars),"1,722,306",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2019,GDP in current prices (millions of US dollars),"1,645,082",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2020,GDP in current prices (millions of US dollars),"1,684,384",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,1995,GDP per capita (US dollars),"16,251",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2005,GDP per capita (US dollars),"26,964",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2010,GDP per capita (US dollars),"40,521",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2015,GDP per capita (US dollars),"37,170",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2018,GDP per capita (US dollars),"41,724",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2019,GDP per capita (US dollars),"39,324",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2020,GDP per capita (US dollars),"39,743",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,1995,GDP in constant 2010 prices (millions of US dollars),"789,137",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2005,GDP in constant 2010 prices (millions of US dollars),"1,121,218",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2010,GDP in constant 2010 prices (millions of US dollars),"1,277,371",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2015,GDP in constant 2010 prices (millions of US dollars),"1,470,813",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2018,GDP in constant 2010 prices (millions of US dollars),"1,592,103",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2019,GDP in constant 2010 prices (millions of US dollars),"1,594,091",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2020,GDP in constant 2010 prices (millions of US dollars),"1,610,112",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,1995,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2005,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2010,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2015,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2018,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2019,GDP real rates of growth (percent),0.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
9,Oceania,2020,GDP real rates of growth (percent),1.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,1995,GDP in current prices (millions of US dollars),"454,246",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2005,GDP in current prices (millions of US dollars),"875,662",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2010,GDP in current prices (millions of US dollars),"1,445,981",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2015,GDP in current prices (millions of US dollars),"1,425,699",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2018,GDP in current prices (millions of US dollars),"1,670,906",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2019,GDP in current prices (millions of US dollars),"1,593,642",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2020,GDP in current prices (millions of US dollars),"1,635,517",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,1995,GDP per capita (US dollars),"20,964",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2005,GDP per capita (US dollars),"36,015",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2010,GDP per capita (US dollars),"54,514",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2015,GDP per capita (US dollars),"49,942",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2018,GDP per capita (US dollars),"56,371",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2019,GDP per capita (US dollars),"53,146",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2020,GDP per capita (US dollars),"53,938",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,1995,GDP in constant 2010 prices (millions of US dollars),"762,602",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2005,GDP in constant 2010 prices (millions of US dollars),"1,089,029",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2010,GDP in constant 2010 prices (millions of US dollars),"1,239,781",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2015,GDP in constant 2010 prices (millions of US dollars),"1,425,699",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2018,GDP in constant 2010 prices (millions of US dollars),"1,543,365",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2019,GDP in constant 2010 prices (millions of US dollars),"1,543,812",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2020,GDP in constant 2010 prices (millions of US dollars),"1,562,430",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,1995,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2005,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2010,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2015,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2018,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2019,GDP real rates of growth (percent),0.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
53,Australia and New Zealand,2020,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,1995,GDP in current prices (millions of US dollars),"13,587",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2005,GDP in current prices (millions of US dollars),"17,522",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2010,GDP in current prices (millions of US dollars),"28,350",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2015,GDP in current prices (millions of US dollars),"37,207",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2018,GDP in current prices (millions of US dollars),"42,133",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2019,GDP in current prices (millions of US dollars),"42,268",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2020,GDP in current prices (millions of US dollars),"40,223",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,1995,GDP per capita (US dollars),"2,033",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2005,GDP per capita (US dollars),"2,129",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2010,GDP per capita (US dollars),"3,086",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2015,GDP per capita (US dollars),"3,676",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2018,GDP per capita (US dollars),"3,932",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2019,GDP per capita (US dollars),"3,871",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2020,GDP per capita (US dollars),"3,616",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,1995,GDP in constant 2010 prices (millions of US dollars),"20,245",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2005,GDP in constant 2010 prices (millions of US dollars),"24,268",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2010,GDP in constant 2010 prices (millions of US dollars),"29,888",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2015,GDP in constant 2010 prices (millions of US dollars),"37,207",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2018,GDP in constant 2010 prices (millions of US dollars),"40,105",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2019,GDP in constant 2010 prices (millions of US dollars),"41,408",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2020,GDP in constant 2010 prices (millions of US dollars),"39,479",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,1995,GDP real rates of growth (percent),0.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2005,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2010,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2015,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2018,GDP real rates of growth (percent),0.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2019,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
54,Melanesia,2020,GDP real rates of growth (percent),-4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,1995,GDP in current prices (millions of US dollars),562,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2005,GDP in current prices (millions of US dollars),710,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2010,GDP in current prices (millions of US dollars),856,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2015,GDP in current prices (millions of US dollars),"1,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2018,GDP in current prices (millions of US dollars),"1,243",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2019,GDP in current prices (millions of US dollars),"1,239",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2020,GDP in current prices (millions of US dollars),"1,227",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,1995,GDP per capita (US dollars),"2,132",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2005,GDP per capita (US dollars),"2,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2010,GDP per capita (US dollars),"2,949",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2015,GDP per capita (US dollars),"3,453",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2018,GDP per capita (US dollars),"3,942",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2019,GDP per capita (US dollars),"3,884",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2020,GDP per capita (US dollars),"3,803",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,1995,GDP in constant 2010 prices (millions of US dollars),912,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2005,GDP in constant 2010 prices (millions of US dollars),928,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2010,GDP in constant 2010 prices (millions of US dollars),920,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2015,GDP in constant 2010 prices (millions of US dollars),"1,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2018,GDP in constant 2010 prices (millions of US dollars),"1,098",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2019,GDP in constant 2010 prices (millions of US dollars),"1,115",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2020,GDP in constant 2010 prices (millions of US dollars),"1,077",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,1995,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2005,GDP real rates of growth (percent),2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2010,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2015,GDP real rates of growth (percent),7.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2018,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2019,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
57,Micronesia,2020,GDP real rates of growth (percent),-3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,1995,GDP in current prices (millions of US dollars),"4,958",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2005,GDP in current prices (millions of US dollars),"6,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2010,GDP in current prices (millions of US dollars),"7,416",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2015,GDP in current prices (millions of US dollars),"6,852",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2018,GDP in current prices (millions of US dollars),"8,023",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2019,GDP in current prices (millions of US dollars),"7,933",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2020,GDP in current prices (millions of US dollars),"7,418",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,1995,GDP per capita (US dollars),"9,675",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2005,GDP per capita (US dollars),"11,665",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2010,GDP per capita (US dollars),"12,671",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2015,GDP per capita (US dollars),"11,495",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2018,GDP per capita (US dollars),"13,239",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2019,GDP per capita (US dollars),"13,003",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2020,GDP per capita (US dollars),"12,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,1995,GDP in constant 2010 prices (millions of US dollars),"5,378",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2005,GDP in constant 2010 prices (millions of US dollars),"6,993",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2010,GDP in constant 2010 prices (millions of US dollars),"6,784",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2015,GDP in constant 2010 prices (millions of US dollars),"6,852",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2018,GDP in constant 2010 prices (millions of US dollars),"7,536",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2019,GDP in constant 2010 prices (millions of US dollars),"7,756",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2020,GDP in constant 2010 prices (millions of US dollars),"7,126",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,1995,GDP real rates of growth (percent),0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2005,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2010,GDP real rates of growth (percent),-1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
61,Polynesia,2015,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
