parent_company;company;gogel_id
China Railway Gallon (Linhai) LNG Co Ltd;China Railway Gallon (Linhai) LNG Co Ltd;200489
China Reform Holdings Corporation Ltd;China Reform Holdings Corporation Ltd;800855
China Resources Co Ltd;China Resources Co Ltd;200549
China Resources Co Ltd ;China Resources (Holdings) Co Ltd;200550
China Resources Co Ltd ;China Resources Gas Group Ltd;200722
China Resources Power Holdings Co Ltd;China Resources Power Holdings Co Ltd;800172
China Southern Power Grid Co Ltd;China Southern Power Grid Co Ltd;800402
China Suntien Green Energy Corporation Ltd;China Suntien Green Energy Corporation Ltd;200248
China Three Gorges Corporation;China Three Gorges Corporation;800853
China Three Gorges Corporation ;China Yangtze Power Co Ltd;801011
China Urban Rural (Yantai) LNG Co Ltd;China Urban Rural (Yantai) LNG Co Ltd;200545
China-Africa Fund for Industrial Cooperation Co Ltd;China-Africa Fund for Industrial Cooperation Co Ltd;100732
Chisholm Oil and Gas Operating LLC;Chisholm Oil and Gas Operating LLC;100512
CHN ENERGY Investment Group Co Ltd;CHN ENERGY Investment Group Co Ltd;800201
CHN ENERGY Investment Group Co Ltd ;China Shenhua Energy Co Ltd (CSEC);800013
CHN ENERGY Investment Group Co Ltd ;GD Power Development Co Ltd;800886
Chongqing Changye Technology Co Ltd;Chongqing Changye Technology Co Ltd;200622
Chongqing Gas Group Corporation Ltd;Chongqing Gas Group Corporation Ltd;200397
Chongqing Three Gorges Water Conservancy and Electric Power Co Ltd;Chongqing Three Gorges Water Conservancy and Electric Power Co Ltd;800888
Chord Energy Corporation;Chord Energy Corporation;100140
Chubu Electric Power Company Inc;Chubu Electric Power Company Inc;200327
Chung Chia Power Co Ltd;Chung Chia Power Co Ltd;800578
Circle-S Energy LLC;Circle-S Energy LLC;100945
Citation Oil and Gas Corp;Citation Oil and Gas Corp;100823
Citizen Energy LLC;Citizen Energy LLC;100242
Civil Servants Pension Fund (CSPF);Civil Servants Pension Fund (CSPF);800268
Civil Servants Pension Fund (CSPF) ;Civil Pension Fund Investment Company;800842
Civil Servants Pension Fund (CSPF) ;Niro Taraz Piriz Co;800843
Civitas Resources Inc;Civitas Resources Inc;100753
CJSC Chernomorneftegaz;CJSC Chernomorneftegaz;100394
Clavenia Ltd;Clavenia Ltd;800015
Clavenia Ltd ;Larissa Thermoelectric SMSA;800016
Cleanenergy Resources SAS;Cleanenergy Resources SAS;101112
CLP Holdings Ltd;CLP Holdings Ltd;200277
CNX Resources Corporation;CNX Resources Corporation;100086
Coal Power Generation Company Bangladesh Ltd (CPGCBL);Coal Power Generation Company Bangladesh Ltd (CPGCBL);800073
Coastal Petroleum Dominicana SA;Coastal Petroleum Dominicana SA;800595
Coega Development Corporation Pty Ltd;Coega Development Corporation Pty Ltd;800218
Coelacanth Energy Inc;Coelacanth Energy Inc;100822
Colavi JSC;Colavi JSC;200326
Comanche Resources Company;Comanche Resources Company;100542
Comision Federal de Electricidad EPE (CFE);Comision Federal de Electricidad EPE (CFE);200212
Complexul Energetic Oltenia SA;Complexul Energetic Oltenia SA;800119
Complexul Energetic Oltenia SA ;CCGT Power Isalnita SA;800933
Comstock Resources Inc;Comstock Resources Inc;100082
Confidence Cement Ltd;Confidence Cement Ltd;800072
Confidence Infrastructure Ltd;Confidence Infrastructure Ltd;800652
Confidence Power Holdings Ltd;Confidence Power Holdings Ltd;800899
Confluence Resources LP;Confluence Resources LP;100538
Cong Thanh Cement JSC;Cong Thanh Cement JSC;800930
Cong Thanh Cement JSC ;Cong Thanh Thermal Power JSC;800931
Connacher Oil And Gas Ltd;Connacher Oil And Gas Ltd;100429
ConocoPhillips;ConocoPhillips;100025
Conrad Asia Energy Ltd;Conrad Asia Energy Ltd;100679
Continental Resources Inc;Continental Resources Inc;100061
Copelouzos Group;Copelouzos Group;800242
Coral Holding Ltd;Coral Holding Ltd;101040
Coral Holding Ltd ;Pakistan Oilfields Ltd;100381
Corex Resources Ltd;Corex Resources Ltd;100531
Corporacion Masaveu SA;Corporacion Masaveu SA;800962
Cosan SA;Cosan SA;200063
Cosan SA ;Companhia de Gas de Sao Paulo - COMGAS;200577
Cosan SA ;Compass Gas e Energia SA;200573
Cosan SA ;Rota 4 Participacoes SA;200578
Coterra Energy Inc;Coterra Energy Inc;100056
Court Investments Ltd;Court Investments Ltd;801000
Court Investments Ltd ;Competitive Power Ventures Inc;800122
Court Investments Ltd ;CPV Basin Ranch Holdings LLC;801020
Court Investments Ltd ;Kenon Holdings Ltd;800337
Court Investments Ltd ;OPC Energy Ltd;800669
Cowan Petroleo e Gas SA;Cowan Petroleo e Gas SA;100909
Coyote Clean Power LLC;Coyote Clean Power LLC;800707
CPC Corporation Taiwan;CPC Corporation Taiwan;100365
CPS Energy Inc;CPS Energy Inc;800978
CPX Energy LLC;CPX Energy LLC;101062
Crawley Petroleum Corporation;Crawley Petroleum Corporation;100932
CREDITAS BV;CREDITAS BV;800932
Crescent Energy Company;Crescent Energy Company;100667
Crescent Pass Energy LLC;Crescent Pass Energy LLC;100782
Crescent Petroleum Company International Ltd;Crescent Petroleum Company International Ltd;100305
Crew Energy Inc;Crew Energy Inc;100367
Crimson Energy Partners V LLC;Crimson Energy Partners V LLC;101100
Crowheart Energy LLC;Crowheart Energy LLC;100519
Crown LNG Holdings Ltd;Crown LNG Holdings Ltd;200680
Crown LNG Holdings Ltd ;Crown LNG India AS;200491
CrownQuest Operating LLC;CrownQuest Operating LLC;100177
CS Energia SA;CS Energia SA;200719
CS Energia SA ;Transportadora de Gas Brasil Central SA;200160
Custos Investments (Pty) Ltd;Custos Investments (Pty) Ltd;101070
Cyfield Group;Cyfield Group;800375
Cyfield Group ;P.E.C. Powerenergy Cyprus Ltd;800147
Dagang NeXchange Bhd;Dagang NeXchange Bhd;101044
Dagang NeXchange Bhd ;Ping Petroleum UK Plc;100851
Dairyland Power Cooperative;Dairyland Power Cooperative;800349
Dalian City Construction Investment Group Co Ltd;Dalian City Construction Investment Group Co Ltd;200437
Dana Gas PJSC;Dana Gas PJSC;100222
Dangote Industries Ltd;Dangote Industries Ltd;100947
Daniel Caesarea Holdings in Dalia LP;Daniel Caesarea Holdings in Dalia LP;800988
Delek Group Ltd;Delek Group Ltd;100118
Delek Group Ltd ;Ithaca Energy plc;100960
Delek Group Ltd ;NewMed Energy LP;200459
Delta Energetika d.o.o.;Delta Energetika d.o.o.;800276
Delta Offshore Energy Pte Ltd;Delta Offshore Energy Pte Ltd;200131
Delta Offshore Energy Pte Ltd ;Bac Lieu LNG Power Co Ltd;800752
DEPA Commercial SA;DEPA Commercial SA;200182
DEPA International Projects SA;DEPA International Projects SA;200565
Derby Exploration LLC;Derby Exploration LLC;100786
Deutsche Energy Terminal GmbH;Deutsche Energy Terminal GmbH;200714
Deutsche Rohstoff AG;Deutsche Rohstoff AG;101009
Deutsche Rohstoff AG ;1876 Resources LLC;100682
Development Partners Group LLC;Development Partners Group LLC;800161
Development Partners Group LLC ;Marshall Energy Center LLC;800691
Devon Energy Corporation;Devon Energy Corporation;100051
Dhi Qar Oil Company (DQOC);Dhi Qar Oil Company (DQOC);100185
Diamondback Energy Inc;Diamondback Energy Inc;100067
Dirio Gas & Power Company Ltd;Dirio Gas & Power Company Ltd;800919
Dirio Gas & Power Company Ltd ;PAWA Generation PNG Ltd;800920
Discovery Natural Resources LLC;Discovery Natural Resources LLC;100318
Discovery Operating Inc;Discovery Operating Inc;100723
Diversified Energy Company PLC;Diversified Energy Company PLC;100153
DJR Energy LLC;DJR Energy LLC;100453
DKRW Energy Partners LLC;DKRW Energy Partners LLC;200041
DNO ASA;DNO ASA;100164
Dominion Energy Inc;Dominion Energy Inc;100863
Dongguan Xinzu Industrial Investment Co Ltd;Dongguan Xinzu Industrial Investment Co Ltd;800607
Dongguan Zhongdian New Energy Thermal Power Co Ltd;Dongguan Zhongdian New Energy Thermal Power Co Ltd;801015
Dongying Urban Construction Development Group Co Ltd;Dongying Urban Construction Development Group Co Ltd;200705
Donlin Gold LLC;Donlin Gold LLC;200678
Dor Gas Exploration LP;Dor Gas Exploration LP;100787
Dorad Energy Ltd;Dorad Energy Ltd;800989
Double Eagle Energy Holdings IV LLC;Double Eagle Energy Holdings IV LLC;100962
Dow Inc;Dow Inc;100958
Dow Inc ;The Dow Chemical Company;100487
Drax Group plc;Drax Group plc;800138
Drax Group plc ;Hirwaun Power Ltd;800703
Drax Group plc ;Millbrook Power Ltd;800704
Drax Group plc ;Progress Power Ltd;800702
Dubai Electricity and Water Authority PJSC;Dubai Electricity and Water Authority PJSC;800115
Dubai Petroleum Establishment;Dubai Petroleum Establishment;100134
Dubai Supply Authority;Dubai Supply Authority;100621
Duke Energy Corporation;Duke Energy Corporation;800271
Duke Energy Corporation ;Duke Energy Carolinas LLC;800739
Duke Energy Corporation ;Duke Energy Progress LLC;800979
E1 Co Ltd;E1 Co Ltd;800981
E1 Co Ltd ;Yeosu Green Energy Co Ltd;800816
Eagle LNG Partners LLC;Eagle LNG Partners LLC;200275
Eagle LNG Partners LLC ;Eagle LNG Partners Jacksonville LLC;200594
EagleRidge Energy LLC;EagleRidge Energy LLC;100383
Earthstone Energy Inc;Earthstone Energy Inc;100361
Eastern Power Inc;Eastern Power Inc;800553
Eav Operator LLC;Eav Operator LLC;100981
Echelon Data Centres Ltd;Echelon Data Centres Ltd;801048
Ecopetrol SA;Ecopetrol SA;100041
ECV Holdings Inc (Energy Capital Vietnam);ECV Holdings Inc (Energy Capital Vietnam);200026
Eden Group Co Ltd;Eden Group Co Ltd;800641
Edison SpA;Edison SpA;100233
EDP – Energias de Portugal SA (EDP Group);EDP – Energias de Portugal SA (EDP Group);800039
Eesti Energia AS;Eesti Energia AS;100501
Egbin Power Plc;Egbin Power Plc;800638
Egyptian General Petroleum Corporation (EGPC);Egyptian General Petroleum Corporation (EGPC);100374
EIG Global Energy Partners LLC;EIG Global Energy Partners LLC;800722
EIG Global Energy Partners LLC ;West Burton C Ltd;800939
Electricite de France SA (EDF Group);Electricite de France SA (EDF Group);800023
Electricite du Liban (EDL);Electricite du Liban (EDL);800040
Electricity Authority of Cyprus (EAC);Electricity Authority of Cyprus (EAC);800452
Electricity Authority of Cyprus (EAC) ;EAC – Vasilikos Power Station;800868
Electricity Generating Authority of Thailand (EGAT);Electricity Generating Authority of Thailand (EGAT);800003
Electricity Generating Public Company Ltd (EGCO);Electricity Generating Public Company Ltd (EGCO);800902
Electricity Generating Public Company Ltd (EGCO) ;Quezon Power (Philippines) Ltd Co;800903
Electricity Supply Board (ESB);Electricity Supply Board (ESB);800316
Electrocentrale Borzesti SRL;Electrocentrale Borzesti SRL;800748
Elektroprivreda Crne Gore AD Niksic;Elektroprivreda Crne Gore AD Niksic;800097
