T27,CO2 emission estimates,,,,,
68,Bolivia (Plurin. State of),1975,Emissions (thousand metric tons of carbon dioxide),"3,370",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),1985,Emissions (thousand metric tons of carbon dioxide),"4,778",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2005,Emissions (thousand metric tons of carbon dioxide),"9,379",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2010,Emissions (thousand metric tons of carbon dioxide),"14,386",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2015,Emissions (thousand metric tons of carbon dioxide),"19,646",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2017,Emissions (thousand metric tons of carbon dioxide),"21,653",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2018,Emissions (thousand metric tons of carbon dioxide),"22,129",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2019,Emissions (thousand metric tons of carbon dioxide),"21,244",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),1975,Emissions per capita (metric tons of carbon dioxide),0.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),1985,Emissions per capita (metric tons of carbon dioxide),0.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2005,Emissions per capita (metric tons of carbon dioxide),1.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2015,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2017,Emissions per capita (metric tons of carbon dioxide),1.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2018,Emissions per capita (metric tons of carbon dioxide),1.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
68,Bolivia (Plurin. State of),2019,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2005,Emissions (thousand metric tons of carbon dioxide),"16,059",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2010,Emissions (thousand metric tons of carbon dioxide),"20,734",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2015,Emissions (thousand metric tons of carbon dioxide),"19,633",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2017,Emissions (thousand metric tons of carbon dioxide),"22,657",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2018,Emissions (thousand metric tons of carbon dioxide),"22,804",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2019,Emissions (thousand metric tons of carbon dioxide),"21,277",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2005,Emissions per capita (metric tons of carbon dioxide),4.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2010,Emissions per capita (metric tons of carbon dioxide),5.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2015,Emissions per capita (metric tons of carbon dioxide),5.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2017,Emissions per capita (metric tons of carbon dioxide),6.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2018,Emissions per capita (metric tons of carbon dioxide),6.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
70,Bosnia and Herzegovina,2019,Emissions per capita (metric tons of carbon dioxide),6.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,1975,Emissions (thousand metric tons of carbon dioxide),550,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,1985,Emissions (thousand metric tons of carbon dioxide),"1,673",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2005,Emissions (thousand metric tons of carbon dioxide),"4,515",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2010,Emissions (thousand metric tons of carbon dioxide),"3,501",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2015,Emissions (thousand metric tons of carbon dioxide),"7,192",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2017,Emissions (thousand metric tons of carbon dioxide),"7,576",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2018,Emissions (thousand metric tons of carbon dioxide),"7,556",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2019,Emissions (thousand metric tons of carbon dioxide),"7,495",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,1975,Emissions per capita (metric tons of carbon dioxide),0.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,1985,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2005,Emissions per capita (metric tons of carbon dioxide),2.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2010,Emissions per capita (metric tons of carbon dioxide),1.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2015,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2017,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2018,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
72,Botswana,2019,Emissions per capita (metric tons of carbon dioxide),3.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,1975,Emissions (thousand metric tons of carbon dioxide),"141,202",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,1985,Emissions (thousand metric tons of carbon dioxide),"166,948",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2005,Emissions (thousand metric tons of carbon dioxide),"327,026",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2010,Emissions (thousand metric tons of carbon dioxide),"389,556",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2015,Emissions (thousand metric tons of carbon dioxide),"474,044",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2017,Emissions (thousand metric tons of carbon dioxide),"450,079",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2018,Emissions (thousand metric tons of carbon dioxide),"428,191",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2019,Emissions (thousand metric tons of carbon dioxide),"428,083",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,1975,Emissions per capita (metric tons of carbon dioxide),1.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,1985,Emissions per capita (metric tons of carbon dioxide),1.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2005,Emissions per capita (metric tons of carbon dioxide),1.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2010,Emissions per capita (metric tons of carbon dioxide),1.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2015,Emissions per capita (metric tons of carbon dioxide),2.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2017,Emissions per capita (metric tons of carbon dioxide),2.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2018,Emissions per capita (metric tons of carbon dioxide),2.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
76,Brazil,2019,Emissions per capita (metric tons of carbon dioxide),1.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,1975,Emissions (thousand metric tons of carbon dioxide),"1,415",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,1985,Emissions (thousand metric tons of carbon dioxide),"2,963",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2005,Emissions (thousand metric tons of carbon dioxide),"4,854",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2010,Emissions (thousand metric tons of carbon dioxide),"6,901",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2015,Emissions (thousand metric tons of carbon dioxide),"6,022",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2017,Emissions (thousand metric tons of carbon dioxide),"6,755",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2018,Emissions (thousand metric tons of carbon dioxide),"7,189",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2019,Emissions (thousand metric tons of carbon dioxide),"6,636",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,1975,Emissions per capita (metric tons of carbon dioxide),8.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,1985,Emissions per capita (metric tons of carbon dioxide),13.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2005,Emissions per capita (metric tons of carbon dioxide),13.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2010,Emissions per capita (metric tons of carbon dioxide),17.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2015,Emissions per capita (metric tons of carbon dioxide),14.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2017,Emissions per capita (metric tons of carbon dioxide),15.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2018,Emissions per capita (metric tons of carbon dioxide),16.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
96,Brunei Darussalam,2019,Emissions per capita (metric tons of carbon dioxide),15.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,1975,Emissions (thousand metric tons of carbon dioxide),"74,218",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,1985,Emissions (thousand metric tons of carbon dioxide),"83,177",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2005,Emissions (thousand metric tons of carbon dioxide),"47,002",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2010,Emissions (thousand metric tons of carbon dioxide),"44,604",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2015,Emissions (thousand metric tons of carbon dioxide),"44,163",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2017,Emissions (thousand metric tons of carbon dioxide),"43,395",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2018,Emissions (thousand metric tons of carbon dioxide),"40,434",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2019,Emissions (thousand metric tons of carbon dioxide),"38,778",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,1975,Emissions per capita (metric tons of carbon dioxide),8.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,1985,Emissions per capita (metric tons of carbon dioxide),9.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2005,Emissions per capita (metric tons of carbon dioxide),6.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2010,Emissions per capita (metric tons of carbon dioxide),5.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2015,Emissions per capita (metric tons of carbon dioxide),6.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2017,Emissions per capita (metric tons of carbon dioxide),6.0,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2018,Emissions per capita (metric tons of carbon dioxide),5.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
100,Bulgaria,2019,Emissions per capita (metric tons of carbon dioxide),5.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2005,Emissions (thousand metric tons of carbon dioxide),"3,447",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2010,Emissions (thousand metric tons of carbon dioxide),"5,630",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2015,Emissions (thousand metric tons of carbon dioxide),"8,717",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2017,Emissions (thousand metric tons of carbon dioxide),"11,364",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2018,Emissions (thousand metric tons of carbon dioxide),"12,258",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2019,Emissions (thousand metric tons of carbon dioxide),"13,879",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2005,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2010,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2015,Emissions per capita (metric tons of carbon dioxide),0.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2017,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2018,Emissions per capita (metric tons of carbon dioxide),0.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
116,Cambodia,2019,Emissions per capita (metric tons of carbon dioxide),0.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,1975,Emissions (thousand metric tons of carbon dioxide),"1,925",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,1985,Emissions (thousand metric tons of carbon dioxide),"3,576",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2005,Emissions (thousand metric tons of carbon dioxide),"5,022",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2010,Emissions (thousand metric tons of carbon dioxide),"6,666",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2015,Emissions (thousand metric tons of carbon dioxide),"7,952",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2017,Emissions (thousand metric tons of carbon dioxide),"8,369",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2018,Emissions (thousand metric tons of carbon dioxide),"8,765",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2019,Emissions (thousand metric tons of carbon dioxide),"8,691",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,1975,Emissions per capita (metric tons of carbon dioxide),0.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,1985,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2005,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2010,Emissions per capita (metric tons of carbon dioxide),0.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2015,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2017,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2018,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
120,Cameroon,2019,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,1975,Emissions (thousand metric tons of carbon dioxide),"382,913",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,1985,Emissions (thousand metric tons of carbon dioxide),"399,744",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2005,Emissions (thousand metric tons of carbon dioxide),"546,869",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2010,Emissions (thousand metric tons of carbon dioxide),"534,305",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2015,Emissions (thousand metric tons of carbon dioxide),"557,311",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2017,Emissions (thousand metric tons of carbon dioxide),"567,159",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2018,Emissions (thousand metric tons of carbon dioxide),"579,167",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2019,Emissions (thousand metric tons of carbon dioxide),"579,620",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,1975,Emissions per capita (metric tons of carbon dioxide),16.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,1985,Emissions per capita (metric tons of carbon dioxide),15.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2005,Emissions per capita (metric tons of carbon dioxide),16.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2010,Emissions per capita (metric tons of carbon dioxide),15.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2015,Emissions per capita (metric tons of carbon dioxide),15.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2017,Emissions per capita (metric tons of carbon dioxide),15.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2018,Emissions per capita (metric tons of carbon dioxide),15.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
124,Canada,2019,Emissions per capita (metric tons of carbon dioxide),15.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
152,Chile,1975,Emissions (thousand metric tons of carbon dioxide),"17,717",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
152,Chile,1985,Emissions (thousand metric tons of carbon dioxide),"20,444",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
