Series_Title,Released_Year,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes
Joker,2019,8.5,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252
Whiplash,2014,8.5,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585
The Intouchables,2011,8.5,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,760360
The Prestige,2006,8.5,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,1190259
The Departed,2006,8.5,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,1189773
The Pianist,2002,8.5,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,729603
Gladiator,2000,8.5,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1341460
American History X,1998,8.5,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,1034705
The Usual Suspects,1995,8.5,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,991208
Léon,1994,8.5,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1035236
The Lion King,1994,8.5,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,942045
Terminator 2: Judgment Day,1991,8.5,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,995506
Nuovo Cinema Paradiso,1988,8.5,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,230763
Hotaru no haka,1988,8.5,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,235231
Back to the Future,1985,8.5,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,1058081
Once Upon a Time in the West,1968,8.5,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,302844
Psycho,1960,8.5,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,604211
Casablanca,1942,8.5,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,522093
Modern Times,1936,8.5,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,217881
City Lights,1931,8.5,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,167839
Capharnaüm,2018,8.4,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635
Ayla: The Daughter of War,2017,8.4,Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,34112
Vikram Vedha,2017,8.4,Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,28401
Kimi no na wa.,2016,8.4,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,194838
Dangal,2016,8.4,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,156479
Spider-Man: Into the Spider-Verse,2018,8.4,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,375110
Avengers: Endgame,2019,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,809955
Avengers: Infinity War,2018,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,834477
Coco,2017,8.4,Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,384171
Django Unchained,2012,8.4,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,1357682
The Dark Knight Rises,2012,8.4,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1516346
3 Idiots,2009,8.4,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,344445
Taare Zameen Par,2007,8.4,Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,168895
WALL·E,2008,8.4,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,999790
The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,358685
Oldeuboi,2003,8.4,Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,515451
Memento,2000,8.4,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,1125712
Mononoke-hime,1997,8.4,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,343171
Once Upon a Time in America,1984,8.4,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,311365
Raiders of the Lost Ark,1981,8.4,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,884112
The Shining,1980,8.4,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,898237
Apocalypse Now,1979,8.4,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,606398
Alien,1979,8.4,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,787806
Anand,1971,8.4,Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,30273
Tengoku to jigoku,1963,8.4,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,34357
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,450474
Witness for the Prosecution,1957,8.4,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,108862
Paths of Glory,1957,8.4,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,178092
Rear Window,1954,8.4,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,444074
Sunset Blvd.,1950,8.4,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,201632
The Great Dictator,1940,8.4,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,203150
1917,2019,8.3,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,425844
Tumbbad,2018,8.3,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,27793
Andhadhun,2018,8.3,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,71875
Drishyam,2013,8.3,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba,30722
Jagten,2012,8.3,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,281623
Jodaeiye Nader az Simin,2011,8.3,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,220002
Incendies,2010,8.3,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,150023
Miracle in cell NO.7,2019,8.3,Mehmet Ada Öztekin,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal,33935
Babam ve Oglum,2005,8.3,Çagan Irmak,Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman,78925
Inglourious Basterds,2009,8.3,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,1267869
Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,911664
Amélie,2001,8.3,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,703810
Snatch,2000,8.3,Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina,782001
Requiem for a Dream,2000,8.3,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,766870
American Beauty,1999,8.3,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,1069738
Good Will Hunting,1997,8.3,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,861606
Bacheha-Ye aseman,1997,8.3,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,65341
Toy Story,1995,8.3,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,887429
Braveheart,1995,8.3,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,959181
Reservoir Dogs,1992,8.3,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,918562
Full Metal Jacket,1987,8.3,Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin,675146
Idi i smotri,1985,8.3,Elem Klimov,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas,59056
Aliens,1986,8.3,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,652719
Amadeus,1984,8.3,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,369007
Scarface,1983,8.3,Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio,740911
Star Wars: Episode VI - Return of the Jedi,1983,8.3,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,950470
Das Boot,1981,8.3,Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,231855
Taxi Driver,1976,8.3,Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks,724636
The Sting,1973,8.3,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,241513
A Clockwork Orange,1971,8.3,Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,757904
2001: A Space Odyssey,1968,8.3,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,603517
Per qualche dollaro in più,1965,8.3,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mara Krupp,232772
Lawrence of Arabia,1962,8.3,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,268085
The Apartment,1960,8.3,Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,164363
North by Northwest,1959,8.3,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,299198
Vertigo,1958,8.3,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,364368
Singin' in the Rain,1952,8.3,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,218957
Ikiru,1952,8.3,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka,68463
Ladri di biciclette,1948,8.3,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,146427
Double Indemnity,1944,8.3,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr,143525
Citizen Kane,1941,8.3,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,403351
M - Eine Stadt sucht einen Mörder,1931,8.3,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,143434
Metropolis,1927,8.3,Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,159992
The Kid,1921,8.3,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314
Chhichhore,2019,8.2,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,33893
Uri: The Surgical Strike,2018,8.2,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,43444
K.G.F: Chapter 1,2018,8.2,Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,36680
Green Book,2018,8.2,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,377884
"Three Billboards Outside Ebbing, Missouri",2017,8.2,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,432610
Talvar,2015,8.2,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,31142
Baahubali 2: The Conclusion,2017,8.2,S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,75348
Klaus,2019,8.2,Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,104761
Drishyam,2015,8.2,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,70367
Queen,2013,8.2,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,60701
Mandariinid,2013,8.2,Zaza Urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,40382
Bhaag Milkha Bhaag,2013,8.2,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,61137
Gangs of Wasseypur,2012,8.2,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,82365
Udaan,2010,8.2,Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,42341
Paan Singh Tomar,2012,8.2,Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,33237
El secreto de sus ojos,2009,8.2,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,193217
Warrior,2011,8.2,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,435950
Shutter Island,2010,8.2,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,1129894
Up,2009,8.2,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,935507
The Wolf of Wall Street,2013,8.2,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,1187498
Chak De! India,2007,8.2,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,74129
There Will Be Blood,2007,8.2,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,517359
Pan's Labyrinth,2006,8.2,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,618623
Toy Story 3,2010,8.2,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,757032
V for Vendetta,2005,8.2,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,1032749
Rang De Basanti,2006,8.2,Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,111937
Black,2005,8.2,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor,33354
Batman Begins,2005,8.2,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,1308302
"Swades: We, the People",2004,8.2,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,83005
Der Untergang,2004,8.2,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler,331308
Hauru no ugoku shiro,2004,8.2,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,333915
A Beautiful Mind,2001,8.2,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,848920
Hera Pheri,2000,8.2,Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu,57057
"Lock, Stock and Two Smoking Barrels",1998,8.2,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,535216
L.A. Confidential,1997,8.2,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger,531967
Eskiya,1996,8.2,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,64118
Heat,1995,8.2,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,577113
Casino,1995,8.2,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,466276
Andaz Apna Apna,1994,8.2,Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,49300
Unforgiven,1992,8.2,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,375935
Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,692366
Dom za vesanje,1988,8.2,Emir Kusturica,Davor Dujmovic,Bora Todorovic,Ljubica Adzovic,Husnija Hasimovic,26402
Tonari no Totoro,1988,8.2,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,291180
Die Hard,1988,8.2,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,793164
Ran,1985,8.2,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,112505
Raging Bull,1980,8.2,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,321860
Stalker,1979,8.2,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,116945
Höstsonaten,1978,8.2,Ingmar Bergman,Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk,26875
The Message,1976,8.2,Moustapha Akkad,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka,43885
Sholay,1975,8.2,Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,51284
Monty Python and the Holy Grail,1975,8.2,Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,500875
The Great Escape,1963,8.2,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,224730
To Kill a Mockingbird,1962,8.2,Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,293811
Yôjinbô,1961,8.2,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,111244
Judgment at Nuremberg,1961,8.2,Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,69458
Some Like It Hot,1959,8.2,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,243943
Smultronstället,1957,8.2,Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,96381
Det sjunde inseglet,1957,8.2,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,164939
Du rififi chez les hommes,1955,8.2,Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,28810
Dial M for Murder,1954,8.2,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,158335
Tôkyô monogatari,1953,8.2,Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,53153
Rashômon,1950,8.2,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,152572
All About Eve,1950,8.2,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,120539
The Treasure of the Sierra Madre,1948,8.2,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,114304
To Be or Not to Be,1942,8.2,Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,29915
The Gold Rush,1925,8.2,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,101053
Sherlock Jr.,1924,8.2,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,41985
Portrait de la jeune fille en feu,2019,8.1,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134
Pink,2016,8.1,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,39216
Koe no katachi,2016,8.1,Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,47708
Contratiempo,2016,8.1,Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie,141516
Ah-ga-ssi,2016,8.1,Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,113649
Mommy,2014,8.1,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700
Haider,2014,8.1,Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,50445
Logan,2017,8.1,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884
Room,2015,8.1,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,371538
Relatos salvajes,2014,8.1,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059
Soul,2020,8.1,Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,159171
Kis Uykusu,2014,8.1,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,46547
PK,2014,8.1,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,163061
OMG: Oh My God!,2012,8.1,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,51739
The Grand Budapest Hotel,2014,8.1,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630
Gone Girl,2014,8.1,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,859695
Ôkami kodomo no Ame to Yuki,2012,8.1,Mamoru Hosoda,Aoi Miyazaki,Takao Osawa,Haru Kuroki,Yukito Nishii,38803
Hacksaw Ridge,2016,8.1,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,435928
Inside Out,2015,8.1,Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,616228
Barfi!,2012,8.1,Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,75721
12 Years a Slave,2013,8.1,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,640533
