Name,Website,Headquarters_country,Headquarters_address,CEO_name,Board,Supervisor,Supervisor_Website,Shareholder_source,Source,Latitude,Longitude
Banco Mercantil del Norte (Banorte),http://www.banorte.com,Mexico,"Avenue Revolucion 3000,NL 64830 Monterrey",Jose Marcos Ramirez Miguel,https://www.banorte.com/wps/portal/gfb/Home/investor-relations/corporate-practices/executive-board/!ut/p/a1/jZFBDoIwEEUPZKQjINZlQQTUiIlBsBtTtFYSbLWi5xeMWyuzm-S95P8ZRFGBqGSvSrCmUpLV3U69Q2SPcOwEsIxmHgYSppNNmAYj2DktsDcAidfPDyISu5MVQOpGNhC8Xrjb8dTu7cOPIfDPzxE1Il0CIwDuFzB1-ACGkAtERa3K9uC5335gkGlfdNWILB0sENX8zDXX1kU9GlSUz8f9yU_MKplUuuHWUV3R7ZplBVTJkM7FG2pkwWU!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,Comision Nacional Bancaria y de Valores,http://www.gob.mx/cnbv,https://www.marketscreener.com/GRUPO-FINANCIERO-BANORTE-6493070/company/,https://www.banktrack.org/bank/banco_mercantil_del_norte,25.6515291,-100.2769125
Banco Sabadell,https://www.grupbancsabadell.com/en/,Spain,"Avenida Óscar Esplá 37,03007 Alicante",César González-Bueno Mayer,http://prensa.bancsabadell.com/en/Press-kit/Management-team,Banco de España,http://www.bde.es/homee.htm,https://www.marketscreener.com/BANCO-DE-SABADELL-S-A-260497/company/,https://www.banktrack.org/bank/banco_sabadell,38.3428672,-0.4947509999999999
Santander,http://www.santander.com,Spain,"Santander Group City. Avda. de Cantabria s/n,28660 Boadilla del Monte, Madrid",Mr. José Antonio Álvarez  Álvarez,https://www.santander.com/en/shareholders-and-investors/corporate-governance/board-of-directors/mr-jose-antonio-alvarez-alvarez,Banco de España,http://www.bde.es/homee.htm,https://www.marketscreener.com/BANCO-SANTANDER-69308/company/,https://www.banktrack.org/bank/santander,40.3929411,-3.8571184
Banco Votorantim,https://www.bancovotorantim.com.br,Brazil,"Av. das Nações Unidas, Torre A - 18° andar - Vila Gertrudes 141,1000 Sao Paolo",Gabriel Ferreira,https://www.bloomberg.com/profile/person/21243225,Banco Central do Brasil,http://www.bcb.gov.br/?english,http://www.votorantim.com.br,https://www.banktrack.org/bank/banco_votorantim,-23.620036,-46.7001447
Banco de Crédito del Perú (BCP),https://www.viabcp.com,Peru,"Calle Centenario 156, La Molina,12 Lima",None,None,"Superintendencia de Banca, Seguros y AFP Peru",http://www.sbs.gob.pe/,https://www.banktrack.org/bank/credicorp,https://www.banktrack.org/bank/banco_de_credito_del_peru_bcp_,-12.0689487,-76.9364545
Banco de Oro (BDO) Unibank,https://www.bdo.com.ph/personal,Philippines,"7899 Makati Avenue,Makati City, Metro Manila",Nestor V. Tan,https://www.bdo.com.ph/corporate-governance/board-committees-and-memberships/nestor-v-tan,None,None,None,https://www.banktrack.org/bank/banco_de_oro_bdo_unibank,14.560178,121.026696
Banco de la República Oriental del Uruguay,https://www.portal.brou.com.uy/,Uruguay,"Calle Cerrito 351,11000 Montevideo",Salvador Ferrer,https://www.portal.brou.com.uy/institucional/el-banco,Banco Central del Uruguay,http://www.bcu.gub.uy/Paginas/Default.aspx,None,https://www.banktrack.org/bank/banco_de_la_republica_oriental_del_uruguay,-34.9055303,-56.2086001
Banco do Brasil,http://www.bb.com.br,Brazil,"SBS Quadra 01 Bloco G ed. sede III - 24° Andar Setor Bancario Sul,70074-900  Brasilia",Tarciana Paula Gomes Medeiros,https://ri.bb.com.br/en/corporate-governance-and-sustainability/executive-board/,None,None,https://ri.bb.com.br/en/banco-do-brasil/ownership-structure/,https://www.banktrack.org/bank/banco_do_brasil,-15.7981617,-47.88662220000001
BancoEstado,http://www.bancoestado.cl,Chile,"Av. Libertador Bernardo O'Higgins nº1111,Santiago",Juan Cooper Alvarez,https://www.corporativo.bancoestado.cl/investor-relations/newsroom/news/2018/4724,None,None,None,https://www.banktrack.org/bank/bancoestado,-33.4493363,-70.6736684
Bancolombia,https://www.grupobancolombia.com,Colombia,"Calle 50 No. 51-66,Medellin",Juan Carlos Mora Uribe,https://www.grupobancolombia.com/corporativo/gobierno-corporativo/junta-directiva-alta-gerencia/juan-carlos-mora-uribe,Banco de la Republica Colombia,http://www.banrep.gov.co/index_eng.html,https://www.marketscreener.com/quote/stock/BANCOLOMBIA-S-A-15657686/company/,https://www.banktrack.org/bank/bancolombia_s_a_,6.2502341,-75.56898439999999
