name,country,potential_gtco2,fuel_type,id,gem_source,latitude,longitude,source_for_lat_long,operators,parent_company,companies,start_year,multiple_unit,world_region,status_cb,status_gem,status_lvl_1,status_lvl_2
Shitoumei No.1 Coal Mine,China,2.416834556,Coal,M0345,https://www.gem.wiki/Shitoumei_No.1_open_pit_coal_mine,44.271559,93.057426,GEM,Xinjiang Energy Group,Xinjiang Energy Group (100.0%),Xinjiang Energy Group (100.0%),2022,Shitoumei No.1 Coal Mine,Asia,not started,operating,operating,operating
Shtokman,Russia,6.135874132,Oil&Gas,OG0012077,https://www.gem.wiki/Shtokman_Gas_Field_(Russia),71.794,45.723,GEM,Gazprom,TotalEnergies (25.0%);Equinor ASA (24.0%);Gazprom (51.0%),TotalEnergies SE (25.0%);Equinor ASA (24.0%);Gazprom PJSC (51.0%),No start year available,Shtokman,Europe,not started,in development,in development,not started
Shubarkol Coal Mine,Kazakhstan,0.99091608,Coal,M4231,https://www.gem.wiki/Shubarkol_Premium_Coal_Mine,49.017346,68.614549,GEM,Shubarkol Premium JSC,Joint Resources JSC (67.0%); (16.5%);Others (16.5%),Joint Resources JSC (67.0%); (16.5%);Others (16.5%),2016,Shubarkol Premium Coal Mine,Asia,operating,operating,operating,operating
Shurapskaya Coal Mine,Russia,1.03240764,Coal,M0845,https://www.gem.wiki/Shurapskaya_coal_mine,55.5959,86.1429,GEM,SDS UGOL,Siberian Business Union-Coal (SBU) (100.0%),Siberian Business Union-Coal (SBU) (100.0%),No start year available,Shurapskaya Coal Mine,Europe,not started,shelved,shelved,not started
Siarmal Coal Mine,India,1.8605412,Coal,M0632,https://www.gem.wiki/Siarmal_coal_mine,22.043469,83.733619,GEM,Mahanadi Coalfields Limited (MCL),Coal India (100.0%),Coal India Ltd (100.0%),2030,Siarmal Coal Mine,Asia,not started,proposed,proposed,not started
Sihe Coal Mine,China,1.00522563,Coal,M2137,https://www.gem.wiki/Sihe_No.2_Coal_Mine,35.533277,112.651247,GEM,Jinneng Holding Equipment Manufacturing Group,Jinneng Group (70.06%);China Development Bank (10.29%);China Cinda Asset Management Company (13.65%);Others (6.0%),Jinneng Holding Group Co Ltd (70.06%);China Development Bank (10.29%);China Cinda Asset Management (13.65%);Others (6.0%),2018,Sihe No.2 Coal Mine,Asia,operating,operating,operating,operating
Sijiazhuang Coal Mine,China,1.559805723,Coal,M0348,https://www.gem.wiki/Sijiazhuang_Coal_Mine,37.585557,113.621388,GEM,Yangquan Coal Industry Group,Huayang New Material Technology Group (100.0%),Huayang New Material Technology Group Co Ltd (100.0%),2013,Sijiazhuang Coal Mine,Asia,operating,operating,operating,operating
Sirte Shale,Libya,1.703281911,Oil&Gas,OG0012721|OG0012709|OG0012710|OG0012713|OG0012714|OG0012718|OG0012722|OG0012723|OG0012726|OG0012727|OG0012728|OG0012729|OG0017435|OG0012733|OG0012735|OG0012736|OG0012742|OG0012750|OG0012737,https://www.gem.wiki/Bu_Attifel_Oil_Field_(Libya)|https://www.gem.wiki/Amal_Oil_Field_(Libya)|https://www.gem.wiki/As-Sarah_Oil_Field_(Libya)|https://www.gem.wiki/Augila-Nafoora_Oil_Field_(Libya)|https://www.gem.wiki/Bahi_Oil_and_Gas_Field_(Libya)|https://www.gem.wiki/Beda_Oil_Field_(Libya)|https://www.gem.wiki/Dahra_Oil_Field_(Libya)|https://www.gem.wiki/Defa_Oil_Field_(Libya)|https://www.gem.wiki/Farigh_Gas_Field_(Libya)|https://www.gem.wiki/Ghani_Oil_Field_(Libya)|https://www.gem.wiki/Gialo_Oil_Field_(Libya)|https://www.gem.wiki/IR_Oil_Field_(Libya)|https://www.gem.wiki/Instisar_D_Oil_Field_(Libya)|https://www.gem.wiki/Masrab_Oil_and_Gas_Field_(Libya)|https://www.gem.wiki/Messla_Oil_Field_(Libya)|https://www.gem.wiki/Nakhla_Oil_and_Gas_Field_(Libya)|https://www.gem.wiki/Raguba_Oil_Field_(Libya)|https://www.gem.wiki/Waha_Oil_Field_(Libya)|https://www.gem.wiki/Zelten_Oil_Field_(Libya),30.6,17.6,Manual,Mellitah Oil & Gas|Harouge Oil Operations Company|Sarir Oil Operations|Arabian Gulf Oil Company|Waha Oil Company|Arabian Gulf Oil Company|Waha Oil Company|Waha Oil Company|Waha Oil Company|Harouge Oil Operations Company|Waha Oil Company|Akakus Oil Operations|Zueitina Oil Company|Waha Oil Company|Arabian Gulf Oil Company|Sirte Oil Company|Sirte Oil Company|Waha Oil Company|Sirte Oil Company,Eni (15.0%);National Oil Corporation (Libya) (85.0%)|National Oil Corporation (88.0%);Suncor Energy Inc. (12.0%)|Gazprom EP International (25.0%);Wintershall Dea (25.0%);National Oil Corporation (Libya) (50.0%)|National Oil Corporation (Libya) (66.66666666666667%);OMV Aktiengesellschaft (33.333333333333336%)|National Oil Corporation (Libya) (74.4%);Marathon Oil (10.2%);ConocoPhillips (10.2%);Hess Corporation (5.2%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (25.0%);Conoco Phillips Co (25.0%);Marathon Oil (25.0%);Hess Corporation (25.0%)|National Oil Corporation (88.0%);Suncor Energy Inc. (12.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|Repsol SA (32.0%);OMV Aktiengesellschaft (24.0%);TotalEnergies (24.0%);Equinor ASA (20.0%)|None (100.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (100.0%),Eni SpA (15.0%);National Oil Corporation (Libya) (85.0%)|National Oil Corporation (88.0%);Suncor Energy Inc (12.0%)|Gazprom PJSC (25.0%);Wintershall Dea GmbH (25.0%);National Oil Corporation (Libya) (50.0%)|National Oil Corporation (Libya) (66.66666666666667%);OMV AG (33.333333333333336%)|National Oil Corporation (Libya) (74.4%);Marathon Oil Corp (10.2%);ConocoPhillips (10.2%);Hess Corporation (5.2%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (25.0%);ConocoPhillips (25.0%);Marathon Oil Corp (25.0%);Hess Corporation (25.0%)|National Oil Corporation (88.0%);Suncor Energy Inc (12.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|Repsol SA (32.0%);OMV AG (24.0%);TotalEnergies SE (24.0%);Equinor ASA (20.0%)|None (100.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (100.0%)|National Oil Corporation (Libya) (59.2%);Others (40.8%)|National Oil Corporation (Libya) (100.0%),1967,Abu Attifel|Amal|As-Sarah|Augila-Nafoora|Bahi|Beda|Dahra|Defa|Farigh|Ghani|Gialo|I/R|Instisar D|Masrab|Messla|Nakhla|Raguba|Waha|Zelten,Africa,not started,operating,operating,operating
South Pars (Phases 2-3) dry gas,Iran,1.016274224,Oil&Gas,OG0012246,https://www.gem.wiki/South_Pars_(Phase_2-3)_Gas_Field_(Iran),26.929430753858774,52.25426061783381,GEM,TotalEnergies,TotalEnergies (40.0%);Gazprom (30.0%);Petroliam Nasional Berhad (Petronas) (30.0%),TotalEnergies SE (40.0%);Gazprom PJSC (30.0%);Petroliam Nasional Berhad (Petronas) (30.0%),2002,South Pars (Phase 2-3),Asia,operating,operating,operating,operating
South Pars (Phases 20-21),Iran,1.017173226,Oil&Gas,OG0012257,https://www.gem.wiki/South_Pars_(Phase_20-21)_Gas_Field_(Iran),26.866045041272,52.24818412526636,GEM,Pars Oil and Gas Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),2017,South Pars (Phase 20-21),Asia,operating,operating,operating,operating
South Pars (Phases 22-24),Iran,1.04273081,Oil&Gas,OG0014110,https://www.gem.wiki/South_Pars_(all_phases)_Gas_Field_(Iran),26.95972308858068,52.1876558350286,GEM,None,No informations on company (100.0%),No informations on company (100.0%),2002,South Pars (All Phases),Asia,operating,operating,operating,operating
South Pars (Phases 4-5) dry gas,Iran,1.100975522,Oil&Gas,OG0012247,https://www.gem.wiki/South_Pars_(Phase_4-5)_Gas_Field_(Iran),26.841432621784165,52.13635493258618,GEM,Eni S.P.A.,Eni S.P.A. (60.0%);PPL (8.0%);PPI (12.0%);National Iranian Oil Company (20.0%),Eni SpA (60.0%);PPL Corp (8.0%);PPI (12.0%);National Iranian Oil Company (20.0%),2005,South Pars (Phase 4-5),Asia,operating,operating,operating,operating
South Pars (Phases 9-10) dry gas,Iran,1.265006303,Oil&Gas,OG0012249,https://www.gem.wiki/South_Pars_(Phase_9-10)_Gas_Field_(Iran),26.85233935654672,52.09498965741244,GEM,National Iranian Oil Company,No informations on company (100.0%),National Iranian Oil Company (100.0%),2009,South Pars (Phase 9-10),Asia,operating,operating,operating,operating
Southeast Uplift Onshore Heilongjiang Province,China,1.750536451,Oil&Gas,No informations available on GEM,No informations available on GEM,45.0,132.8,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,Asia,not started,None,not started,not started
"Spirit River (Notikewin, Falher, Wilrich)",Canada,2.976203115,Oil&Gas,No informations available on GEM,No informations available on GEM,55.7,-118.8,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,North America,operating,None,operating,operating
Stepnoy Coal Mine,Russia,3.55851144,Coal,M0850,https://www.gem.wiki/Stepnoy_coal_mine,53.705548,91.087818,GEM,Razrez Stepnoy Coal Company JSC,Octo Coal (100.0%),Octo Coal (100.0%),1993,Stepnoy Coal Mine,Europe,operating,operating,operating,operating
Suancigou Coal Mine,China,2.077994952,Coal,M0351,https://www.gem.wiki/Suancigou_coal_mine,39.705785,111.205624,GEM,Inner Mongolia Yitai Jingyue Suancigou Mining Company,Inner Mongolia Yitai Group (52.0%);Shanxi Yuedian Energy (24.0%);Beijing Jingneng Power Company (24.0%),Inner Mongolia Yitai Investment Co Ltd (52.0%);Shanxi Yuedian Energy (24.0%);Beijing Jingneng Power Company (24.0%),2010,Suancigou Coal Mine,Asia,operating,operating,operating,operating
Sudair Shale,Saudi Arabia,1.032893123,Oil&Gas,No informations available on GEM,No informations available on GEM,27.9,46.6,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,Asia,not started,None,not started,not started
Sugodinsk-Ogodzhinsky Coal Mine,Russia,1.81586592,Coal,M0851,https://www.gem.wiki/Sugodinsk-Ogodzhinsky_coal_mine,52.750425,132.581978,GEM,Ogodzhinskaya Coal Company,A-Property (100.0%),A-Property (100.0%),No start year available,Sugodinsk-Ogodzhinsky Coal Mine,Europe,not started,mothballed,mothballed,stopped
