name,website,headquarters_country,headquarters_address,ceo_name,board,supervisor,supervisor_website,shareholder_source,source,latitude,longitude,world_region,url_logo
Deutsche Bank,http://www.db.com,Germany,"Taunusanlage 12,60325 Frankfurt am Main",Christian Sewing,https://www.db.com/who-we-are/boards-and-committees/management-board,None,None,https://www.db.com/ir/en/shareholder-structure.htm,https://www.banktrack.org/bank/deutsche_bank,50.113816,8.6681872,Europe,https://www.banktrack.org/thumbimage.php?image=2000pxdeutsche_banklogo_svg_crop.png&amp
Goldman Sachs,http://www.goldmansachs.com/,United States,"200 West Street,10282 New York",David M. Solomon,https://www.goldmansachs.com/our-firm/leadership/board-of-directors/david-m-solomon.html,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=GS&subView=institutional,https://www.banktrack.org/bank/goldman_sachs,40.7148544,-74.0144968,North America,https://www.banktrack.org/thumbimage.php?image=2000pxgoldman_sachs_svg_crop.png&amp
HSBC,http://www.hsbc.com,United Kingdom,"8 Canada Square,E14 5 HQ London",Noel Quinn,https://www.hsbc.com/who-we-are/leadership/noel-quinn,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/HSBC-HOLDINGS-4001224/company/,https://www.banktrack.org/bank/hsbc,51.5055312,-0.0174223,Europe,https://www.banktrack.org/thumbimage.php?image=logo_hsbc.png&amp
ICBC,http://www.icbc-ltd.com/ICBCLtd/en/,China,"55 Fuxingmennei Avenue, Xicheng District,10032 Beijing",Chen Siqing,http://www.icbc-ltd.com/ICBCLtd/Corporate%20Governance/Board%20of%20Directors/Board%20of%20Directors/,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNCDk_3D9KHxKwCGAV4EJTAE-P4AV4HFkQW5oaGiEQaZnuqIiAF07oL0!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.banktrack.org/bank/industrial_commercial_bank_of_china,39.9073,116.36566,Asia,https://www.banktrack.org/thumbimage.php?image=logoicbc_crop.png&amp
ING,https://www.ing.com/Home.htm,Netherlands,"Bijlmerdreef 106,1102 CT Amsterdam",Steven van Rijswijk,https://www.ing.com/about-us/corporate-governance/management-board-banking/steven-van-rijswijk.htm,De Nederlandsche Bank,http://www.dnb.nl,https://www.marketscreener.com/quote/stock/ING-GROEP-N-V-56358303/company/,https://www.banktrack.org/bank/ing,52.3152336,4.9498692,Europe,https://www.banktrack.org/thumbimage.php?image=ING_RGB_colour.jpg&amp
Industrial Bank,https://www.cib.com.cn/en/,China,"154 Hudong Road,350003 Fuzhou, Fujian",Tao Yiping,https://www.cib.com.cn/en/aboutCIB/investor/profile/director.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.cib.com.cn/en/aboutCIB/investor/stock/,https://www.banktrack.org/bank/industrial_bank,26.09247,119.29794,Asia,https://www.banktrack.org/thumbimage.php?image=cib_logo.jpg&amp
Intesa Sanpaolo,https://www.group.intesasanpaolo.com,Italy,"Piazza San Carlo, 156,10121 Torino",Carlo Messina,https://group.intesasanpaolo.com/en/about-us/top-management-biographies,Banca d'Italia,http://www.bancaditalia.it/,https://www.group.intesasanpaolo.com/scriptIsir0/si09/chi_siamo/eng_azionariato.jsp#/chi_siamo/eng_azionariato.jsp,https://www.banktrack.org/bank/intesa_sanpaolo,45.0683488,7.6823479,Europe,https://www.banktrack.org/thumbimage.php?image=1376801560815565515_1376801560815565515_2_crop.png&amp
JPMorgan Chase,http://www.jpmorganchase.com,United States,"270 Park Avenue,10017-2070 New York",Jamie Dimon,https://www.jpmorganchase.com/corporate/About-JPMC/ab-board-bio-jamesdimon.htm,Federal Reserve,http://www.federalreserve.gov/,https://www.marketscreener.com/JPMORGAN-CHASE-4831/company/,https://www.banktrack.org/bank/jpmorgan_chase,40.7558818,-73.9755845,North America,https://www.banktrack.org/thumbimage.php?image=JPmorgan_0.jpg&amp
KB Financial,http://www.kbfg.com,South Korea,"26, Gukjegeumyung-ro 8-gil, Yeongdeungpo-gu,Seoul",Jong Kyoo Yoon,https://www.kbfg.com/Eng/about/management.htm,Financial Supervisory Service (South Korea),http://english.fss.or.kr/fss/eng/main.jsp,https://www.marketscreener.com/quote/stock/KB-FINANCIAL-GROUP-INC-6500331/company/,https://www.banktrack.org/bank/kb_financial_group,37.5208742,126.9278871,Asia,https://www.banktrack.org/thumbimage.php?image=210209_piclogokbfinancial_crop.png&amp
Lloyds,http://www.lloydsbankinggroup.com,United Kingdom,"25 Gresham Street,EC2V 7HN London",Charlie Nunn,https://www.lloydsbankinggroup.com/who-we-are/group-overview/directors-and-governance/charlie-nunn.html,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/LLOYDS-BANKING-GROUP-4000786/company/,https://www.banktrack.org/bank/lloyds_banking_group_plc,51.5163653,-0.0954984,Europe,https://www.banktrack.org/thumbimage.php?image=lloydsLBG_hl_fc_p_c.jpg&amp
