Name,Country,Potential emissions (Gt CO2),Fuel,Latitude,Longitude,Partial_match
Central Arabian Offshore,Saudi-Arabia,6.860051660800001,Oil&Gas,,,False
Ghawar Shedgum,Saudi-Arabia,5.6950029434408265,Oil&Gas,,,False
Qatif project,Saudi-Arabia,5.066814884197363,Oil&Gas,,,False
Manifa (redevelop),Saudi-Arabia,5.000284718448019,Oil&Gas,,,False
Ghawar Hawiyah,Saudi-Arabia,4.649714459398611,Oil&Gas,,,False
Central Arabian Onshore,Saudi-Arabia,4.35997371264,Oil&Gas,,,False
Shaybah,Saudi-Arabia,4.2685896715125295,Oil&Gas,,,False
Berri,Saudi-Arabia,3.557107776918784,Oil&Gas,,,False
Zuluf (CR in field),Saudi-Arabia,3.5350522292800006,Oil&Gas,,,False
Zuluf,Saudi-Arabia,2.449978205742121,Oil&Gas,,,False
Khursaniyah,Saudi-Arabia,2.4132555576827786,Oil&Gas,,,False
Ghawar Ain Dar N,Saudi-Arabia,2.088574938528698,Oil&Gas,,,False
Marjan,Saudi-Arabia,1.8899260747557556,Oil&Gas,,,False
Safaniya YTF Concession,Saudi-Arabia,1.8428718673923543,Oil&Gas,,,False
Zuluf (expansion),Saudi-Arabia,1.8332133470399974,Oil&Gas,,,False
Abqaiq,Saudi-Arabia,1.5928277695368342,Oil&Gas,,,False
Ghawar Ain Dar S,Saudi-Arabia,1.4346445302213289,Oil&Gas,,,False
Sudair Shale,Saudi-Arabia,1.0328931229372316,Oil&Gas,,,False
Harmaliyah,Saudi-Arabia,1.0280955230608393,Oil&Gas,,,False
Kolubara Mine Complex,Serbia,2.5239900000000004,Coal,,,False
Grootegeluk Coal Mine,South Africa,6.872046719999999,Coal,,,False
Greater Soutpansberg Coal Project,South Africa,2.8037737199999997,Coal,,,False
Boikarabelo Coal Mine,South Africa,2.4284765999999998,Coal,,,False
Collingham Shale,South Africa,1.8498882064136324,Oil&Gas,,,False
Paardekop Coal Mine,South Africa,1.6962726,Coal,,,False
New Largo Coal Mine,South Africa,1.4277977999999998,Coal,,,False
Bernice-Cygnus Coal Mine,South Africa,1.07242344,Coal,,,False
Tanf Shale,Syria,1.3636553261184028,Oil&Gas,,,False
Tanzanian Coastal Offshore,Tanzania,1.0311981669599999,Oil&Gas,,,False
Afşin-Elbistan Coal Mine,Turkey,4.086460000000001,Coal,,,False
Yolotan (Iolotan) South,Turkmenistan,9.548227901020114,Oil&Gas,,,False
Yashlar Vostochnyy (East),Turkmenistan,2.1291453311858777,Oil&Gas,,,False
Dovletabad-Donmez,Turkmenistan,1.5780942876174249,Oil&Gas,,,False
Menilite Shale,Ukraine,1.6666733906470088,Oil&Gas,,,False
Upper Zakum,United Arab Emirates,6.440382519584,Oil&Gas,,,False
Bu Hasa,United Arab Emirates,4.9157785248,Oil&Gas,,,False
Bab,United Arab Emirates,4.19703305528,Oil&Gas,,,False
Lower Zakum,United Arab Emirates,2.43441954184,Oil&Gas,,,False
Umm Shaif/Nasr,United Arab Emirates,1.9392527325600002,Oil&Gas,,,False
Bab (Gasco),United Arab Emirates,1.674389775421935,Oil&Gas,,,False
Asab,United Arab Emirates,1.3732313337600002,Oil&Gas,,,False
Bowland Shale,United Kingdom,1.4760825938272615,Oil&Gas,,,False
Permian Delaware Tight,United States,27.804431085129913,Oil&Gas,,,False
Marcellus Shale,United States,26.71441286378078,Oil&Gas,,,False
Permian Midland Tight,United States,16.628818211959153,Oil&Gas,,,False
Haynesville/Bossier Shale,United States,13.204131177322234,Oil&Gas,,,False
Utica Shale,United States,7.713186850505922,Oil&Gas,,,False
Bakken Shale,United States,5.948592837899685,Oil&Gas,,,False
Eagle Ford Shale,United States,5.924247946649453,Oil&Gas,,,False
DJ Basin Tight Oil,United States,5.852116216215233,Oil&Gas,,,False
