New_project;Carbon_Bomb_Name;Country;Potential_GtCO2;Fuel_type;GEM_ID;GEM_source;Latitude;Longitude;Operators;Owners;Parent_Company;Multiple_unit_concerned
False;Gaojiabao Coal Mine;China;1.1471196;Coal;M0219;https://www.gem.wiki/Gaojiabao_Coal_Mine;35.268672;107.818112;Shaanxi Zhengtong Coal Industry;Shandong Energy Group;Shandong Energy;
False;Shajihai No.2 Coal Mine;China;1.1471196;Coal;M0322;https://www.gem.wiki/Shahaiji_No.1_coal_mine;46.553039;86.205922;State Grid Energy Hefeng Coal and Electricity Company;National Energy Investment Group;China Energy;
False;Yangjiacun Coal Mine;China;1.07878056;Coal;M0404;https://www.gem.wiki/Yangjiacun_Coal_Mine;39.8069;110.153087;Inner Mongolia Shuangxin Mining Company;Shandong Energy Group;Shandong Energy;
False;Kouzi East Coal Mine;China;1.01906904;Coal;M0271;https://www.gem.wiki/Kouzi_East_Coal_Mine;32.833342;116.162687;China Coal Xinji Energy;China Coal (30%), Guohua Energy Company (7%), Anhui Xinji Coal and Electricity Group (7%) China COSCO Shipping (56%);China Coal (30%), China Energy (7%), Anhui Xinji Coal and Electricity Group (7%) China COSCO Shipping (56%);
False;Wangjialing Coal Mine;China;2.72374212;Coal;M0366;https://www.gem.wiki/Wangjialing_Coal_Mine;35.702102;110.686347;Shanxi Zhongmei Huajin Energy;China Coal (29%), HKSCC Nominees Limited (15%), Shanxi Coking Coal Group (25%), Others (31%);China Coal (29%), HKSCC Nominees Limited (15%), Shanxi Coking Coal Group (25%), Others (31%);
False;Yili No.4 Coal Mine;China;2.58235296;Coal;M0408;https://www.gem.wiki/Yili_No.4_coal_mine;44.074228;81.141898;Yili New Mining and Coal Industry Company;Shandong Energy Group (55%), Zhejiang Energy Group (45%);Shandong Energy (55%), Zhejiang Energy Group (45%);
False;Hongqingliang Coal Mine;China;1.97763419;Coal;M0244;https://www.gem.wiki/Hongqingliang_mine;39.875788;109.367767;Hangjinqi West Energy Development Company;Shanxi Zhongbo Real Estate Development Company (40%), Beijing Energy Group (37%), Shougang Group (1%), China Coal (1%);Shanxi Zhongbo Real Estate Development Company (40%), Beijing Energy Group (37%), Shougang Group (1%), China Coal (1%);
False;Weijiamao Open Pit Mine;China;1.68650988;Coal;M0370;https://www.gem.wiki/Weijiamao_Surface_Mine;39.534982;111.29515;North Weijiamao Coal Power Company;China Huaneng (42%), Guangdong Hengjian Investment Holding Company, (8%) National Energy Investment Group (3%), China Securities Finance Corporation (3%), Others (44%);China Huaneng (42%), Guangdong Hengjian Investment Holding Company, (8%) China Energy (3%), China Securities Finance Corporation (3%), Others (44%);
False;Dingji Coal Mine;China;1.667325;Coal;M0208;https://www.gem.wiki/Dingji_Coal_Mine;32.871396;116.631428;Huaihu Coal and Electricity Company;Huaihe Energy Holding Group (50%), China Cinda Asset Management Company (49%), Others (1%);Huaihe Energy (50%), China Cinda Asset Management (49%), Others (1%);
False;Wudong Coal Mine;China;1.61328948;Coal;M0377;https://www.gem.wiki/Wudong_Coal_Mine;43.929294;87.745344;China Energy Xinjiang Energy Company;National Energy Investment Group;China Energy;
False;Lijiahao Coal Mine;China;1.47905208;Coal;M0276;https://www.gem.wiki/Lijiahao_Coal_Mine;39.738114;110.024669;China Energy Baotou Energy Company;National Energy Investment Group;China Energy (69%), HKSCC Nominees Limited (17%), Others (14%);
False;Shicaocun Coal Mine;China;1.456378163;Coal;M0342;https://www.gem.wiki/Shicaocun_mine;37.943405;106.696881;China Energy Ningxia Coal Industry Company;National Energy Investment Group (51%), Ningxia State-Owned Assets Company (49%);China Energy (51%), Ningxia State-Owned Assets Company (49%);
