Bank,Company,2016,2017,2018,2019,2020,2021,2022,Grand Total
Bank of Montreal,Crescent Point Energy Corp,503278803,0,0,0,0,0,0,503278803.0
Bank of Montreal,Diamondback Energy Inc,105512500,279761904,0,0,0,0,0,385274404.0
Bank of Montreal,EN+ Group International PJSC,0,27272727,0,0,0,0,0,27272727.0
Bank of Montreal,Chesapeake Energy Corp,314392000,620833333,858333333,0,233775244,281505952,0,2308839862.0
Bank of Montreal,EOG Resources Inc,0,0,0,285714286,214285714,0,0,500000000.0
Barclays,Northeast Natural Energy LLC,0,0,0,0,0,0,70714286,70714286.0
Barclays,TotalEnergies SE,400134000,279909029,170296303,1744776592,391165139,0,280385325,3266666388.0
Barclays,NTPC Ltd,103521687,136492590,93000000,0,0,0,0,333014277.0
Barclays,Mubadala Investment Co PJSC,0,94850000,0,0,0,0,0,94850000.0
Barclays,Kinder Morgan Inc,153846154,178571429,694805195,0,125000000,375000000,291666667,1818889445.0
Barclays,Legacy Reserves Inc,0,0,0,187500000,0,0,0,187500000.0
Barclays,OMV AG,0,0,177293294,292618065,1326400428,0,0,1796311787.0
Barclays,Gulfport Energy Corp,290578566,75000000,0,0,0,0,0,365578566.0
Barclays,Mitsui & Co Ltd,0,0,0,0,286666667,0,0,286666667.0
Barclays,Occidental Petroleum Corp,589778642,0,620000000,2157403619,667500000,0,0,4034682261.0
Barclays,SilverBow Resources Inc,0,0,0,0,0,0,96875000,96875000.0
Barclays,Petróleos Mexicanos (PEMEX),640000000,239565803,0,0,561869769,0,0,1441435572.0
Barclays,Pioneer Natural Resources Co,0,0,0,0,122222222,277777777,0,399999999.0
Barclays,RWE AG,0,0,0,165629642,604040344,0,0,769669986.0
Barclays,Range Resources Corp,0,0,0,0,42857143,75000000,55555556,173412699.0
Barclays,Repsol SA,0,0,0,0,257420450,113365881,0,370786331.0
Barclays,SM Energy Co,244980209,0,83333333,0,0,0,0,328313542.0
Barclays,Shell PLC,3943459182,0,750000000,388000000,1354590001,300000000,0,6736049183.0
Barclays,Teck Resources Ltd,53822917,0,0,0,0,0,0,53822917.0
Barclays,Glencore PLC,39741920,86804280,87953772,152216093,204804317,0,46412903,617933285.0
Barclays,PPL Corp,345893427,51101505,555592500,376268172,95815322,419121806,0,1843792733.0
Barclays,Exxon Mobil Corp,3233333000,0,833333333,2650000000,5169453332,1111111111,0,12997230776.0
Barclays,Comstock Resources Inc,0,0,0,0,0,64333333,0,64333333.0
Barclays,Equinor ASA,333003000,0,0,0,1818187917,298899359,0,2450090276.0
Barclays,Evraz PLC,198969,0,0,0,0,0,0,198969.0
Barclays,APA Corp,0,0,0,83333333,104166667,0,0,187500000.0
Barclays,Adani Group,160422808,138919270,77402850,101782844,110982675,51254906,0,640765354.0
Barclays,Aker BP ASA,0,36363636,50000000,446969697,150000000,250980393,0,934313726.0
Barclays,Ascent Resources LLC,0,500000000,362500000,333333333,33333333,40000000,0,1269166666.0
Barclays,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
Barclays,BP PLC,713197524,612312281,0,471854866,500625000,236076658,0,2534066328.0
Barclays,CNX Resources Corp,0,0,68396250,0,0,0,0,68396250.0
Barclays,Callon Petroleum Co,164000000,40000000,0,0,0,0,42857143,246857143.0
Barclays,Antero Resources Corp,0,0,0,0,119047619,185714285,0,304761904.0
Barclays,Chesapeake Energy Corp,89392000,83333333,0,0,0,163247226,0,335972559.0
Barclays,Canadian Natural Resources Ltd (CNRL),0,500000000,0,0,0,0,0,500000000.0
Barclays,EQT Corp,811500000,386628879,0,0,209434982,375118076,344444444,2127126381.0
Barclays,EOG Resources Inc,100000000,0,0,0,0,0,0,100000000.0
Barclays,Diamondback Energy Inc,42933330,0,0,109250000,0,0,264285714,416469044.0
Barclays,Eni SpA,284547500,113156786,0,134538075,973303524,281114172,142857142,1929517199.0
Barclays,Devon Energy Corp,139466250,86232625,750000000,85714286,112500000,0,0,1173913161.0
Barclays,ConocoPhillips,655112497,599999997,228571429,0,0,0,81818182,1565502105.0
Barclays,China Petrochemical Corporation (Sinopec Group),0,0,0,142857143,0,0,0,142857143.0
Barclays,Chevron Corp,738025553,666666001,0,0,2171428570,0,0,3576120124.0
CIBC,Vermilion Energy Inc,0,37500000,0,0,0,0,50000000,87500000.0
CIBC,Suncor Energy Inc,1753344196,1026431200,0,1465793125,298535833,1362235833,0,5906340187.0
CIBC,SilverBow Resources Inc,0,0,0,0,0,0,96875000,96875000.0
CIBC,Rockcliff Energy II LLC,0,0,0,0,0,52500000,0,52500000.0
CIBC,Pioneer Natural Resources Co,0,0,0,0,54166667,0,0,54166667.0
CIBC,PPL Corp,0,0,0,81000000,162000000,0,0,243000000.0
CIBC,Ovintiv Inc,0,0,833333333,0,800000000,0,700000000,2333333333.0
CIBC,National Fuel Gas Co,0,0,60000000,0,100000000,0,0,160000000.0
CIBC,Marathon Oil Corp,0,0,0,0,0,0,100000000,100000000.0
CIBC,Kinder Morgan Inc,0,0,0,0,0,83333333,150000000,233333333.0
CIBC,HG Energy II Production Holdings LLC,0,0,0,0,0,40997887,0,40997887.0
CIBC,Glencore PLC,39741920,0,0,0,0,0,0,39741920.0
CIBC,Teck Resources Ltd,157162917,919726000,1095404000,1033400000,0,1033400000,0,4239092917.0
CIBC,Equinor ASA,0,0,0,0,0,298899359,0,298899359.0
CIBC,Aethon Energy Management LLC,0,0,0,0,0,83333333,125000000,208333333.0
CIBC,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
CIBC,BP PLC,0,0,111534180,0,0,0,0,111534180.0
CIBC,CNX Resources Corp,0,0,0,0,33333333,244444444,45454545,323232322.0
CIBC,Callon Petroleum Co,0,0,0,0,0,0,42857143,42857143.0
CIBC,Escondido Resources II LLC,0,0,0,0,0,0,150000000,150000000.0
CIBC,Comstock Resources Inc,0,0,0,0,0,64333333,0,64333333.0
CIBC,EOG Resources Inc,100000000,0,0,285714286,214285714,0,0,600000000.0
CIBC,Endeavor Energy Resources LP,0,0,0,0,0,0,150000000,150000000.0
CIBC,Enerplus Corp,800000000,800000000,800000000,600000000,0,900000000,900000000,4800000000.0
CIBC,Canadian Natural Resources Ltd (CNRL),0,804210792,0,2044425400,0,976370845,0,3825007037.0
CaixaBank,Repsol SA,0,54479000,0,92681667,133820188,88661016,0,369641871.0
CaixaBank,Inpex Corp,0,0,0,0,0,0,43000000,43000000.0
CaixaBank,Antero Resources Corp,0,0,0,0,0,18248100,0,18248100.0
China CITIC Bank,TBEA Co Ltd,0,0,0,0,0,7436838,7399693,14836530.0
China CITIC Bank,Zhejiang Provincial Energy Group Co Ltd,67997430,0,0,0,51399000,56380680,0,175777110.0
China CITIC Bank,State Grid Corp of China,0,0,218710500,0,0,1337971125,0,1556681625.0
China CITIC Bank,Shanxi Coking Coal Group Co Ltd,0,0,0,0,0,0,36238149,36238149.0
China CITIC Bank,Shanghai Electric Holding Group Co Ltd,0,0,0,0,0,0,30539400,30539400.0
China CITIC Bank,Shandong Energy Co Ltd,0,0,0,127288665,97813734,173991382,390822076,789915857.0
China CITIC Bank,Shaanxi Yulin Energy Group Co Ltd,0,0,0,0,0,41620831,71052123,112672955.0
China CITIC Bank,Shaanxi Yanchang Petroleum Group Co Ltd,589588831,0,0,0,0,0,274257963,863846794.0
China CITIC Bank,Shaanxi Investment Group Co Ltd,0,67238100,113462400,86782650,66919200,23197950,122727150,480327450.0
China CITIC Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,0,0,0,0,68685689,53659550,416238391,538583630.0
China CITIC Bank,Lu'an Chemical Group Co Ltd,49206608,72696870,98330025,0,23092758,116481526,190868928,550676716.0
China CITIC Bank,State Power Investment Corp (SPIC),154504463,521530560,234375583,1120584968,542629797,506563970,588637529,3668826867.0
China CITIC Bank,Kailuan Group Ltd Liability Corp,0,0,0,69759330,0,11733900,55993950,137487180.0
China CITIC Bank,Jinneng Holding Group Co Ltd,61395061,375919685,752635719,969666143,863133959,1627442176,1233466279,5883659022.0
China CITIC Bank,Jizhong Energy Group Co Ltd,0,135186550,84795708,389413481,163349488,0,247432905,1020178131.0
China CITIC Bank,Beijing Energy Holding Co Ltd,90158025,0,0,356628,109981230,138145066,652201261,990842211.0
China CITIC Bank,China Datang Corp,438027595,0,0,0,0,0,519759822,957787418.0
China CITIC Bank,China Huadian Corp Ltd,1080197123,1394140495,1724274235,2518344369,530172282,875121430,516216454,8638466389.0
China CITIC Bank,China Huaneng Group Co Ltd,441284250,92480440,361625465,647187094,0,422381342,805402594,2770361184.0
China CITIC Bank,China Energy Investment Corp Ltd,1001531860,437936313,173622162,11322320,39699463,21490700,56484086,1742086903.0
China CITIC Bank,China National Petroleum Corporation (CNPC),0,0,0,744697500,1416098778,0,0,2160796278.0
China CITIC Bank,Guangdong Hengjian Investment Holding Co Ltd,0,0,64392571,0,0,8572777,102393113,175358461.0
China CITIC Bank,Hebei Construction & Investment Group Co Ltd,0,46298288,69659242,88266750,21737384,0,0,225961665.0
China CITIC Bank,Huayang New Material Technology Group Co Ltd,0,0,0,55787625,0,0,0,55787625.0
China CITIC Bank,China National Offshore Oil Corp (CNOOC),0,0,0,0,0,0,1689797304,1689797304.0
China Construction Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,263560410,463666717,306987800,127967104,199117358,163269400,110388250,1634957040.0
China Construction Bank,Jizhong Energy Group Co Ltd,388330920,444069066,254616813,988944489,399130266,0,0,2475091554.0
China Construction Bank,Kailuan Group Ltd Liability Corp,157886850,0,0,21229950,0,0,0,179116800.0
China Construction Bank,Lu'an Chemical Group Co Ltd,49238654,140775188,0,24074378,23092758,0,0,237180978.0
China Construction Bank,Saudi Arabian Oil Company (Saudi Aramco),172222222,0,0,0,0,0,0,172222222.0
China Construction Bank,Shaanxi Investment Group Co Ltd,0,0,0,0,0,69246495,0,69246495.0
China Construction Bank,State Power Investment Corp (SPIC),912825524,527824066,997363281,386673770,735829518,370084987,431921199,4362522345.0
China Construction Bank,Shandong Energy Co Ltd,0,247854818,151148397,148679360,77002629,57508852,45145465,727339522.0
China Construction Bank,Shanghai Electric Holding Group Co Ltd,0,0,36308750,0,0,0,0,36308750.0
China Construction Bank,Shenergy Group Co Ltd,95565174,0,0,135263700,69763500,0,0,300592374.0
China Construction Bank,State Grid Corp of China,778160893,141032512,117228004,284592000,2051166543,1390706706,209350500,4972237158.0
China Construction Bank,Zhejiang Provincial Energy Group Co Ltd,175312890,115291400,178825050,314467560,314905500,198764775,0,1297567175.0
China Construction Bank,Jinneng Holding Group Co Ltd,132256231,826991910,1160186575,1007837663,1199901369,550939245,249302127,5127415120.0
China Construction Bank,Shaanxi Yanchang Petroleum Group Co Ltd,436384386,145795806,600062394,242511561,138263851,0,0,1563017998.0
China Construction Bank,Inpex Corp,0,230769230,0,0,0,0,0,230769230.0
China Construction Bank,Shaanxi Yulin Energy Group Co Ltd,0,0,0,0,0,41620831,71052123,112672955.0
China Construction Bank,Hebei Construction & Investment Group Co Ltd,0,0,0,0,43223667,77711500,36867000,157802167.0
China Construction Bank,Anhui Province Wanbei Coal-Electricity Group Co Ltd,0,3842225,12995480,0,0,0,0,16837705.0
China Construction Bank,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
China Construction Bank,China Datang Corp,385272557,0,0,24593420,115536939,372326415,232564540,1130293871.0
China Construction Bank,China Energy Investment Corp Ltd,2376573366,780436326,44769656,123268982,354332947,270262541,50696858,4000340675.0
China Construction Bank,China Huadian Corp Ltd,1099982622,147224498,467311279,710018259,1136972359,754408179,696704604,5012621799.0
China Construction Bank,Huayang New Material Technology Group Co Ltd,377011500,444343750,284326650,159504900,236077050,154582000,221808000,1877653850.0
China Construction Bank,Beijing Energy Holding Co Ltd,0,0,0,0,108916500,77331000,0,186247500.0
China Construction Bank,China National Petroleum Corporation (CNPC),750235000,86893800,0,2161480000,1006222833,0,1227587500,5232419133.0
China Construction Bank,China Petrochemical Corporation (Sinopec Group),200000001,226666660,133333400,142857143,953369230,1583313000,0,3239539434.0
China Construction Bank,China ZhenHua Oil Co Ltd,66888450,0,0,0,0,0,0,66888450.0
China Construction Bank,Elion Resources Group Ltd,0,37648250,37634250,36265500,0,0,0,111548000.0
China Construction Bank,Guangdong Hanjian Holding Co Ltd,0,0,30953686,0,0,0,0,30953686.0
China Construction Bank,Guangdong Hengjian Investment Holding Co Ltd,20876500,170101438,276020982,102733920,0,10469434,135947221,716149495.0
China Construction Bank,China Huaneng Group Co Ltd,441892390,183046940,464580737,250795690,67777778,246206081,643134389,2297434005.0
China Everbright Bank,Lu'an Chemical Group Co Ltd,192453245,240690372,98449471,72126834,46231805,0,76831814,726783541.0
China Everbright Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,0,0,0,0,46568672,0,0,46568672.0
China Everbright Bank,Shaanxi Investment Group Co Ltd,0,0,0,0,0,34848225,0,34848225.0
China Everbright Bank,Shandong Energy Co Ltd,0,43541271,98891509,63201013,52328345,4395581,0,262357719.0
China Everbright Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,0,0,0,0,16961746,0,0,16961746.0
China Everbright Bank,State Power Investment Corp (SPIC),312507752,424096850,800997129,966210110,1325129156,976568233,720066087,5525575315.0
China Everbright Bank,Zhejiang Provincial Energy Group Co Ltd,0,0,0,0,0,45454545,0,45454545.0
China Everbright Bank,Jizhong Energy Group Co Ltd,0,443858038,345255220,263053740,127174770,0,116959528,1296301296.0
China Everbright Bank,State Grid Corp of China,751692500,0,0,223443000,1303199500,1163467250,769662250,4211464500.0
China Everbright Bank,Jinneng Holding Group Co Ltd,0,131292844,569227298,560359875,2198952804,2827899512,1703385196,7991117528.0
China Everbright Bank,Huayang New Material Technology Group Co Ltd,299238500,555829250,654681000,458088500,556253625,155656500,360840125,3040587500.0
China Everbright Bank,Hebei Construction & Investment Group Co Ltd,0,0,0,0,0,39070250,0,39070250.0
China Everbright Bank,China Petrochemical Corporation (Sinopec Group),0,0,0,0,1364660000,846543500,144804700,2356008200.0
China Everbright Bank,China National Petroleum Corporation (CNPC),0,0,0,0,1419870000,0,0,1419870000.0
China Everbright Bank,China Huaneng Group Co Ltd,273030780,92480440,0,0,43614085,0,84837680,493962985.0
China Everbright Bank,China Huadian Corp Ltd,1024436424,894023986,180787734,822047057,442242468,346667520,69660051,3779865241.0
China Everbright Bank,China Energy Investment Corp Ltd,0,0,0,11587840,41652337,10750740,352951748,416942665.0
China Everbright Bank,China Datang Corp,385002358,160854159,332368718,0,0,321867750,238801008,1438893994.0
China Everbright Bank,Beijing Energy Holding Co Ltd,142537784,43462226,261593288,151787066,276904624,339717847,223892537,1439895374.0
China Everbright Bank,Anhui Province Wanbei Coal-Electricity Group Co Ltd,0,0,0,0,35347250,0,0,35347250.0
China Everbright Bank,Inner Mongolia Yitai Investment Co Ltd,0,0,145841000,145945000,0,0,0,291786000.0
China Merchants Bank,Kailuan Group Ltd Liability Corp,0,0,0,0,0,0,29091280,29091280.0
China Merchants Bank,Lu'an Chemical Group Co Ltd,146394620,144581738,197839613,48155878,92009459,215818622,24183789,868983719.0
China Merchants Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,134257530,0,127675054,209373772,0,108141250,107627450,687075056.0
China Merchants Bank,Shaanxi Investment Group Co Ltd,0,44503050,44721150,55541700,0,23047050,63128250,230941200.0
China Merchants Bank,Shaanxi Yanchang Petroleum Group Co Ltd,436384386,145795806,687484337,324655213,1069369103,905694979,176349646,3745733470.0
China Merchants Bank,Shandong Energy Co Ltd,0,122099473,51956360,0,93606628,293617913,207971839,769252213.0
China Merchants Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,146093030,0,143643474,0,0,51219603,0,340956108.0
China Merchants Bank,State Grid Corp of China,181810000,0,0,0,0,348976250,355497750,886284000.0
China Merchants Bank,State Power Investment Corp (SPIC),781009202,317758129,886022564,702870485,819227800,681984720,1501494096,5690366996.0
China Merchants Bank,TBEA Co Ltd,0,0,0,0,0,37001788,7497733,44499520.0
China Merchants Bank,Zhejiang Provincial Energy Group Co Ltd,0,0,0,52383600,103570920,184622625,0,340577145.0
China Merchants Bank,Shenergy Group Co Ltd,0,0,0,0,0,185087795,389158249,574246044.0
China Merchants Bank,Jizhong Energy Group Co Ltd,0,0,0,126396465,0,0,0,126396465.0
China Merchants Bank,Beijing Energy Holding Co Ltd,462463739,588393190,389619606,303807688,328473316,44902323,264893593,2382553455.0
China Merchants Bank,Inner Mongolia Yitai Investment Co Ltd,0,0,0,0,0,0,43656900,43656900.0
China Merchants Bank,Jinneng Holding Group Co Ltd,1408371310,276190800,860123416,678368875,130223831,204838445,0,3558116678.0
China Merchants Bank,China Energy Investment Corp Ltd,433538458,91844749,313032471,129947912,39995573,629134191,124508345,1762001698.0
China Merchants Bank,China Huadian Corp Ltd,1083411457,547537789,1100482958,997004451,737139649,637247692,421843008,5524667005.0
China Merchants Bank,China Huaneng Group Co Ltd,371007285,92264680,268407017,0,177735381,387602040,613948218,1910964621.0
China Merchants Bank,China National Petroleum Corporation (CNPC),0,0,0,40077500,31327778,0,0,71405278.0
China Merchants Bank,China Datang Corp,0,226466420,906708781,84706170,743473415,829639102,73817433,2864811320.0
China Merchants Bank,China ZhenHua Oil Co Ltd,66888450,0,0,0,0,0,0,66888450.0
China Merchants Bank,Guangdong Hengjian Investment Holding Co Ltd,0,155752613,0,120817290,117162800,0,6249180,399981883.0
China Merchants Bank,Hebei Construction & Investment Group Co Ltd,0,0,0,0,0,0,34652500,34652500.0
China Merchants Bank,Huayang New Material Technology Group Co Ltd,0,72093500,0,0,0,0,0,72093500.0
China Merchants Bank,Hubei Yihua Chemical Industry Co Ltd,10218037,0,0,0,0,0,0,10218037.0
China Merchants Bank,China Petrochemical Corporation (Sinopec Group),0,0,0,133333334,872829230,463959000,148832000,1618953564.0
China Minsheng Bank,Lu'an Chemical Group Co Ltd,0,48707463,0,0,45695596,116913455,37667512,248984026.0
China Minsheng Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,0,105030047,237413065,84058788,0,0,0,426501900.0
China Minsheng Bank,Shaanxi Investment Group Co Ltd,0,0,0,0,0,0,43113300,43113300.0
China Minsheng Bank,Shandong Energy Co Ltd,0,43541271,109864198,80967878,113942407,4395581,0,352711336.0
China Minsheng Bank,State Power Investment Corp (SPIC),50835750,3624010,103800884,25936175,112141823,0,0,296338643.0
China Minsheng Bank,State Grid Corp of China,0,0,0,222724500,1614403750,0,179092500,2016220750.0
China Minsheng Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,0,0,0,9959425,0,0,13464759,23424184.0
China Minsheng Bank,Zhejiang Provincial Energy Group Co Ltd,0,0,0,0,0,45454545,0,45454545.0
China Minsheng Bank,Kailuan Group Ltd Liability Corp,0,0,0,8537760,0,0,0,8537760.0
China Minsheng Bank,Shanxi Coking Coal Group Co Ltd,0,0,0,183856200,190382689,0,0,374238888.0
China Minsheng Bank,Jizhong Energy Group Co Ltd,0,0,0,0,126731550,0,0,126731550.0
China Minsheng Bank,China Huaneng Group Co Ltd,197957760,0,0,0,141795880,43816705,0,383570344.0
China Minsheng Bank,Huayang New Material Technology Group Co Ltd,153330000,223351500,0,55787625,0,115674000,336172000,884315125.0
China Minsheng Bank,Jinneng Holding Group Co Ltd,224813858,0,316046070,134736600,272255978,354535389,76331237,1378719133.0
China Minsheng Bank,China Coal Xinji Energy Co Ltd,0,0,72789500,0,0,0,0,72789500.0
China Minsheng Bank,China Datang Corp,0,0,0,0,31853392,16959800,179011853,227825045.0
China Minsheng Bank,China Huadian Corp Ltd,75082508,0,0,0,81754423,247322858,0,404159789.0
China Minsheng Bank,Beijing Energy Holding Co Ltd,173819993,0,303230077,0,0,0,0,477050070.0
China Minsheng Bank,China National Petroleum Corporation (CNPC),0,0,729480000,8019020000,4945185000,0,0,13693685000.0
China Minsheng Bank,China Petrochemical Corporation (Sinopec Group),0,0,0,0,1399520000,200000000,0,1599520000.0
China Minsheng Bank,Guangdong Hengjian Investment Holding Co Ltd,0,3098346,0,90214568,355108572,0,0,448421486.0
China Minsheng Bank,Hebei Construction & Investment Group Co Ltd,0,0,0,0,0,19603875,0,19603875.0
China Minsheng Bank,China National Offshore Oil Corp (CNOOC),0,0,0,0,66666667,0,0,66666667.0
Citi,Petroliam Nasional Berhad (Petronas),0,0,0,244336950,1080000000,905705500,194540750,2424583200.0
Citi,Oil and Natural Gas Corporation Ltd (ONGC),610416660,100000000,0,60000000,0,0,39723088,810139748.0
Citi,Pertamina Persero PT,214285714,145833334,0,0,590000000,271428571,0,1221547619.0
Citi,Peabody Energy Corp,800000000,0,0,0,0,0,0,800000000.0
Citi,Pan American Energy Group SL,0,0,0,0,0,56316257,0,56316257.0
Citi,Pampa Energia SA,512250527,349987500,0,69997500,0,0,0,932235527.0
Citi,PPL Corp,308768697,147289005,461092500,376268172,193015322,131625000,0,1618058697.0
Citi,POSCO Holdings Inc,145150543,0,0,33940565,63808262,0,0,242899371.0
Citi,Ovintiv Inc,0,0,0,0,800000000,0,700000000,1500000000.0
Citi,Occidental Petroleum Corp,730977461,333333333,1245000000,8254413847,445000000,356000000,0,11364724641.0
Citi,Mubadala Investment Co PJSC,0,0,60704000,316166667,0,220653033,0,597523700.0
Citi,Northeast Natural Energy LLC,0,0,0,0,0,0,70714286,70714286.0
Citi,NTPC Ltd,93000000,403794824,0,0,0,0,0,496794824.0
Citi,Murray Metallurgical Coal Holdings LLC,0,344375000,0,0,0,0,0,344375000.0
Citi,Petróleo Brasileiro SA – Petrobras,0,1473333328,1372809081,1269612698,1072891121,459525710,0,5648171937.0
Citi,Mitsui & Co Ltd,0,0,0,0,0,0,41666667,41666667.0
Citi,Mitsubishi Corp,92534816,20000000,0,162648790,24584974,33310073,0,333078653.0
Citi,Marathon Oil Corp,368910000,690500000,678600000,750000000,0,449857143,312500000,3250367143.0
Citi,Magnolia Oil & Gas Corp,0,162500000,133333333,0,0,102637500,164250000,562720833.0
Citi,Legacy Reserves Inc,0,0,0,187500000,0,0,0,187500000.0
Citi,LUKOIL PJSC,500000000,0,100000000,0,500000000,766666666,0,1866666666.0
Citi,Kuwait Petroleum Corp,0,0,0,142857143,0,0,0,142857143.0
Citi,OMV AG,0,0,389650086,0,332120573,0,0,721770659.0
Citi,Petróleos Mexicanos (PEMEX),1777016800,163333333,800000000,1228687645,0,1464430439,1706265455,7139733671.0
Citi,Range Resources Corp,0,0,0,0,134523810,75000000,55555556,265079366.0
Citi,PrimeEnergy Resources Corp,0,0,0,0,0,0,375000000,375000000.0
Citi,Korea Gas Corporation (KOGAS),249999997,133333334,0,100000000,0,100000000,62500000,645833331.0
Citi,Yangcheng County Yangtai Group Industrial Co Ltd,0,0,0,0,39513104,0,0,39513104.0
Citi,YPF SA,0,0,0,230768115,0,0,0,230768115.0
Citi,Xin Jiang Guang Hui Industry Investment Group Co Ltd,0,0,0,2214208,2196518,2391878,0,6802604.0
Citi,Wintershall Dea GmbH,0,0,0,0,0,291967200,0,291967200.0
Citi,Vermilion Energy Inc,0,0,0,0,0,0,50000000,50000000.0
Citi,TotalEnergies SE,400134000,0,596683578,747687260,330903029,409208870,280385325,2765002063.0
Citi,Tecpetrol International SA,0,175000000,0,0,0,0,0,175000000.0
Citi,Teck Resources Ltd,53822917,0,0,0,0,0,0,53822917.0
Citi,Suncor Energy Inc,0,250000000,0,0,0,125000000,0,375000000.0
Citi,Pioneer Natural Resources Co,403650000,226580833,0,300000000,726388889,371527777,0,2028147499.0
Citi,State Power Investment Corp (SPIC),0,0,0,0,0,0,63719679,63719679.0
Citi,Southwestern Energy Co,257140000,143750000,378170240,285714286,61478175,450253522,231818182,1808324405.0
Citi,Shenergy Group Co Ltd,0,0,0,0,0,0,35271223,35271223.0
Citi,Shell PLC,1583333333,0,0,388000000,500000000,300000000,0,2771333333.0
Citi,Shandong Energy Co Ltd,0,0,21278867,0,0,0,41865855,63144722.0
Citi,Saudi Arabian Oil Company (Saudi Aramco),250000000,214285714,1400000000,3427632384,2083333333,1761904761,1070008988,10207165180.0
Citi,Sabinal Energy Operating LLC,0,0,0,175988302,0,0,0,175988302.0
Citi,Rockcliff Energy II LLC,0,0,0,0,0,52500000,0,52500000.0
Citi,Repsol SA,0,54479000,0,92681667,299934624,88661016,0,535756307.0
Citi,RWE AG,0,0,0,165629642,0,0,0,165629642.0
Citi,QatarEnergy,0,0,0,0,0,1744444445,0,1744444445.0
Citi,State Grid Corp of China,16137143,141032512,78708624,0,86431043,38201956,0,360511278.0
Citi,Kinder Morgan Inc,153846154,0,409090909,0,125000000,291666667,441666667,1421270397.0
Citi,Diamondback Energy Inc,0,330265904,0,696650000,166666667,449285715,92857143,1735725429.0
Citi,Inpex Corp,40000000,0,0,0,0,0,505000000,545000000.0
Citi,China Huaneng Group Co Ltd,0,0,0,0,67777778,81110878,0,148888656.0
Citi,China Huadian Corp Ltd,0,0,0,36983433,0,0,0,36983433.0
Citi,China Datang Corp,0,0,0,0,0,0,89710221,89710221.0
Citi,Chevron Corp,1350525553,1027375334,800000000,100000000,2171428570,0,0,5449329457.0
Citi,Chesapeake Energy Corp,839392000,545833333,333333333,0,233775244,694753178,222222222,2869309310.0
Citi,Canadian Natural Resources Ltd (CNRL),0,500000000,25000000,0,0,0,0,525000000.0
Citi,Callon Petroleum Co,392341667,528420000,988416667,50000000,0,81250000,42857143,2083285477.0
Citi,CNX Resources Corp,0,0,68396250,0,33333333,244444444,45454545,391628572.0
Citi,CLP Holdings Ltd,0,0,0,0,90011840,21002553,0,111014393.0
Citi,Bulgarian Energy Holding EAD,0,0,158657229,0,0,80590201,0,239247430.0
Citi,China National Offshore Oil Corp (CNOOC),0,0,145000000,136363636,66666667,0,0,348030303.0
Citi,BP PLC,624490792,122899886,316667300,946854866,2358864901,629537754,319729142,5319044640.0
Citi,Ascent Resources LLC,0,0,0,0,140933333,40000000,250000000,430933333.0
Citi,Arsenal Resources Development LLC,0,0,121500000,0,0,0,0,121500000.0
Citi,Arch Resources Inc,0,85607143,42571429,0,96750000,0,0,224928572.0
Citi,Antero Resources Corp,300000000,0,205760000,0,119047619,295714285,0,920521904.0
Citi,Alliance Resource Partners LP,0,257020833,0,0,91900000,0,0,348920833.0
Citi,Aker BP ASA,0,36363636,0,83333333,150000000,117647059,0,387344028.0
Citi,Aethon Energy Management LLC,48750000,0,0,0,193750000,83333333,375000000,700833333.0
Citi,Jinneng Holding Group Co Ltd,0,37693744,0,0,0,0,0,37693744.0
Citi,Abu Dhabi National Oil Company (ADNOC),0,124778465,0,0,0,1246945771,0,1371724236.0
Citi,APA Corp,0,0,511111111,83333333,104166667,0,0,698611111.0
Citi,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
Citi,China National Petroleum Corporation (CNPC),0,0,0,0,133333333,0,0,133333333.0
Citi,Adani Group,0,54135338,0,51973684,72280875,51254906,0,229644804.0
Citi,Comstock Resources Inc,0,97857142,0,0,41325000,0,0,139182142.0
Citi,China Petrochemical Corporation (Sinopec Group),1049999001,497499993,133333400,276190477,230769230,200000000,0,2387792101.0
Citi,Indonesia Asahan Aluminium Persero PT,0,0,207593795,0,302741254,0,0,510335049.0
Citi,Indika Energy Tbk PT,0,414968898,0,0,0,0,0,414968898.0
Citi,Indian Oil Corp Ltd,0,0,0,178200000,0,0,0,178200000.0
Citi,ITOCHU Corp,117397399,117397399,117397399,117397399,117397399,117397399,0,704384393.0
Citi,Hunt Consolidated Inc,0,0,0,0,140790642,0,0,140790642.0
Citi,Hess Corporation,0,0,0,0,250000000,0,464285714,714285714.0
Citi,HG Energy II Production Holdings LLC,0,368980980,0,0,0,40997887,0,409978867.0
Citi,Glencore PLC,39741920,86804280,79766102,111677419,254210713,46934346,46412903,665547682.0
