Carbon_Bomb_Name,Parent_Company,percentage
Jinjitan Coal Mine,Shaanxi Yanchang Petroleum Group,19
Jinjitan Coal Mine,Jiaxing Dejian Investment Partnership,5
Jinjitan Coal Mine,Others,14
Pangpangta Coal Mine,Shanxi Coking Coal Group,58
Pangpangta Coal Mine,China Cinda Asset Management Company,36
Pangpangta Coal Mine,China Construction Bank,4
Guojiatan Coal Mine,Shaanxi Yulin Energy Group,
Boli Coal Mine,Shanxi Huayang Group New Energy Company,70
Boli Coal Mine,Shanxi Chuangrei New Energy Investment Company,30
Xiaobaodang No.2 Coal Mine,Shaanxi Coal and Chemical Industry Group,55
Xiaobaodang No.2 Coal Mine,Shaanxi Investment Group,28
Xiaobaodang No.2 Coal Mine,Others,17
Zhaoshipan Coal Mine,Shaanxi Investment Group,54
Zhaoshipan Coal Mine,Yulin City Finance Investment Management Company,20
Zhaoshipan Coal Mine,Shaanxi Yulin Energy Group,20
Zhaoshipan Coal Mine,Others,6
Madaotou Coal Mine,Jinneng Group,
Chagannur No.1 Coal Mine,Jizhong Energy Group,48
Chagannur No.1 Coal Mine,China Huarong Asset Management Company,2
Chagannur No.1 Coal Mine,China Energy Investment Corporation,49
Chagannur No.1 Coal Mine,Others,1
Muduchaideng Coal Mine,China Coal,66
Muduchaideng Coal Mine,Inner Mongolia Boyuan Holdings Group,11
Muduchaideng Coal Mine,Others,23
Qiyuan Coal Mine,Huayang New Material Technology Group,
Nalin River No.2 Coal Mine,China Coal,66
Nalin River No.2 Coal Mine,Inner Mongolia Boyuan Holdings Group,11
Nalin River No.2 Coal Mine,Others,23
Shengli No.1 Open-Pit Coal Mine,China Energy,46
Shengli No.1 Open-Pit Coal Mine,China Huaneng,26
Shengli No.1 Open-Pit Coal Mine,Others,28
Yadian Coal Mine,Bin County Coal Company,
Taohe Coal Mine,Shandong First Geological and Mineral Exploration Institute,
Sanjiao No.1 Coal Mine,Jinneng Group,
Zhong Yu Coal Mine,Shanxi Coking Coal Group (41.30%),30
Zhong Yu Coal Mine,China Cinda Asset Management Company,26
Zhong Yu Coal Mine,Others (32.7%),7
Mengcun Coal Mine,Shaanxi Coal and Chemical Industry Group,45
Mengcun Coal Mine,China Development Bank,6
Mengcun Coal Mine,Others,49
Wenjiazhuang Coal Mine,Yang Quan Coal Industry Group,32
Wenjiazhuang Coal Mine,Jinneng Group,21
Wenjiazhuang Coal Mine,Shanxi Boda Group,9
Wenjiazhuang Coal Mine,Shanxi Provincial Coal Industry Agency Service Center,7
Wenjiazhuang Coal Mine,Beijing Sunshine Ruita Investment Consulting Company,4
Wenjiazhuang Coal Mine,Others,27
Yuwang No.1 Coal Mine,China Huaneng,34
Yuwang No.1 Coal Mine,Shanghua Investment Company,8
Yuwang No.1 Coal Mine,HKSCC Nominees Limited,25
Yuwang No.1 Coal Mine,HeBei Construction & Investment Group,3
Yuwang No.1 Coal Mine,Others,30
Baiyanghe Coal Mine,Shandong Lutai Holding Group,75
Baiyanghe Coal Mine,Ming Kei Energy Investment Company,25
Xinjiang Hongshan Coal Mine,Xuzhou Coal Mining Group,
Talike District No. 2 Coal Mine,Bazhou Dongchen Industry and Trade Company,
Changcheng No.3 Coal Mine,Shandong Energy,43
Changcheng No.3 Coal Mine,State Grid Company,10
Changcheng No.3 Coal Mine,China Huadian Group,16
Changcheng No.3 Coal Mine,Others,30
Wangwa Coal Mine,Ningxia Wangwa Coal Industry Company,
Ba Leng Coal Mine,Jinneng Group,
Longwan Coal Mine,Jinneng Group,44
Longwan Coal Mine,Huayang New Material Technology Group,18
Longwan Coal Mine,Yangcheng County Yangtai Group,21
Longwan Coal Mine,Shanxi Yujin Trading Company,9
Longwan Coal Mine,Shanxi Juhuang Century Investment Company,6
Longwan Coal Mine,Others,2
Shanxi Dongda Coal Mine,Jinneng Group,
Hongshuliang Coal Mine,Kailuan Group,60
Hongshuliang Coal Mine,Inner Mongolia Shengli Resource Group,16
Hongshuliang Coal Mine,Erdos Chunhui Forest Company,12
Hongshuliang Coal Mine,Junggar Juli Cultivation Company,12
West Well of Faer Second Coal Mine,Guizhou Panjiang Coal and Electricity Group,58
West Well of Faer Second Coal Mine,Shandong Energy,12
West Well of Faer Second Coal Mine,Guizhou Coalfield Geology Bureau,10
West Well of Faer Second Coal Mine,Others,20
Pribbenow Coal Mine,Drummond Company,100
El Descanso Coal Mine,Drummond Company,100
Cerrejón Coal Mine,Glencore,
San Juan Coal Mine,Yildirim Holding AS,
Garzweiler Coal Mine,RWE Power,
Hambach Coal Mine,RWE Power,
West Macedonia Lignite Centre (WMLC),Public Power Corporation of Greece S.A,
Kaniha Coal Mine,Coal India,
Rajmahal Coal Mine,Coal India,
Talaipalli Coal Mine,National Thermal Power Corporation,
Moher Amlohri Coal Mine,Reliance Power,
Lakhanpur Coal Mine,Coal India,
Dipka Coal Mine,Coal India,
Gevra Coal Mine,Coal India,
Kusmunda Coal Mine,Coal India,
Siarmal Coal Mine,Coal India,
Kerandari BC,Government of India,
"Integrated Belpahar, Lakhanpur, Lilari Coal Mine",Coal India,
Balaram Coal Mine,Coal India,
Gare Pelma Sector II,Gujarat State Electricity Corporation,
Banhardih,Government of India,
Bankui,Coal India,
Mandakini B,National Thermal Power Corporation,
Saharpur Jamarpani,Uttar Pradesh Rajya Vidyut,
MHU Coal Mine,Private Resources Limited,
Indexim Coalindo Coal Mine,Indexim Coalindo,
PTBA Coal Mines,Indonesia Asahan Aluminium,
BIB Coal Mine,Golden Energy Mines,
Pasir Coal Mine,Indika Energy,
Tutupan Coal Mine,Adaro Energy,
KPC Operation Coal Mine,Bumi Resources,
GAM Coal Mine,LG International,50
GAM Coal Mine,Titan Infra Energy,50
Pakar North Coal Mine,Bayan Resources,
Borly Coal Mines,Kazakhmys Corporation,
Shubarkol Coal Mine,Joint Resources JSC,67
Shubarkol Coal Mine,Trans Coal Investment Group 16.5%),5
Shubarkol Coal Mine,FCI Management (16.5%),5
Bogatyr Coal Mine,Samruk-Energo,50
Bogatyr Coal Mine,United Company RUSAL,50
Bogatyr Coal Mine,Samruk-Energo,50
Bogatyr Coal Mine,United Company RUSAL,50
Bogatyr Coal Mine,Samruk-Energo,50
Bogatyr Coal Mine,United Company RUSAL,50
Bogatyr Coal Mine,Samruk-Energo,50
Bogatyr Coal Mine,United Company RUSAL,50
Tavan Tolgoi Coal Mine,Erdenes MGL,
Zambezi Coal Mine,Steel Authority of India (SAIL) (49.59%),59
Zambezi Coal Mine,Rashtriya Ispat Nigam (RINL) (24.8%),8
Zambezi Coal Mine,NMDC (24.8%),8
Zambezi Coal Mine,NTPC (0.54%),54
Zambezi Coal Mine,Coal India (0.27%),27
Chirodzi Coal Mine,Jindal Group,
Chirodzi Coal Mine,Jindal Group,
Chirodzi Coal Mine,Jindal Group,
Chirodzi Coal Mine,Jindal Group,
Revuboe Coal Mine,Talbot Group,59
Revuboe Coal Mine,Nippon Steel & Sumitomo Metal,33
Revuboe Coal Mine,POSCO,8
Saebyol Coal Mining Complex,Government of North Korea,
Thar Coal Mine,Sindh Engro Coal Mining Company,
Thar Coal Mine,Shanghai Electric Group,
Thar Coal Mine,Sindh Engro Coal Mining Company,
Thar Coal Mine,Shanghai Electric Group,
Erkovetskiy Coal Mine,Russian Coal,
Stepnoy Coal Mine,Octo Coal,
Listvianskaya Coal Mine,Siberian Business Union-Coal (SBU),
Raspadskaya Coal Mine,Evraz,
Pereyaslovskiy Coal Mine,Russian Coal,
Elegest Coal Mine,Tuva Energy Industrial Company,
Arshanovsky Coal Mine,Rutek Alliance,
Taldinsky Coal Mine,Ural Mining Metallurgical Company,
Elga Coal Mine,A-Property,
Beisky-Zapadniy Coal Mine,Private individuals,
Ulug-Khem Project,Severstal-Resource,
Sugodinsk-Ogodzhinsky Coal Mine,A-Property,
Usinsk-1 Coal Mine,Russkaya Energiya,
Pervomaisky Coal Mine,Siberian Business Union-Coal (SBU),
Shurapskaya Coal Mine,Siberian Business Union-Coal (SBU),
Inaglinskaya-2 Mine,Kolmar,
Kolubara Mine Complex,Elektroprivreda Srbije (EPS),
Grootegeluk Coal Mine,Exxaro,
Greater Soutpansberg Coal Project,MC Mining,74
Greater Soutpansberg Coal Project,Rothe Investments,26
Boikarabelo Coal Mine,Resource Generation Australia,
Paardekop Coal Mine,Glencore,
New Largo Coal Mine,Seriti (67.5%),5
New Largo Coal Mine,Industrial Development Corporation (22.5%),5
New Largo Coal Mine,New Largo Employee & Community Trusts,10
Bernice-Cygnus Coal Mine,TerraCom Resources,50
Bernice-Cygnus Coal Mine,Bono Lithihi Investments Group,50
Afşin-Elbistan Coal Mine,Euas Electricity Generation Company (Elektrik Üretim A.Ş,
Afşin-Elbistan Coal Mine,EÜAŞ),
Cumberland Coal Mine,Contura Energy,
Hamilton County Mine No.1,Alliance Resource Partners,
MC #1 Coal Mine,Foresight Energy,
Black Thunder Coal Mine,Arch Resources,
North Antelope Rochelle Coal Mine,Peabody Energy,
Youngs Creek Coal Mine,Navajo Nation,
Angren Coal Mine,Ministry of Finance of Uzbekistan,
Sengwe Colliery,RioZim,
Upper Zakum,nan,
Bu Hasa,nan,
Bab,nan,
Lower Zakum,nan,
Umm Shaif/Nasr,nan,
Bab (Gasco),nan,
Asab,nan,
Asab,nan,
Vaca Muerta Shale,nan,
Goldwyer Shale,nan,
Gorgon LNG T1-T3,nan,
Velkerri Shale,nan,
ACG (Azeri-Chirag-Guneshli Deep Water),nan,
Central Arabian Offshore,nan,
Santos Offshore,nan,
Llandovery Shale,nan,
Buzios (x-Franco),Petrobras,100
Irati Shale,nan,
Lula (X-Tupi),nan,
Parnaiba Onshore,nan,
Libra,nan,
Candeias Shale,Petrobras,100
Campos Offshore,nan,
Mero (Libra NW),nan,
Montney Play,nan,
"Spirit River (Notikewin, Falher, Wilrich)",nan,
Horizon Oil Sands Project,nan,
Kearl,nan,
Duvernay,nan,
Athabasca Oil Sands Project,nan,
