Country_source_CB,Year,Category,Series,Value,Footnotes,Source
Algeria,2015,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"165,979",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2018,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"175,599",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2019,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"177,004",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2020,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"168,331",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,1995,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2005,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2010,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2015,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2018,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2019,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2020,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),-4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,1975,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"13,692",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,1985,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"42,446",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2005,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"78,045",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2010,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"96,452",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2015,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"131,690",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2017,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"131,701",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2018,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"138,496",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2019,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"143,586",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,1975,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),0.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,1985,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),1.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2005,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),2.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2010,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),2.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2015,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2017,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2018,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Algeria,2019,CO2 emission estimates,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Argentina,2010,"Population, density and surface area",Population mid-year estimates (millions),41.10,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2010,"Population, density and surface area",Population mid-year estimates for males (millions),20.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2010,"Population, density and surface area",Population mid-year estimates for females (millions),20.79,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2010,"Population, density and surface area",Sex ratio (males per 100 females),97.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2010,"Population, density and surface area",Population aged 0 to 14 years old (percentage),25.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2010,"Population, density and surface area",Population aged 60+ years old (percentage),14.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2010,"Population, density and surface area",Population density,14.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Population mid-year estimates (millions),43.26,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Population mid-year estimates for males (millions),21.40,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Population mid-year estimates for females (millions),21.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Population aged 0 to 14 years old (percentage),24.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Population aged 60+ years old (percentage),15.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Population density,15.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2015,"Population, density and surface area",Surface area (thousand km2),"2,780",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Argentina,2020,"Population, density and surface area",Population mid-year estimates (millions),45.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2020,"Population, density and surface area",Population mid-year estimates for males (millions),22.30,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2020,"Population, density and surface area",Population mid-year estimates for females (millions),22.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Argentina,2020,"Population, density and surface area",Sex ratio (males per 100 females),98.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Argentina,2020,"Population, density and surface area",Population aged 0 to 14 years old (percentage),23.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
